377125032_368902125792673792 x	Something scary could be heading your way! http://t.co/5SRwMcSHw7
377125032_394438997868830720 x	Oh my, the just made me literally Laugh Out Loud. http://t.co/ArLfMEe3L6
377125032_388107248167550976 x	Wow!  One of the best tribal councils EVER.
377125032_388105578964205568 x	On if the best tribal councils EVER.
377125032_399402437507039233 x	One of my favorite reads of the last few years. http://t.co/cPCkVdeBSv
377125032_398956675757273088 x	A truly enjoyable read.  5 Stars for Chet Williamson's "Second Chance."  Read the review, now LIVE @HorrorWeb http://t.co/HNVuXN5zHG
377125032_398820105745756160 x	New review of an old favorite from Chet Williamson, "Second Chance" from CrossRoads Press now LIVE @HorrorWeb http://t.co/Ots9UXacZj 5 Stars
377125032_398802213901828096 x	#FridayRead #Horror "The Carvings Collection"  Ten horror shorts from @drakevaughn
377125032_398793552417017856 x	Kissing unicorns http://t.co/uYM0u9bLRI
377125032_398591346547507201 x	For the evening folks.  Check out my 5 Star review for "Second Chance" by Chet Williamson @chetwill @David_N_Wilson http://t.co/8vwAu3cqRm
377125032_398557249591062528 x	Throwback Thursday.  That's me way in the back.  Also in here, Kathy Rober, Marilyn Oakes Fuller, Dave Koffel.... http://t.co/aTXgS3Rggd
377125032_398498526658715648 x	My Review of Second Chance by Chet Williamson is now up @chetwill @David_N_Wilson http://t.co/8vwAu3cqRm 5 Stars - Great Read - Please RT
377125032_398103313360887808 x	Thanks Cathi Scheid Perez.  This pretty much sums up how I feel... http://t.co/weiAnIDdfe
377125032_397731440966004736 x	I couldn't agree more.  i don't believe there is anyone who care more about the future of Norristown http://t.co/zS5RmHn58L
377125032_397666476368617472 x	F  U Comcast !  It's bad enough to have Insomnia and be wide awake at 3:45, but then I come downstairs and decide... http://t.co/J1YdeoLbBR
377125032_397039591955238912 x	If you're looking for something to get totally immersed in.  Horror at Coney Island in the early 1900's and much... http://t.co/Nox53Ljj1D
377125032_396696980619276288 x	Michael got the Royal Loom Bands Kit today and the directions from the company were awful, but thanks to this... http://t.co/pYeekZruIa
377125032_396333193588404224 x	I had a feeling it would be bad, but I had no idea how bad.  My health insurance is through my company.  To keep... http://t.co/yEUh0C1aiU
377125032_396289025947877376 x	#FridayReads Second Chance by Chet Williamson @chetwill Just when I think I know where it's going, there's a new twist.  Lovin' it.
377125032_396065935658082304 x	Three things you can never discuss with people.  Religion, politics....and the Great Pumpkin.
377125032_396010801942626304 x	One last post before taking grandson, Michael, trick or treating...  Trick or Treat, Smell my feet. Give me... http://t.co/ZgCTzuKi3V
377125032_395991371389349888 x	To anyone who still holds fast to their answer of the door to the riddle in the great giraffe challenge, please... http://t.co/Hd0bLig7cz
377125032_395980998502273024 x	If you were/are going out for Halloween and you could be anything, who or what would you dress up as?
377125032_395971157943664640 x	Throwback Thursday.  A little something from the 80's  ;-) http://t.co/Qozw9TrBS4
377125032_395853885580914688 x	Happy Halloween!!! In addition, it's National Knock-Knock Day.  My fav is...  Knock-Knock Who's there?... http://t.co/BJJBxlfz6a
377125032_395770080518504448 x	"@Doug_Wynne: The Last Chord is my #Halloween treat to you. #Haunted #Stratocaster #Horror #Kindle #Free http://t.co/l0yRnv2rM0" Get This!!!
377125032_395768728291655680 x	"@realjeffreyross: Goodnight roasters. Gotta get up early to be on @theviewtv and I need my beauty rest."on the show or just watching?
377125032_395768318499770368 x	"@JohnZaffis: hi all just letting you know haunted collector will not be coming back sorry to all our fans" Very disappointing.
377125032_395753128097636352 x	Yay Boston!!!!
377125032_395747686348910592 x	The old guy in the front row at the World Series who's come to every Red Sox game for 70 years.  I want his job, or at least his money.
377125032_395678263810330624 x	Open note to this woman:  If there's a knock on your door and you open it to find a brown bag aflame on your... http://t.co/VF2EtMXzbU
377125032_395672903569932288 x	@thevillainbook Reading "Second Chance" by Chet Williamson.  Recommended :-) @chetwill
377125032_395606753288531968 x	Baby LED light suit halloween costume = Awesome!  http://t.co/2SA1cltxRh via @youtube
377125032_395345966590873600 x	For the people of the night.  Review of "Reaping October" by Benjamin Kane Ethridge 4 Stars http://t.co/vmTnUYeHZR LIVE @HorrorWeb
377125032_395284894613401601 x	RT Please. Review of "Reaping October: Stories from the Black & Orange Universe" is now LIVE @HorrorWeb 4 Stars http://t.co/IIbsNzJJdc
377125032_395222565981290496 x	I signed up the last time they did this and I have not been disappointed. http://t.co/LrtQF81SRi
377125032_394979469733015552 x	Kevin Bufton pretty much sums up how I feel about it. http://t.co/cVmZXSybix
377125032_394935583233286144 x	For the PM crowd.  New review at My Horrible Reviews.  "Reaping October" from @bkethridge and @badmoonbooks  4 Stars http://t.co/raVZarAE5v
377125032_394850072418340864 x	My Horrible review of "Reaping October: Stories from the Black & Orange Universe" by @bkethridge  from @BadMoonPR http://t.co/raVZarAE5v
377125032_394524971437146112 x	R.I.P Lou Reed.  one of a kind. http://t.co/M6ezzrA7xO
377125032_394476549271207936 x	RT @MsMamatas: It's almost Halloween, Mercury is in Retrograde & there's a Phantasma in my kitchen. Note to self: No more @BrianKeene books?
377125032_394475692299399168 x	5 Star review up @HorrorWeb for new novella from Alan Ryker "Nightmare Man"  http://t.co/vG0RiJHqoS
377125032_394218159395573761 x	Lets see who wants to play. I've changed my profile to a giraffe. I answered the riddle incorrectly. Try the... http://t.co/MtnHxveQ1w
377125032_394216494810554368 x	Are you brave enough to play? http://t.co/CFxnPj7c96
377125032_394214169077366784 x	I have been giraffed.  It's all Lincoln Crisler's fault.
377125032_394099279134199808 x	From @XFINITY: "Sign in to  My Account and you can  win $25,000!" Why not take that $$$ and put into fixing the X1 platform and internet?
377125032_394095457397649408 x	Review of "Nightmare Man" by Alan Ryker is now LIVE  @HorrorWeb #horror 5 Stars for this story of night terrors http://t.co/vG0RiJHqoS
377125032_393923758777696256 x	Lookin' good. http://t.co/p0vWigTEjy
377125032_393806183900794880 x	#FridayReads #Halloween "Reaping October: Stories From the Black & Orange Universe" by Benjamin Kane Etheridge @bkethridge @badmoonbooks
377125032_393780854222098432 x	Win $500 worth of signed books from @briankeene @jonathanmaberry @Bryan_D_Smith @escottnicholson http://t.co/U9HJ9dP5XT
377125032_393704558846697473 x	Please RT - Review of new novella from @alanryker Nightmare Man @darkfuse #Horror  night terrors come to life http://t.co/pq7T9MCDxQ 5 Stars
377125032_393559527611969536 x	Here we go...  I received the letter "B" Describe me with one word that starts with that letter. I will then give you a letter.
377125032_393545126670524416 x	My Horrible review of the novella "Nightmare Man" by @alanryker from @darkfuse - 5 Stars http://t.co/euLR80L1Oi
377125032_393358568084099072 x	Win $500 worth of signed books from @briankeene @jonathanmaberry @Bryan_D_Smith @escottnicholson http://t.co/U9HJ9dP5XT
377125032_393279176813187073 x	Yep... http://t.co/8nXxb54ezM
377125032_392985114965078016 x	Review of "Mirror (of the) Nameless" by Luke Walker from @DarkFuse now LIVE at @HorrorWeb http://t.co/qYVb4lxpFT  Lovecraftian type horror.
377125032_392827109275869184 x	My Horrible review of "Mirror (of the) Nameless" by Luke Walker from @darkfuse  - 3 Stars http://t.co/wwccGicCnb
377125032_392824402284666880 x	Please allow me to reiterate...COMCAST SUCKS!!!!!  That is all.
377125032_392780437875331073 x	Fourth grade humor...  Michael: Why couldn't the piggy bank sleep? Me: Why? Michael: Because money talks. Me:... http://t.co/UEoq0iNOES
377125032_392320437524258816 x	For the weekday gang, great new book by @ElizabethMassie "Hell Gate" - Read my review LIVE now @HorrorWeb http://t.co/3uxi8bAhQC @darkfuse
377125032_392019228263731200 x	Wanted: New quarterback.  See Chip Kelly. ASAP.
377125032_391996128927174657 x	Review of new novel by @ElizabethMassie - 5 Stars for "Hell Gate" from @darkfuse  now LIVE @HorrorWeb http://t.co/uEAxr6m3hx
377125032_391982922175381504 x	And when you finish with Joe, if you have any thread left, I'd like to have you di the same with Troy Aikman.
377125032_391978052546473985 x	I would gladly pay someone to sew Joe Buck's lips together.
377125032_391931688043155456 x	My Horrible review of "Hell Gate."  Something completely different from @ElizabethMassie - 5 Stars @darkfuse http://t.co/wMcYX8YK8E
377125032_391411311558819840 x	RT @GNBraun: Please share this and help Cohesion Press get to 500 likes. Once we hit 500, we will give away two packages of... http://t.co/?
377125032_391408433054097409 x	@KBarrettFox29 You might want to watch the tape.  "Was shot to death several times." Too funny :-)
377125032_391388784891547649 x	Watching Fox 29 10 O'Clock news and the female anchor tells the story of a man who "was shot to death several... http://t.co/qVVCKR5Zch
377125032_391175466809176064 x	#FridayReads "Hell Gate" from the amazingly talented @ElizabethMassie and the folks @darkfuse Horror at Coney Island in the early 1900s ;-)
377125032_390901072203907072 x	For a FREE copy of the wildly entertaining ebook version of Mountain Dead from Apex Publications click here... http://t.co/RelvGongGX
377125032_390905895787298816 x	@apexjason @LesleyConner You must have read my review of Mountain Dead ;-)
377125032_390832280513806336 x	@NIky_Mommy call the house please
377125032_390813529898778624 x	Throwback Thursday.  Me , pretending to be a model 2nd grade student.  1960. http://t.co/cpXJMmrvEc
377125032_390104970928062464 x	For all my friends who work in help desk support.  I love this... http://t.co/NphHEOIbSV
377125032_389949590935715840 x	Take THAT Bob Costas! http://t.co/kYamndf5Wf
377125032_389459737869553664 x	Looking for a Halloween treat?  From Greg Chaplan, it's "The Last Night of October"  4 Star review LIVE @HorrorWeb http://t.co/zGiatedErU
377125032_389419511369453568 x	Happy Halloween!  4 Stars for "The Last Night of October" by Greg Chapman @darkscrybe   http://t.co/EWuK9ZsULc
377125032_389355575928057856 x	There you have it. http://t.co/s6kBrDNcT1
377125032_389004166955552768 x	My 4 Star review of "The Gate Theory" by the very talented Kaaron Warren is now LIVE @HorrorWeb http://t.co/6Fg7yD8G73 5 shorts
377125032_388894800449396736 x	Just finished "The Gate Theory" by @KaaronWarren  from New Aussie publisher Cohesion Press.  My 4 Star review LIVE at http://t.co/OrXP5Ql0a9
377125032_388910324193034240 x	@KaaronWarren Too funny.  I stand corrected ;-)
377125032_388800558787612672 x	Despite MRSA concerns for the Eagles at Tampa Bay.  Riley Cooper will be ready to play, and why not, he can't... http://t.co/PnLMGLQ5IR
377125032_388640123132182528 x	#FridayReads "The Gate Theory" by @KaaronWarren from @CohesionPress 5 shorts from one of Australia's finest dark fiction authors.
377125032_388409187195027456 x	FREE fir two days.  Checkout my review at... http://t.co/T0DNHFkViz
377125032_388400160445059073 x	Benjamin says - My surreal horror novel NIGHTMARE BALLAD is only 99 cents! Bentley Little said, "Nightmare Ballad... http://t.co/qo3aq5DwY6
377125032_388353500293652481 x	Sharing complete with my friend Howard Harner's comments.  I've long found Howard to be a very wise man...  It... http://t.co/WumxO8w68P
377125032_387892264426811392 x	So, let's stifle imagination and creativity lest we give the impression of supporting what religion?  Can you... http://t.co/b4NE0Q0Rnp
377125032_387688026182549504 x	Now LIVE @HorrorWeb 4.5 Star review of "Six of the Best: A Hellish Half-Dozen"  by @KevinGBufton  - http://t.co/O5aKdT35LM  Great reading.
377125032_387637936411639808 x	4.5 Star review for "Six of the Best: A Hellish Half-Dozen" - http://t.co/tvlWfL9652.  This collection truly lives up to it's name.
377125032_387342844966744064 x	My Horrible Reviews 4.5 Stars for "Six of the Best: A Hellish Half-Dozen" by @KevinGBufton It lives up to the title http://t.co/tvlWfL9652
377125032_387273917653479424 x	Well worth your time.  Thanks, Christopher Golden. http://t.co/BBJdAjbquq
377125032_386998414560358400 x	;-) http://t.co/MqVnFNhLA7
377125032_386996857236238337 x	Hello, my name is Tony "CHOKE" Romo.  Yay, Denver!!!
377125032_386954350310199296 x	Thanks Brett E Wells.  This one made me laugh. http://t.co/vlIE9txD4X
377125032_386503074103427072 x	Thanks Philly Bob! http://t.co/nA3ZPtjpEV
377125032_386463775601471488 x	Thanks, Howard. http://t.co/47zxY2xat8
377125032_386293391103127552 x	My day for venting.  Here in the Northeastern US  we are experiencing a bit of warmer post Summer weather.  Those... http://t.co/qN99aa2MMt
377125032_386241356680552448 x	"Food is for eating, places are for being." - Ron Swanson
377125032_386182870261567488 x	if you work in an environment with shared restrooms and you pee on the seat or neglect to flush, you should be... http://t.co/jTGhB0YDE9
377125032_386136841990443008 x	Review of Lisa Morton's new Halloween novella "Summer's End" is now LIVE at HorrorWeb http://t.co/ubUiHjpxgf @HorrorWeb @cinriter  5 Stars
377125032_386105094195785728 x	#FridayReads "Six of the Best: A Hellish Half-Dozen" by @KevinGBufton  Two stories in and it's some of the best horror I've read this year!
