382465857_395026080060682241 x	Please Boston PLEASE! i NEED to go to a parade so lets keep Zoe happy
382465857_395032385504673792 x	@BIG_CHODE one moreee!
382465857_395033009524858880 x	@BIG_CHODE whenever one of u idiots tweet at me I legit sit here &wait for the rest of the herd to favorite eachothers tweets &come at me ?
382465857_395034189583896576 x	@BIG_CHODE @B_Skean23 @FuckinPocketBoy @Pist2BePete @BR0C http://t.co/RGYByfEeeg
382465857_395030794433212416 x	@Pist2BePete can you not read? I would like to go to a parade Pete. Who in there right mind doesn't want to go to a parade? #Growupgayboy
382465857_386280389612171264 x	@Slim8ty thank god.
382465857_386282572055339008 x	@Slim8ty October 4th, 2013- the day Bill & Zoe finally came together in agreement ???
382465857_378145387951185920 x	Waking up next to my large hunk of a man is always a great start to the day ?
382465857_378167757776650240 x	@Pist2BePete naked...*
382465857_360062030134251521 x	Been at work for an hour and a half and I'm already bleeding. What is with the cuts lately Zoe? Toughen the hell up
382465857_353979240858914818 x	"Maybe you should lay off the food fatty" - my boyfriend. To me.
382465857_333277839291981824 x	Iron Man 3 to cheer on my man!!
382465857_333966742323863552 x	@Pist2BePete shut your dumb mouth.
