384501654_383949610966085632 x	Game time
384501654_394636308380778496 x	starving
384501654_399349393113223168 x	"@bighook74: @CJStruyk squad!!" Come see me at shane's tonight punk
384501654_399347904504401920 x	Great TEAM win!!
384501654_399239628857049088 x	Man I love this team. Lets get it!!
384501654_399237524851556352 x	Headin to the stadium. Time to eat!
384501654_394665281202946049 x	RT @Worth_Cowell05: Hey pretty girl ##KipMoore
384501654_394665011727302656 x	@bighook74 shut up boi
384501654_394665220876296192 x	RT @WhatTheFFacts: We are more likely to help people that look like us.
384501654_400448724201373696 x	The toad once told me to keep my chin up. He knows where the money vault is. Hes a guy full of life and wisdom. @jkhfurr save the bird unit
384501654_400446530563612672 x	@Scarfone_ECU knows how to steer the wheel in the open abyss.  A quote I love from this man, "always follow your bliss."
384501654_400418187000684544 x	Shoulder feels like a knife is in it
384501654_400408081223671809 x	That practice was brutal
384501654_400413600223080448 x	@ABTeague15 haha ur tellin me
384501654_400070598615105536 x	RT @BestOfNike: Beats by Dre..? http://t.co/vwZ1mqyphG
384501654_400049837540139008 x	@grove_j @jkhfurr richie
384501654_400047594124349440 x	RT @jkhfurr: Question of the night would u rather be jj watt or rob gronkowski @CJStruyk
384501654_399997071035736064 x	RT @InsideECUSports: #ECU's matchup with #NCSU on Nov. 23 will kickoff at 12:30 and will be shown on the ACC Network.
384501654_399900336481386496 x	Andddd its Monday again.
384501654_399946614129041409 x	@Scarfone_ECU the funny thing is @grove_j favorited this and he just got towed today hahaha
384501654_399931003365752833 x	@bighook74 @JDavis78 haha your funny
384501654_399930893814747136 x	RT @tmainnniac: Man... I want another tattoo ??
384501654_399905337446531072 x	"@Scarfone_ECU: @CJStruyk let's not get towed this Monday" its a ritual now.
384501654_399891041035489280 x	RT @StewwwChainzzz: Thankful for all of those who have served so we can continue living the lives we do.
384501654_399237899205754880 x	@bighook74 chicken!
384501654_399222756510023680 x	RT @tstaub13: @CJStruyk good luck CJ!! I know you guys will pull out the win today!
384501654_399195054398767106 x	Game day! Ready to kick some ass!
384501654_399222746108145664 x	@tstaub13 thanks you know it!!!
384501654_394663684649545728 x	PROTECTED
384501654_399218771363393536 x	RT @jdunn_5: ?@CJStruyk: Game day! Ready to kick some ass!? ????
384501654_399216122165485570 x	@TroyScheller thanks brotha!
384501654_399194227604992000 x	"@themasongomola: Ayyy goodluck boys! Do work today! @CJStruyk @Capn_Carden5" preciate it mane you already know!!!
384501654_399180928775622656 x	"@jholiday44: @CJStruyk All Pancakes no syrup!" Haha for sure!
384501654_399179992330170368 x	Big game today! You know what I mean @Capn_Carden5 ?
384501654_399178655085387776 x	@evecalamita thanks eve love you too!
384501654_399175111011741696 x	"@Worth_Cowell05: Shout out to @CJStruyk, do work today bro" thanks brotha!
384501654_398934248587296769 x	They say life's a gamble, then love is the casino.
384501654_398903104537911296 x	RT @SaunjBaron: WE were simply put on this earth to be all WE can be.
384501654_398871806771474432 x	@bighook74 @JDavis78 lets do that!
384501654_398821790803558400 x	@Capn_Carden5 can I get a hug when I see you?!?!?
384501654_398815164293996544 x	I could probably think of a million things I'd rather be doing right now.
384501654_398606309349916673 x	Movies with the beautiful @madie_max
384501654_398230264830525440 x	Truck towed twice in one week and lost my wallet. Somethings gotta give
384501654_398159667299635200 x	@HarwoodB19 thanks brotha!
384501654_398159615143469056 x	RT @HarwoodB19: Awesome to finally interview #ECU center @CJStruyk. Ultimate class and a force on the field. Bright future and a great indi?
384501654_398098926563500033 x	Happy birthday to the sandman himself @Capn_Carden5 #vinnytestiverdie
384501654_397908149132603392 x	RT @jholiday44: First gift imma buy my wife is a treadmill
384501654_397513758802972672 x	RT @TheMicReinhart: S/O to the lovely gals participating in No-Shave November
384501654_397448730112446464 x	RT @aujharris: If it was easy then everyone could do it
384501654_397448466697551872 x	@Scarfone_ECU y dont you just get both? Then there wont be a hard decision!
384501654_397419220021301248 x	I would get my truck towed. Good thing for good friends though!!!
384501654_397373812259696640 x	Everytime a teacher calls on me i just say....pass
384501654_396907944052543488 x	@QuinceyAdams91 @jholiday44 ? Haha
384501654_396875459352600577 x	Feels good to be back in the ville
384501654_396834070321451008 x	@BoltonT27 bum
384501654_396833029219688448 x	Listening to some @ChaseRiceMusic after that big win. Even if he did play at the wrong school!
384501654_396828162560389120 x	RT @BrunsonD_34: Tulsa walking into the lions den next Saturday #WeHungry
384501654_396826431675957248 x	Look at my neck I gotta carrot cake
384501654_396825939335983104 x	RT @ZayJones7: Great game kid... @JT_Boyd65
384501654_396821868893581312 x	Great win! 6-2
384501654_396737574867599360 x	Lets get this win fellas
384501654_396717329410981888 x	Headin to the stadium. Ready to be #bowleligible
384501654_396467946132086784 x	This bed is loveeee
384501654_396451924545142784 x	RT @rNutt23: Haha why is NCSU so salty towards ECU? Wasn't half of your school in Greenville last night? Lol
384501654_396352403441995776 x	@colleen409 thank you!
384501654_396340928807698432 x	"@WhatTheFFacts: Young beavers stay with their parents for the first two years of their lives before going out on their own." Crazy stuff
384501654_396340376493359104 x	"@Gr_Ay_As_Money: @CJStruyk kill em bro!!!" Preciate it brotha!
384501654_396309733784956928 x	Ready to go down to miami and get this win
384501654_395899614324588544 x	She's got legs and she knows how to use themmmm
384501654_395701036415209473 x	@DaltonKnight12 I see what you did there
384501654_395702126581923840 x	@DaltonKnight12 ride or die
384501654_395696117117382656 x	It aint trickin if you got it. You know what I mean @jkhfurr
384501654_395601447272058881 x	"@jkhfurr: Bout a thousand degrees on this bus cant imagine if @CJStruyk was sittin beside me touchin knees #realhot" no good
384501654_395359396848762881 x	@Scarfone_ECU But are you a fan of D's nuts?!?!?!? Oooooo
384501654_395323333467975680 x	My room stays clean for about two days. Then a tornado hits.
384501654_394975162845900800 x	@damonhoggard I see you
384501654_394910778303971328 x	@grove_j your gonna look back on life and realize.....your not from lake mayo. Keep the captain comin ricky sade.
384501654_394837051243503616 x	If I was skinny I feel like I would have more "swag" than @Scarfone_ECU
384501654_394845850050252800 x	@Scarfone_ECU hehe
384501654_394824445241872384 x	Gotta love people watchin
384501654_394776285077327872 x	RT @WorthGregory: I want it all ?????
384501654_394521433898225665 x	Wont be home again till Christmas break
384501654_394264437362028545 x	Ohio state's helmets look like they have pot leaves on the back
384501654_394166563353686016 x	Bout to kill this iioanis
384501654_394162304079908864 x	"@ECUPirateCannon: I am honored to have @CJStruyk follow me... ABOUT TIME SIR! Hope you're resting, we go to war in a week." Preciate it!!!
384501654_394141563250835456 x	RT @VinesFerrari: It feels weird not having a Pirates game on today...#ECU
384501654_394139333307162624 x	Kinda feels nice to just sit around and watch football all day for once
384501654_394103015587995648 x	Layin in my bed with my little brother on saturday mornings are the best
384501654_394102298500415488 x	@jholiday44 "poor people dont do this kind of stuff" -big sexy
384501654_393842219473702912 x	No new friends is the realest
384501654_393723521421287425 x	"@TrentTignor: #TicketAwayFriday @CJStruyk http://t.co/BbvHmZtnyz" great grand wonderful terrific hooray!
384501654_393721746417016832 x	"@Scarfone_ECU: Find out who your ride or dies are...@CJStruyk  @JDavis78" you already know brotha!
384501654_393620357107961856 x	Gonna be a nice weekend to go home #missmomma
384501654_393579383392579584 x	Lets go!!!!!!! Road to the ship!
384501654_393571629839958017 x	Gettin tatted soon
384501654_393395584545353728 x	One more practice between me and goin home!
384501654_393142199594274816 x	Really need to go to the library. But idk if I can handle being around that many smart people at one time.
384501654_393008578296307712 x	@deauxboy103 happy birthday hoss
384501654_393000524918038528 x	RT @JT_Boyd65: @CJStruyk don't leave me!
384501654_392990770216849408 x	Ready to be home this weekend
384501654_392824386333712384 x	@Thegooglefactz how many times yall gonna tweet that
384501654_392437873150279680 x	Shout out to @Capn_Carden5 he knows where the yellow brick road leads. One size fits all! Bring on the sauce!
384501654_392434619171487744 x	Shout out to toad for havin all the facts straight. @Scarfone_ECU @jkhfurr @ScottyMcCreery @KingJames
384501654_392428670952165376 x	Shout out @Scarfone_ECU hes a beast at carvin pumpkins
384501654_392418332718432256 x	Ima go out on a limb and say the giants lose again. Hope im wrong tho
384501654_391954781184720896 x	Happy birthday killa! @brice_harrison
384501654_391912947997736961 x	Nothing better than wakin up on a Sunday with a win
384501654_391557385560817664 x	Lets get it!!!
384501654_391358064143917056 x	@colleen409 thank you!
384501654_391319214591868929 x	Cant wait to get my bull dog
384501654_390962272769945600 x	Another week of practice down. Ready to be back in the fick!
384501654_390472592072921088 x	Whenever I become my own boss im not going to wake up till bout 10:30 everyday.
384501654_390150376085008384 x	RT @TillOnChill3: Got chills reading this... http://t.co/SqREjSUEIC
384501654_389866260370296832 x	Squats on mondays <3
384501654_389699356775157760 x	I can already tell its gonna be one of those weeks
384501654_389430675851739137 x	@DaltonKnight12 we'll call em david ortiz
384501654_389376148926631936 x	I hope AP rushes for 400 yds today
384501654_389185467196776449 x	Just a lil bump in the road.
384501654_389027641103114240 x	RT @jdunn_5: ?@CJStruyk: Game day? ????
384501654_389027619691180032 x	RT @VinesFerrari: @CJStruyk Good luck out there today!  Bring back a W!
384501654_389026687691653122 x	Game day
384501654_388761093549465600 x	Im the furthest thing from perfect, like everybody I know
384501654_388753369524740096 x	We meet again NOLA
384501654_388711184930979840 x	RT @DPlowman38: NOLA bound #BeatTulane
384501654_388455356013506560 x	@jholiday44 I literally just busted out laughin but nah I dont remember it.
384501654_388465264230428672 x	@jholiday44 haha nah gotta go to new orleans. Ill be back saturday night!
384501654_388272735560151040 x	RT @swagazu11: This long nap is about to be righteous!
384501654_387928331192369152 x	This weather is for sleep. Not class.
384501654_387927598594269184 x	RT @TooFarWood: let the struggle begin
384501654_387045473057775617 x	Really want a bulldog
384501654_386946123476516864 x	@QuinceyAdams91 its suppose to storm tomorrow aint it?
384501654_386946633910734848 x	@QuinceyAdams91 come wash mine when u get done. Ill pay you in gypsy hairs!
384501654_386654526603657216 x	Bout to board this plane and bring this W back to greenville.
384501654_386658261266477056 x	@sro224 thanks bro
384501654_386658219637997568 x	RT @sro224: @CJStruyk good win big man!
384501654_386651473645289472 x	Great win. No matter what anyone says. Its a win!
384501654_386651239720550400 x	RT @_Mook_Falls: Get back to gville and chill with the krew tonight
384501654_386638961990328320 x	@colleen409 thank you!
384501654_386527135995019264 x	Dare to do great things
384501654_386521338342817792 x	RT @QuinceyAdams91: Yal mofos keep bringin home them dubs!! Good luck today ?@CJStruyk @Capn_Carden5 @DamnitGeary45 @grove_j
384501654_386519994458456064 x	RT @VinesFerrari: Pirates are going to be tested today to see how we respond as a team after a big win, I believe! #GOPIRATES #ECU @CJStruy?
384501654_386510923810078721 x	Gotta keep provin em wrong
384501654_386510245100412928 x	I love when people doubt me
384501654_386508536588816384 x	RT @Charlie_Coggins: ?@CoachZauner: 8-year-old Nebraska fan learns his cancer is in remission http://t.co/mTNIC7n6ql via @forthewin? awesom?
384501654_386482667417784320 x	RT @cody_duckman: Wanna say good luck to the big man in the middle, @CJStruyk today as they take on Middle Tennessee. You been doing great,?
384501654_386184164946767873 x	Bout to take off to Tennessee to take care of business
384501654_386186518299443200 x	@VinesFerrari you know it!
384501654_386183645612244992 x	My biggest fear is losin it all
384501654_386157423310163968 x	RT @CthePostman: Wake up. Pray up. Get buckets.
384501654_386110752438095872 x	RT @TrentTignor: Shout out to my long snappers @Charlie_Coggins for firing the ball back on punts and @CJStruyk for handling the FGs!
384501654_385570350878445569 x	@DaltonKnight12 you love em?
384501654_385574362151411712 x	@DaltonKnight12 and I love you
384501654_385580578323845120 x	@DaltonKnight12 morehead wont be the same
384501654_385432749412462592 x	@Worth_Cowell05 didnt do so hot haha watd u get
