396737916_386244663348195328 x	@gallagher220 @ShamelessFrankG You're welcome, just thought I could send the shoutouts for you!
396737916_386228218157477888 x	Anyone has is a fan of #Shameless, #TeenWolf, #walkingdead, you can follow @tvwritergirl, she is sweetheart and writes reviews for shows!
396737916_386234681261182976 x	@gallagher220 I'm sorry, what do you mean?
396737916_386237278659432448 x	@gallagher220 Kind of the reason I signed up too. I signed up after getting into the actor Noel Fisher. :)
396737916_386237778347827200 x	@gallagher220 Well, do you know how post photos?
396737916_386238705804931072 x	@gallagher220 Um, well speaking of #Shameless, do you ship Ian and Mickey?
396737916_386239339153215488 x	@gallagher220 Well, do you like those two characters I mean? Sorry.
396737916_386239915966480384 x	@gallagher220 Well @TeamGallavich is a fanpage to follow, they are all about Ian and Mickey, Gallavich is both last names put together.
396737916_386240837580886016 x	@gallagher220 @TeamGallavich Oh ok. Are you into those Vampire academy books, or the movie that's coming out?
396737916_386232912472846336 x	@gallagher220 @tvwritergirl she certainly is, are you already following her?
396737916_386231109941329920 x	All #VA followers, @DimitrisRose needs one more follow to get to 1000, how about we help her with that! #followDimitrisRose
