398459734_351883330049945601 x	@rvacanti I know. I'm like OMG. Sooooo annoying!!
398459734_327559271657115648 x	@BroadStBull from what I saw, this was not even close.  He was by far the MVP What do you think?
398459734_324341506586603520 x	@DNFlyers some are saying knee/leg but you are the only one saying abdomen
398459734_324251185315975168 x	@BroadStBull has there ever been a year where this many d men have been injured?  I don't remember one
398459734_323965601884274689 x	@RandyJMiller do you think Gagne is back next year?  I think he has been pretty decent
398459734_323593619581849601 x	@BroadStBull whenever you mention ruff as coach a piece of me dies
398459734_322931702731247616 x	@RandyJMiller is this a joke?  Lindys tough style? Haha
398459734_322932875064389633 x	@RandyJMiller I live in buffalo now. Ruff is terrible, not aggressive.  Rather have Lavy. Thanks for responding.  Have a good one
398459734_322934733321412609 x	@RandyJMiller I hear you there. It's been a strange year. I hope they just relax, don't do anything crazy and see what happens next year
398459734_322936380835647488 x	@RandyJMiller do you think mason can be what he was?  If so, I think you have to buy Bryz out. He has been ok this year but that contract..
398459734_320707688575148033 x	@RandyJMiller wish hartnell would just stop talking. He does nothing until they are down a few then takes dumb penalties.
398459734_319248988354273281 x	@BroadStBull for a guy who has 0 goals?  Glad the flyers have not done anything stupid...yet
398459734_319185085347799040 x	@RandyJMiller agree but I was ok with them taking a chance at suter & parise even if it meant losing jagr. + carle = overpaid now
398459734_319182227030286338 x	@RandyJMiller if Giroux needs a 40 yr old winger to play at his best, flyers are in trouble   #rmloveshotdogs
398459734_318543170222845952 x	@pham1717 how were the hot dogs tonight?  More specifically, your ninth hot dog?
398459734_318535118459396098 x	@RandyJMiller how were the hot dogs tonight?
398459734_318194330537959424 x	@johnclarknbc10 @broadstbull wow John you can read, congratulations
398459734_316750353313980416 x	@davegisaac hope he is talking about himself.
398459734_316733934081818624 x	@BroadStBull is that bryz's fault too?
398459734_316732825556635648 x	@RandyJMiller heard you ate 11 hot dogs at the game tonight..get a hold of yourself
398459734_316278759726669824 x	@BroadStBull next 5 home games are the season. Need to go 4 of 5 to have a chance at the playoffs.  News on grossman?
398459734_313813453473189888 x	@BroadStBull feels like I have been watching hartnell from a few seasons ago...no scoring and dumb penalties
398459734_313808551917277187 x	@howardeskin does anyone really even care about Bynam anymore?
398459734_313348965720535040 x	@ctherien6 wish he was banned from everything relating to the flyers
398459734_312235067177058304 x	@davegisaac is this an assumption or do you have an actual source?
398459734_313325171807248386 x	@davegisaac I have
398459734_313109453979398146 x	@davegisaac can you guys stop with the love fest of ex flyers? He's been good for like 10 games.  Sports media over acts to everything
398459734_312755924626444290 x	@BroadStBull @tpanotchcsn why is panotch in charge of anything? He proves over and over again what an idiot he is
