420703735_390999472383483904 x	@TheNamesJB ufa
420703735_398972553483796480 x	@TheNamesJB yup what I just heard
420703735_398971926397583360 x	@TheNamesJB and they just got brzz lmao
420703735_399582499455909888 x	Had to drive @crystaal_methh home last night she was a wasted actually she slept in the car looks uncomfortable http://t.co/pu2F90O9BU
420703735_399582414034731008 x	@BrentCelek don't be bullying anyone in there in 5 years they'll put it on the @MikeMiss975 show #97.5
420703735_399343054458744832 x	Best 21 birthday cake ever http://t.co/ywCuL6hZ1c
420703735_399244970638729217 x	Idk what to do he wants to leave. About to give the lil shit my keys and wish him luck #flyers #butwerewinnimg
420703735_399232398623531008 x	Kids loving it already http://t.co/RX3WDbeTQD
420703735_399210728970018816 x	Wasn't playing http://t.co/dR9TxbnxNF
420703735_399200769104429057 x	@Ambie_25 @crystaal_methh @hashbrown_ASH @jamichael_23 so whitch one of yous is cleaning my car ?
420703735_398966767504338944 x	I'm wearing my mike Richards flyers jersey tomorrow to the game so I can sit there and remember when we were good #flyers
420703735_398967702758649856 x	@TheNamesJB yup. I bought tix when the season's started , go me . Joe's first game tho
420703735_398972492746092544 x	@crystaal_methh bill burr tomorrow.  I'm sending @bywoodoriginal in my spot
420703735_398971582238171136 x	@TheNamesJB yea I had my plans already . Ill stop up after
420703735_398969257851359232 x	@TheNamesJB if u get tix I'm driving down let me know
420703735_398969170362372097 x	@TheNamesJB yup say hi to this asshole that paid $110 a pop for two tickets 7 rows off the ice
420703735_398921540168720388 x	@SandmanCJM I'm a doctor
420703735_398624164560797696 x	Coots is a skating waste of dog shit out there. They should make him captain #flyers
420703735_398615491071442944 x	Coots got to put that one in
420703735_397787053876072448 x	@BillDoubleU3 I see u in the playoffs
420703735_397795092226117632 x	@DiEmedioEstevez @BillDoubleU3 about time,  I'm just takng a break I'm scared of heights
420703735_397335704730349568 x	@BillDoubleU3 Bennett 82 points tonight
420703735_397190026431586304 x	A.foster stuck it ryt in my ass
420703735_397071176297889792 x	RT @VeryRudeTweets: http://t.co/C6KVjLfTCA
420703735_396722619569160192 x	@DANNYSTEELEY he should of fought back.
420703735_396697174630612993 x	RT @JonMarks975: Dutch's friends came out to see him today at the Granite Run Mall http://t.co/OeUP1mKYlQ
420703735_396438829084971008 x	@NK975 so wrong
420703735_396437294334640128 x	RT @derrick3DPhilly: Trades forthcoming for the helpless Flyers
420703735_396437182455746561 x	RT @CjBurns215: http://t.co/Psfxg90z5c
420703735_396432900104925184 x	Just put the puck on net wtf
420703735_396430182887993344 x	How pissed do u think steve downie is right now ? 1st place team to this shit
420703735_396424775155073024 x	RT @TheFunnyVines: He didn't eat at school today https://t.co/7WFrzqxgDV
420703735_396354651970633730 x	@DJcornyCorn  some kinda of spill or leak
420703735_396321191168057345 x	RT @FoodIPorn: Bacon cheese fries http://t.co/FgoeYehSDC
420703735_396084381812789248 x	Oh yea that's how I do it baby right in your bookshop...
420703735_395728162401034241 x	@MikeMiss975 hope u didn't put that money out
420703735_395620140412588032 x	RT @NHLPA: .@Hartsy19 @shelleyhawk45 @28CGiroux That brings back some memories: http://t.co/PhtS5XSyM8
420703735_395507260899995648 x	I want to head to CHI or ATL , witch one is better ?
420703735_395499024998227968 x	So I got I tooth brush that vibrates .
420703735_395346159965057025 x	@jamichael_23 smh
420703735_395345495918649344 x	What flyers team is this fucking ryt bous
420703735_395297424635625472 x	RT @ManlyAsshole: I lost 240 pounds in one day... I divorced my wife
