428526956_392433101600616448 x	@J_Bash32 thanks dad
428526956_388851691711242240 x	Josh has more friends than Sharday
428526956_388851593841356800 x	Sharday has #nofriends
428526956_392134527901908992 x	@Jeffisme @J_Bash32 no thank you
428526956_395714237651111936 x	@Hartsy19 #Since1975
428526956_395713110025064448 x	#Hockey #LetsGoPens http://t.co/lUBkn38zKA
428526956_395712865375514624 x	RT @DakotaScottErie: my dance style ranges from white dad at a barbecue to stripper whose rent is due tomorrow
428526956_395707145804468225 x	Doc is in COD mode #knifedaway
428526956_395706890648162304 x	RT @EngellandsEye: #PrimetimeSnotRocket #Geno
428526956_395705838632853504 x	Simultaneously rooting for and against Boston  @RedSox @penguins
428526956_395704042963214336 x	RT @HockeyMeesh: They just intro?d with the geico camel saying guess what day it is. I?m already upset with this game.
428526956_395699865633562624 x	RT @emptynetters: Historically speaking, the Penguins have more of a rivalry with the IRS than the Bruins.
428526956_395698624895533056 x	Hopelessly stuck on animation homework #feelsbadman
428526956_395698422725873664 x	RT @MikeColligan: Pittsburgh (Host: RMU) is among the list of 10 finalists for another NCAA Frozen Four from 2015-18
428526956_395697831895252992 x	RT @PenguinBrain: Let's get this out of the way early: I hate you Mike Milbury.
428526956_395697742627868672 x	Aaaaaand the Milbury/Pierre/Doc hate tweets begin...
428526956_395664257229918208 x	Pens v Bruins tonight should be a good one @laurenvirginiaa
428526956_395355252997619712 x	Just saw a Best Buy Christmas commercial #ItHasBegun
428526956_395352772746289153 x	RT @acltv: ACL to tape Nine Inch Nails on Nov. 4 http://t.co/YmfflbjOx6
428526956_395304764566552577 x	RT @J_Bash32: @Dave_Stan #please retweet me
428526956_395285973291913216 x	#Reflektor is so good, best birthday present ever from @arcadefire
428526956_395300437194072064 x	@J_Bash32 i NEED it
428526956_395003558602342400 x	RT @rickaroundhere: This will be full of surprises I'm sure: BIZARRE FOODS AMERICA ?Pittsburgh, Catfish & Kiska? New Episode Premieres Mond?
428526956_394998809702313984 x	RT @MLB: Oh look, @DavidOrtiz got another hit. #WorldSeries
