43016111_389944887761993728 x	@MsPattyJackson http://t.co/wEjAKjBipe
43016111_389944643380842496 x	@JennFredFOX29 http://t.co/wEjAKjBipe
43016111_389944510492717056 x	@MikeFOX29 http://t.co/wEjAKjBipe
43016111_389944302484611072 x	@KeeleyFox29 http://t.co/wEjAKjBipe
43016111_389944196742017024 x	@6abc http://t.co/wEjAKjBipe
43016111_389943931875917825 x	@jackielondon http://t.co/wEjAKjBipe
43016111_389943865303924736 x	@KBarrettFox29 @selenagomez @FOX29philly http://t.co/wEjAKjBipe
43016111_389943797683322880 x	@SWilsonFOX29 @FOX29philly http://t.co/wEjAKjBipe
43016111_389943689814224897 x	@CBSPhilly http://t.co/wEjAKjBipe
43016111_389943550429122560 x	@CBSPhilly @CBSNews http://t.co/wEjAKjBipe
43016111_389943446024507393 x	@NBCPhiladelphia http://t.co/wEjAKjBipe
43016111_389943266155978752 x	@FOX29philly http://t.co/wEjAKjBipe
43016111_389872732935958528 x	Man Films Unlawful Stop & Frisk Investigation (VIDEO) | Global Grind http://t.co/eVYsOZk8JV
43016111_379548843743797249 x	@MikeFOX29 Job Fair at Bensalem Pa Walmart 5131 From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379548741704773632 x	@jennfredFox29 Job Fair at Bensalem Pa Walmart 5131 From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers
43016111_379548217056063488 x	@SheinelleFox29 Job Fair at Bensalem Pa Walmart 5131 From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers
43016111_379485535372201984 x	@BarackObama Job Fair at Bensalem Pa Walmart 5131 From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379485199291019264 x	@CoconnellFox29 Job Fair at Bensalem Pa Walmart 5131 From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers
43016111_379484692023480320 x	@CBSPhilly Job Fair at Bensalem Pa Walmart 5131 From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379484132713058304 x	@DeniseNakanoTV Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers
43016111_379483425507274753 x	@CarolCBS3 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379483115384606720 x	@KacieFOX29 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379482959771746305 x	@SheriSalata Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379482840120848384 x	@CBSPhilly Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379482587896348673 x	@NBCPhiladelphia Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers,Cashiers
43016111_379481928434343937 x	@KarenFOX29 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379481427181453312 x	@SWilsonFOX29 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379481340619407361 x	@BGordonFox29 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379481079633043457 x	@MikeFOX29 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379476561428107265 x	@FOX29philly Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers +
43016111_379471078315130881 x	@FOX29philly Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers
43016111_379468833393623040 x	Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers, Unloaders
43016111_379468479499218945 x	@SueSerioFox29 Job Fair at Bensalem Walmart Bensalem From 10-2 Today  Interviews those Applied Via Online.1,2,3rd Shift Stockers & Cashiers
43016111_361691344315494404 x	WHY WOULD ANYONE DRIVE INTO A RIVER SOAKED STREET? AND THEN COMPLAIN WHEN THE CAR STALLS?
43016111_7212045534 x	RT @funkrockster: Who's the black writer who's book was put in a time capsule in anartica this month?
43016111_6377272415 x	My dad died 12-1  Nona! see you soon
43016111_3909021023 x	9-11 Heros! Always Remember!
43016111_3908832356 x	Sue, how is the weather going to be over the weekend in Bucks County? I would like to have a garage sale
43016111_3908818420 x	And yes my name is Mykl... I love my name esp. my middle!
43016111_3908802164 x	Ohhhhhhh! I love the rain and the cold. The heat was too much!
43016111_2738296692 x	Fox 29 traffice is a great deal of help to me, I can always tell what staff is coming to work late and who I am not writting up. lol
43016111_2738279234 x	How is everyone doing, Fox 29 i follow on a daily basis, Wendy you are truly GREAT!!! And Sue ... Always on the Ball!
43016111_2221997125 x	I have been hurt for a while and ,,, well i hate being home. I need to go back to work
43016111_2221987402 x	right now i am watching All In the Family and just trying to feel better
43016111_1942036450 x	On the net with my Blackberry Bold
