439762830_314086347646312448 x	Just broke my desk at work...#thisiswhywecanthavenicethings #sloppy
439762830_345169107290820609 x	It's scary dark out there for being 9 in the morning! http://t.co/Dtb45N6DWc
439762830_393411629662351360 x	In case there was any confusion about the rules... http://t.co/vwUE7CZGht
439762830_391674678303293440 x	Lol @EW #wellplayed #nooneisbetterthanmeryl http://t.co/YheX13wTXi
439762830_389594852796936192 x	?@Gawker: Ted Cruz & Co. rally in DC and tell President Obama to "put the Quran down" http://t.co/XuHXuzPtaU?#sloppy #getittogether
439762830_387773952249978880 x	I will soon be 24 but I kind of want @JenArnoldMD and @ReallyBillKlein to adopt me.  #thelittlecouple #tlc #sorrymomanddad
439762830_387667875433299968 x	#ohmom #weirdtextfrommom http://t.co/dct3mWrcbM
439762830_386544852122759168 x	RT @iamkidpresident: People like to complain about stuff online. It'd be cooler if we actually did stuff. #socktober
439762830_385949583383474176 x	So excited to be with my fellow gladiators at @TheatreNWilm watching @ScandalABC !!! #iamthehellandhighwater
439762830_383050312464232448 x	RT @NPRmelissablock: I've really been missing Rayna James' hair.  #Nashville
439762830_381855746079862785 x	RT @CBSNews: UPDATE: Red Cross says death toll rises to 68 in Kenya mall hostage standoff - http://t.co/N75qmQ6MC2 #westgateattack
439762830_381789479167852545 x	Someone is ready for Halloween!  #mooooooo #poodlecow #shehasextrauttersnow http://t.co/7p1K6WwwlU
439762830_379044346894749696 x	How many is too many?!? #leopardprint #belts #cleaningoutmyclosetonsaturdaynight http://t.co/vesEH6QAIC
439762830_375748907088621568 x	9 questions about Syria you were too embarrassed to ask http://t.co/0Z6OAujsGa
439762830_373499483872456705 x	The Myth of Welfare and Drug Use http://t.co/TGpl1AwHeO via @thedailybeast
439762830_372712847173623809 x	RT @ziadjaber: I have a dream that one's name, religion, or ethnic descent will no longer be factored into the judgement of his or her huma?
439762830_372103326214934528 x	Guess what came in the mail today!?! #readyforhillary http://t.co/SmJrSQPUlp
439762830_372063186083524608 x	@nprmonkeysee The second season of Call the Midwife aired in the US in March and April  ( Get excited- it's just as good as the first)
439762830_371797217008295936 x	I really have no desire to watch the VMAs but really want to see the @NSYNC reunion. #whattodowhattodo  #VMAs #FirstWorldProblems
439762830_371623501284646912 x	RT @DTakruri: Lol- The Middle East Explained In One Excellent Letter To The Editor http://t.co/WMOF0tFw6R
439762830_369546409113968640 x	RT @kerrywashington: #Gladiators! Want to see the new @ScandalABC poster? Get us to 10,000 RT + you'll see it first! #Scandal S3 starts10/3?
439762830_369467449264992259 x	@heathphilli I misssss youuuu
439762830_369465598083747840 x	RT @BLADT: Theologians of twitter must be confused as to why Saint Amos Day is trending today (and not on June 15th) #stamosday (Happy 50th?
439762830_368131113442484224 x	Love love love my new @whyy tote bag!  It will go nicely with my "I love @NPR" dog leash. #itsnotaboutthegift http://t.co/vcMkcCInaE
439762830_368044671592693760 x	RT @BuzzFeed: Say hello to the olinguito, a new mammal species just announced by the Smithsonian http://t.co/JvH0RCrfIP http://t.co/UJjLVe5?
439762830_367449095226806272 x	RT @BuzzFeedNews: BREAKING: Newark, NJ, Mayor Cory Booker wins Democratic primary in special US Senate election, @AP reports
439762830_367309635033640962 x	RT @peoplemag: Bo > Gretchen Wieners. RT @whitehouse Bo, stop trying to make fetch happen. http://t.co/SdVhMwwKWU
439762830_365562070567096320 x	RT @KrisPierre: Hey Tea-party, in our Family, we take orders from our conscience & higher power, NOT you #WhitePeopleBoycottingEBONY http:/?
439762830_364164350237757440 x	leptitgouter Guess what that is? http://t.co/324Txl7gt7
439762830_362622309237932034 x	RT @BuzzFeedNews: Zimbabwe is voting by candlelight tonight (photo: @azadessa) http://t.co/4qGMPzizWW
439762830_361823464853733378 x	RT @BBCBreaking: Pope Francis tells reporters: Who am I to judge gay people? http://t.co/4HCQ4OwfM9
439762830_360532339928989697 x	A new visit, a new phone background #shessovainsheprobablythinksthispostisabouther http://t.co/FY6b8V7iNU
439762830_360151454582980608 x	RT @TIME: Former President George H.W. Bush shaved his head to support a 2-year-old cancer patient | http://t.co/3Ur6SIsEjv
439762830_360111747115393024 x	Just narrowly avoided death by file cabinet. #ouch #oops #thatwouldhavehurt http://t.co/I734SnyHw4
439762830_360053291662573570 x	RT @iamkidpresident: Treat everybody like they are royal babies.
439762830_359724687846158337 x	RT @WilmBlueRocks: I voted for @WilmBlueRocks Rocky Bluewinkle as best Carolina League mascot in @MiLB #MascotMania! http://t.co/qvMP1Nu6Bp?
439762830_359688199708221441 x	@chelsbabels I'm going on Saturday with my mom and sister if you want to meet up
439762830_359660203110707200 x	?@DwntwnNewarkDE: Food and Brew - the perfect time to check out our newest restaurant concept on Main Street! http://t.co/fD5MQhP6Mn?#pumped
439762830_359439968034242560 x	?@Know: Spanish: Mi pap? tiene 47 a?os = my dad is 47 years old  Mi papa tiene 47 anos = my potato has 47 assholes? good to know! #spanglish
439762830_359399304286322692 x	@Suzi_Sunshine11 Lily's future bf was born today. #ihopeshebecomesaprincess
439762830_359001562208673792 x	#dc #familyfun #iwishforestgumpwashere @ Vietnam Veterans Memorial http://t.co/JcfE8zh6w0
439762830_357180068344250369 x	RT @BuzzFeed: Joss Whedon's answer when he was asked the question "Why do you write strong female characters?" http://t.co/GNiKyUxUAq
439762830_355808100126699520 x	RT @PhelimKine: #Malala wows @UN General Assembly today. "They thought that bullets would silence us,but they failed" @hrw http://t.co/HFl7?
439762830_355493495311564801 x	Having fun supporting the @DEBreastCancer Coalition at the @WilmBlueRocks game!
439762830_355078828869160961 x	Having @BarackObama's NSA speech narrate the RED 2 trailer is genius! #RED2
439762830_352946083258830848 x	@MattJanus you'd be so proud of your wife right now, she's in the corn hole finals
439762830_352947988601110530 x	@MattJanus #rude and she said #ohnonono
439762830_352845681813225472 x	:"There is nothing wrong with America that cannot be cured by what is right with America." Bill Clinton #happyindependenceday #merica
