44643963_395647254691708928 x	Finally social media explanations!! http://t.co/D6VUVpYdno
44643963_395571603825623040 x	Dewey code forbids elevation for nonconforming homes http://t.co/DPCNAbIIDA
44643963_394814319952531456 x	Sandy A Game-Changer For Shoreline Living - Top News - http://t.co/JxmTbyOHDH http://t.co/fTnsSqkBMA
44643963_393744930364874752 x	Flood Insurance Price Increases Affecting Home Sales http://t.co/Rog9kQL6jq
44643963_392992356527403008 x	Dewey planners seek input on zoning changes http://t.co/yiePxK7vpO
44643963_392637440990511104 x	Broadkill bears the brunt of coastal storm in Delaware http://t.co/FI36zu6NUR
44643963_392636928882782208 x	Delaware workers' compensation rate battle still raging http://t.co/YPvv0Usq83
44643963_391200061201596416 x	@delaware_gov @RyanWarner7 @TheMot100 @MontyStarboard @TOASTIE_KIRK
44643963_391199659504697344 x	RT @delaware_gov: News: Two DUI Checkpoints Scheduled for Tonight http://t.co/cl2mQHCA39
44643963_388287838921306113 x	Rehoboth Beach, DE weather and forecast information on http://t.co/YBskY1BtOB http://t.co/mbwoiJqhxA
44643963_387640250991800320 x	NYC Mayor Warns Government Shutdown Could Delay Aid for Sandy Victims http://t.co/jREW7eYvaP
44643963_384684698628136960 x	Insurance Discount Triggers: An Insider?s Guide to Timing Your Insurance Purchases for Maximum Savings http://t.co/Zwj3R7z4jX
44643963_384341597305192448 x	RT @CutonDime25: I work on Sundays .... Catch me n action ...
44643963_383593218706649089 x	News Briefs http://t.co/YGc10FtG1t
44643963_383243640153206784 x	Current Trends in Contractor Equipment Theft http://t.co/dQ1yUoBVBX
44643963_382970936355340289 x	ABC's of Cyber Coverage | PropertyCasualty360 http://t.co/d1qNU0UVlg
44643963_382970523304460288 x	N.J. Surplus Carriers Move In to Assess Seaside Boardwalk Fire Damage | PropertyCasualty360 http://t.co/HeWI8wF3lm
44643963_382871863141339136 x	Just another Sunday at The Starboard 1@SethCostello @ZacBusby @jamiejenney @RyanWarner7 @TOASTIE_KIRK  http://t.co/BRt0XEDoPI
44643963_382870139026563072 x	@nutmeg300 @JenniePdiddy @TheMot100 @LJN0115 @LindsayXLPhilly taking her home to meet my mother!!!
44643963_382167567567048705 x	Task Force: Coasts Should Prepare for Rising Seas http://t.co/BdfLZwRBjz
44643963_379255432185139200 x	Gorgeous here!! 1st Miller Lite in. Where the fish!!??
44643963_378577427921772545 x	New Jersey Shore Boardwalk Rebuilt After Sandy Torn by Fire http://t.co/8MCA98k0V4
44643963_377987956558295040 x	@TravD04 had to send it to myself.... http://t.co/EoGdL5NxxX
44643963_377987714244943872 x	@TheMot100 tide schedule bitch.  http://t.co/EoGdL5NxxX
44643963_377986461661802496 x	It?s Scattered Clouds and 73 ?F today in Duck / via @ClearDay@TheMot100 BOOM! http://t.co/qXmBDlWrcO
44643963_377981186913869824 x	RT @Yahoo: .@Seahawks to plant undercover cops wearing @49ers jerseys in crowd to detect unruly fans: http://t.co/hOLVEMV1pq Heated rivalry?
44643963_377975138706554880 x	I remember my 9/11. Don't tell me how to feel or what to do.  If you don't vote, or do anything but Facebook posts, GFY.
44643963_375669217212633089 x	Delaware workers? comp reform officially gets agent perspective http://t.co/UsyZbezKL2
44643963_375284349261733888 x	Restaurant Insurance Basics http://t.co/p5WimHY4GW
44643963_363331411387760640 x	#EaglesMobile: Statements From Eagles And Riley Cooper | http://t.co/Z6Wc6m131a http://t.co/FwuWAJGC0F. Good move  Eagles!
44643963_362575623337672706 x	@JenniePdiddy @TheMot100 @nutmeg300 that's me in the water!! Wasn't that calm yesterday!!
44643963_362575447751532544 x	RT @JenniePdiddy: ?@TheMot100: Key Box Rd Test Flight @TravD04 @nutmeg300  http://t.co/sErSll2cTm? Fucking awesome!! ??
44643963_357314365227139074 x	People are crazy...just watch.  http://t.co/j0C3toWvcj
44643963_354782036378136577 x	RT @BleacherReport: The MLB is expected to suspend Alex Rodriguez, Ryan Braun, and up to 20 other players after the All-Star break http://t?
44643963_354265331558121473 x	RT @BleacherReport: Andy Murray reading about Andy Murray. #Wimbledon http://t.co/G0oIREaoDg
44643963_349933716820332544 x	Kelly Hit with Sanctions for Oregon Recruiting Violations (via http://t.co/tEl9G2B8QN) http://t.co/QAr1ocjKbZ
44643963_349905021544042497 x	Patriots tight end Aaron Hernandez arrested http://t.co/q8OxRg1fVF  via @NBCNewsUS
44643963_347541195368566786 x	@perfectdrinks where do you Bartend at a diner??? If only the garnish was as wilted as the tomato juice. WTF.
44643963_347049800803422208 x	National Weather Service Watch Warning Advisory Summary http://t.co/qn9fBMOJlC
44643963_344210962833870848 x	Rain for the rest of the week......... http://t.co/ROprct35eE
44643963_343737779299155968 x	Eagles Unveil $125M Stadium Upgrades, Want Super Bowl (via http://t.co/tEl9G2B8QN) http://t.co/MYCVGILMGs
44643963_343450841740611584 x	RT @EaglesPulse: Bleeding Green Nation: Follow-up Thoughts on Simmering Eagles QB Battle http://t.co/UPs7ugSr7s
44643963_341069523094470656 x	starboard clean up!!!!! #thestarboard #thestarboarddb Follow us @thestarboard http://t.co/kAm6B3wIi1
44643963_341060121331367936 x	Follow us @thestarboard http://t.co/m6wCsZKmNf
44643963_340633280191811584 x	shelly killin it..... Follow us @thestarboard http://t.co/zhbbK31Z1J
44643963_336860262328070144 x	Bracing for Round 3: 53 million under severe weather threat http://t.co/hRrZmNN4CG
44643963_335843923484352513 x	@RyanWarner7 @THEnickcreasey you can cut the sexual aggression tension w a knife at @anthonysharkbar!!!!!
44643963_335773506631516161 x	RT @Will_FerreII: I just thought of a brand new social networking tool for the kids...are you ready for it? It's called, "outside".
44643963_333926734917402625 x	I've just updated my professional profile on LinkedIn. Connect with me and view my profile. http://t.co/95kAfXhb6Q #in
44643963_331011064726683649 x	RT @WolfpackAlan: If you think you're having a bad day, just remember, someone is gonna have Snooki as their mom.
44643963_330833425793687552 x	RT @drunk: I made my bed and now I'm laying in it. Literally, it feels amazing. What's so bad about this?
44643963_330676039523106816 x	RT @SethMacFarlane: At car wreck: "Let's exchange insurance information."  "Okay, mine are total dicks."  "Mine too."
44643963_330353096540700672 x	RT @drunk: Heading out for drinks, bail money's on top of the fridge.
44643963_328887125904850945 x	RT @NFLRT: BREAKING: Vince Young and JaMarcus Russell will name Tim Tebow the President of their Make-Believe NFL QB Club.
