453674255_255856571781885953 x	@BETKeyshiaCole love it love it
453674255_399601025398501376 x	@WendyWilliams hey Wendy love that Betty Boop!!! Need tic to your show real bad. Help!!!!
453674255_399545437453299712 x	@TheRealEve happy birthday to an amazing rapper!!!
453674255_397878583265615872 x	@mcondition love your music are u performing any where near Philly? I'll be there with bells on
453674255_393356154962989056 x	@jsullivanmusic now that's a perfect morning
453674255_392636308541411328 x	@iam_POOCHHALL when are the new Ray Donavan shows coming on? Can't wait!!! This show is so damm good especially with u in it
453674255_380792545631936513 x	OMG! you gotta check out @Catgnaw's #Catwang App. Its Amazing and Free! http://t.co/RQQxAUAAic http://t.co/YJu59XWCZ8
453674255_378380728817696768 x	@KELLYROWLAND you go girl I love your music you have great talent I'm glad you get to finally show it.
453674255_377483801309741056 x	@iam_POOCHHALL oh My God I can't believe you tweeted me back WOW. I'm a big fan. I've been following you since The Game.
453674255_377428083873447936 x	RT @chantalaur: Sometimes we move too fast and we forget to slow down to catch what we?re missing out on.
453674255_377428071357644800 x	@chantalaur so true
453674255_377427567567204353 x	@iam_POOCHHALL @SHO_Network keep up the good work 1# fan
453674255_377426710465368064 x	@iam_POOCHHALL good job on Ray Donovan. Can you really box?
453674255_377424891827740672 x	@KeithJones you look nice either way scruff or clean!!! Keep up the good work.
453674255_373116940170309632 x	@hollyrpeete love that movie
453674255_372340439288152064 x	@MikeFOX29 Great, Good, Awesome job Mike your the best.
453674255_365814292496392192 x	RT @RevRunWisdom: Lord please today guide my feet into happiness, health, success & blessings  -Psalm 37:23 .. Lord order my steps please
453674255_365814195805106176 x	@iam_POOCHHALL meant to say You need to star in a Tyler Perry movie. Even thou I can put in a good act LOL!!!
453674255_365812716079820800 x	@iam_POOCHHALL excellent actor I love your new part in Ray Donavan. I need to star in a Tyler Perry movie. I miss you on the Game!!!'
453674255_364077901425016832 x	@kmichelle new video is hot keep up the good work. Love & Hip Hop New York are you thinking about being a new cast member?
453674255_362555048900825088 x	RT @ciara: God Never Gives Up On You and Don't You Forget It ?
453674255_362553228153462784 x	@kmichelle  where is your next show going to be? Me and my girls would love to come. Your new video is hot!!!!
453674255_361622759018725378 x	@LeToyaLuckett so glad your coming out more you and Kelly Rowland got it gonna on. Proud of you girls!!!!
453674255_356758630223183872 x	@JennFredFOX29 hey Jenn love that top you have on today!!!!
453674255_347337217670254592 x	@KELLYROWLAND hey Kelly you kicked it on GMA I'm glad your starting to shine your a star baby!!!!! Your the best
453674255_345516062684614657 x	RT @RickeySmiley: Happy fathers day!!!!! To all you great dads!!!!!! Much love and respect!!
453674255_345515984314068992 x	@MikeFOX29 good morning Mike you make my day.
453674255_200921386733146112 x	@Kadiveo I'm doing well hope to see you soon
453674255_341891169128685570 x	@BarackObama saving Sarah Murnaghan she needs a new lung please help her. Heart broken!!!!!
453674255_328725044597489664 x	@TheRealLailaAli @nurturingdreamz your desert looked really good!!!!
453674255_328893188859379712 x	@TheRealLailaAli your the Greatest. I need the recipe for some more health deserts and health foods. Do you have a web site for that?
453674255_328892579259224065 x	@TheRealLailaAli @nurturingdreamz oh my God I'm so thrilled you responded back my husband loves you we named our daughter after you.
453674255_328715075718369280 x	@NeNeLeakes @bravoandy love you N?e N?e you make Atlanta House Wives worth watching.
453674255_274939221788217345 x	projects
453674255_270742096548356096 x	@edshow Ryan is only for the rich I don't know why his mother was on social security.
453674255_268486369075150848 x	@RevRunWisdom Happy Birthday to one of the best rappers ever. Your son is following in your footsteps. A Diggie fan!!!!
453674255_268485410915762178 x	@TheReidReport @ghoshworld not long the Republicans trying to find anything to discredit Our President. Not going work
453674255_236333213289705472 x	@DaRealPepa love that pic I love Leon
453674255_267296964218073088 x	RT @goldietaylor: I have to tell you I was awe-struck by @chrislhayes today as he spoke on racial constructs and who relies on them. @up ...
453674255_267296812463968256 x	@chrislhayes I want to thank your brother for his tried less efforts and his great belief for our President to make this country MoveForward
453674255_266766527255154688 x	@edshow love your show can't stop watching. I've learned so much in the past few months I think I could run for office LOL!!!!
453674255_266765835656368128 x	@edshow yes it gives him a upper hand. He can really piss them off now he's not running again any way I wouldn't care what they thought.
453674255_266764358305058817 x	RT @TheReidReport: ?@joaynn510: I introduced my sister to #MSNBC on election night & she can't stop watching. She loves @maddow @Law ...
453674255_266040298428301313 x	RT @TheRealMikeEpps: ROMNEY LOOK LIKE ONE OF THE GOLDEN GIRLS!
453674255_266039482560675840 x	@TedJetLife love that speech
453674255_266033667455979520 x	@Top_LineDiamond  he did it thank God we are free
453674255_266038694568402944 x	@Top_LineDiamond take your ass home Mitt we don't need you. Now I can eat steak not dog food LOL!!!!
453674255_266030400311267328 x	RT @BreakingNews: NBC News, CNN project Obama wins Iowa
453674255_265972676689014784 x	RT @Top_LineDiamond: niggahs better get yall ass out there N fucking vote!TF specially  folks that depends on goverment and women that a ...
453674255_264562774594703364 x	@Lawrence That speech you did tonite brought tears to my eyes. You are a wonderful speaker. Obama is number 1
453674255_264561651896942592 x	RT @Lawrence: When NJ is rebuilt @BarackObama can tell @GovChristie 'you didn't build that.' @TheLastWord at 10pm.
453674255_263296809840033792 x	@MikeJerrick This is why we need FEMA Mitt wants to cut it can you imagine what would happen without it. Obama is number 1 in my book
453674255_263292958642688000 x	@FOX29philly now you see how important FEMA is to this country Mitt Romney. Without it people would have no help. He shows his true colors.
453674255_262953459106586624 x	@mnsbc God is working did you hear what Mitt said about FEMA if this storm didn't come we wouldn't have know this. Get rid of FEMA what!!!!
453674255_262950693969752066 x	RT @Top_LineDiamond: Some dude on #MNSBC said he will punch obama, i think it was romney grown ass son?Obama will woop you and your dadd ...
453674255_259128106038730753 x	@Lawrence @thelastword love it love it I bet Tag was speechless. Swing at that Tag!!!!!
453674255_258949643587710977 x	@tamronhall If these people don't vote we all gonna be eating cat and dog food. Please Obama 4 more.
453674255_258781942370168832 x	@llcoolj struggle is success,work hard and success will come.
453674255_258780702609379329 x	RT @llcoolj: Strength and growth come only through continuous effort and struggle.  Napoleon Hill
453674255_258689608806715392 x	@mnsbc Mitt is gonna try and run this country like a business . Lord help us
453674255_258632944229421056 x	@tamronhall Why won't these Republicans  answer the questions?????
453674255_258614864346484736 x	@BrookeBCNN no matter what they try to say about Obama he will always be a gentleman he took the heat like a man!!didn't let Hilary go down
453674255_258603082160689152 x	@CNN What difference does it make what he said about terrorism this is just some bull shit Mitt, what about the 47%did you mean that
453674255_258536228855631872 x	Damm Jen that jacket is sharp. Where did you get that from ?
453674255_249122251088207872 x	@MikeJerrick I tip everybody. Even my husband when he does a good job LOL
453674255_247318591979003904 x	RT @RedBerryRooftop: Retweet if you wish to spend your last warm weather weekend at the #RedBerryRooftop this Sunday evening in NYC. htt ...
453674255_245558143080361985 x	@Ludacris You have great acting skills I can't forget the role you played in Law&Order with Ice T. Awesome
453674255_244673725562232832 x	@TeamEve1 that perfume smells so good
453674255_242272910461530112 x	@KingENJ It was a pleasure meeting you and your family. You are down to earth people and we will support your career.
453674255_237188578482991104 x	@danangell90 @solangeknowles
453674255_236794084868640768 x	@DJCosmicKev I will be there this is the party of the year. BDJE!!!!!
453674255_236420862130151424 x	@Sue_Serio happy birthday Sue you look wonderful.
453674255_236333404508020737 x	@DaRealPepa you look fabulous
