46060947_399774904192880640 x	@TheMiamiQueet why
46060947_399764680992096256 x	@bigmetsfan123 RT this
46060947_399778686070956032 x	@bigmetsfan123 you have an article about tannas arraignment?
46060947_399777583556231168 x	@TheMiamiQueet @MongoGoesCrazy Uncle Jerry is getting in his car. He's doing overtime work
46060947_399776993107247104 x	@MongoGoesCrazy I need to hold you accountable for saying you want to spank #Dennis. #stopbullying #stophazing @TheMiamiQueet
46060947_399776102652346368 x	@TheMiamiQueet lol you guys are so cute with each other
46060947_399748553457037312 x	RT @MongoGoesCrazy: @TheMiamiQueet @jayd00 I want Dennis to spank me.
46060947_399748253807575040 x	@TheMiamiQueet @dtrainn77 @MongoGoesCrazy or this https://t.co/VMQMQu0IRR
46060947_399742935274889216 x	@MongoGoesCrazy @TheMiamiQueet @dtrainn77 I think you?re overreacting. Spanking should be acceptable
46060947_399745571143303168 x	@MongoGoesCrazy @TheMiamiQueet but you said you would spank @dtrainn77
46060947_399747718656323584 x	@MongoGoesCrazy @TheMiamiQueet @dtrainn77 how can you explain this? https://t.co/OftbJZFbkm
46060947_399738352150523904 x	@AnthonyG1982 @MongoGoesCrazy  we should do that to @dtrainn77
46060947_399738690710548480 x	@PinotGreggio I am going to church with Leslie instead of hanging with the #herbclique
46060947_399739743803822080 x	@PinotGreggio lol I am still good to go
46060947_399741841836617728 x	@PinotGreggio lol I will see what I could do. Leslie doesn?t unblock easily
46060947_399741301048242177 x	RT @MongoGoesCrazy: @phillyMetsfan Can you tell Dennis I am calling Moose to rip the person who spanked Anthony Davis? Thanks.
46060947_399738776618278912 x	@nyMari kid is nuts lol
46060947_399739562073022464 x	@bigmetsfan123 Richard
46060947_399740084955930624 x	@bigmetsfan123 I?m sorry
46060947_399740559642071040 x	@bigmetsfan123 STFU
46060947_399740898567024640 x	@bigmetsfan123 did @MongoGoesCrazy show you the video of Anthony Davis being duskied?
46060947_399739338109779968 x	@bigmetsfan123 @nyMari I love you, Richard
46060947_399728764089032704 x	@MongoGoesCrazy @dtrainn77 that?s disturbing
46060947_399731203596890112 x	@MongoGoesCrazy @dtrainn77 i think this was a clip from a gay porno
46060947_399733014668017664 x	@MongoGoesCrazy he doesn?t want to watch naked guys
46060947_399733565044568064 x	@MongoGoesCrazy don?t you think he is enjoying the guy touching him too much?
46060947_399734664380051456 x	@MongoGoesCrazy is that why you quit TSC? Did Pastor Conlon tie men up and flicked their butts?
46060947_399735378896498688 x	@MongoGoesCrazy when I open a church, I will promote you and give you a respectable position, Leslie
46060947_399736074563747841 x	@MongoGoesCrazy I have heard of him. He is a motivational speaker right
46060947_399733111019565056 x	RT @MongoGoesCrazy: @nassaumoliseum @dtrainn77 It's okay. Nothing special. I might be moving to a Baptist church.
46060947_399731715046129664 x	@dtrainn77 Leslie sent me a clip of a guy getting hazed naked. He wants to know your thoughts on it lol
46060947_399732852340060160 x	@dtrainn77 lol trust me it?s kinda weird. Idk where Leslie finds this stuff
46060947_399729419935576064 x	RT @MongoGoesCrazy: @fClamez I am seriously a Colorado sports fan more than a NY Sports fan. I just troll on NY teams for the most part.
46060947_399704993152135169 x	#healthyliving  RT @gregpomes: Photo: #dinner #grilledchicken #zucchini http://t.co/AwcS7N7U7Z?
46060947_399702843667779584 x	@bigmetsfan123 remember when you tried to get Dennis to unblock you by telling him your mom likes him? Lol
46060947_399704039044415488 x	@bigmetsfan123 I don?t care enough to find it
46060947_399703673385009152 x	@bigmetsfan123 I think you buddy @Smallmetsfan123 told him that
46060947_399703445898534912 x	RT @Smallmetsfan123: I wish I had a #healthyliving life like @gregpomes
46060947_399700434484752384 x	@Smallmetsfan123 ew
46060947_399606346473308160 x	@MongoGoesCrazy I think the Nets should hire Eric Wedge
46060947_399699818840600576 x	@MongoGoesCrazy agreed. The Kidd hiring was dumb
46060947_399700030535516160 x	@bigmetsfan123 @MongoGoesCrazy STFU
46060947_399647882061819905 x	@bigmetsfan123 STFU
46060947_399663124447772672 x	@bigmetsfan123 JSTFU
46060947_399661768425099264 x	@sullisull420 don?t forget the grape soda and watermelon
46060947_399653889362100224 x	RT @ESPNStatsInfo: Peyton Manning: 8th season with at least 30 TD passes. Only Brett Favre (9) has more
46060947_399647504675127296 x	Omg Bengals
46060947_399643148928155648 x	@bigmetsfan123 where is @Number1IslesFan ?
46060947_399642548421287936 x	RT @damienwoody: Jags did Jets a huge favor
46060947_399642430209024000 x	Becoming a nightmare fantasy day
46060947_399642246032928768 x	@NJD107 it would be fun to troll the #Jaguars fans but they helped us today lol
46060947_399373159045943296 x	@bigmetsfan123 I can't wait til Leslie destroys the Knicks tonight
46060947_399374567669391361 x	@bigmetsfan123 I know a guy who's actually named Dick Head, cote
46060947_399375251466747904 x	@bigmetsfan123 don't talk poorly about Sean
46060947_399375009845481472 x	@MongoGoesCrazy why can't Cote be more like Richard Head?
46060947_399374385787568129 x	@bigmetsfan123 idk I don't care about basketball lol
46060947_399373927115268096 x	RT @Golfer07840: @bburke0920 @Crazy4NYSports @metsfanmurph lets face it all NY teams stink.. except the Jets (cant believe I typed that (
46060947_399372297057738752 x	@graves9 @Crazy4NYSports why the hate on murph?
46060947_399373461480435712 x	@graves9 @Crazy4NYSports lol it was
46060947_399372145274667008 x	RT @graves9: Lol. "@Crazy4NYSports: Had to unfollow Murph. He?s terribly unfunny."
46060947_399127816425734144 x	@MongoGoesCrazy @JoeandEvan it's all about the championships in NY. The early 90s Knicks won zero
46060947_399274836158996480 x	@MongoGoesCrazy @JoeandEvan don't be a shill. All that matters are championships in NY
46060947_399371903439470592 x	@MongoGoesCrazy @JoeandEvan can you respond? I get upset when you're in shill mode
46060947_399306493251837953 x	@JoeandEvan why is @MongoGoesCrazy a shill for the 90s Knicks?
46060947_399321279414546432 x	@GregS0115 @JoeandEvan @MongoGoesCrazy Melo would fit in perfectly with the 90s Knicks
46060947_399288520230977536 x	@MongoGoesCrazy @JoeandEvan STFU
