466984535_396353788753506304 x	@bobrosario what's this about?
466984535_387386903513014273 x	Loyalty and respect are rare nowadays... If you get that, don't be stupid and let it slip away.
466984535_387396165488365568 x	@bobrosario I knew you would say that!!
466984535_386185435615354880 x	Making the douche @ChrisNOXC24 happy taking my car to H&H. Now I'll probably blow up on the way home.
466984535_381796157724590081 x	I've been getting up exceptionally early for me when I don't need to. Is this real life?
466984535_381797324697403392 x	?@bobrosario: @brandon_rosario http://t.co/X47wobdX2K?  Oh thanks, dad. ?
466984535_379288687471001600 x	NEVERMIND. Always forget they're closed on Sunday's... #ChicFilA ?
466984535_375973992685117440 x	?@HotNewHipHop: .@KanyeWest Announces #Yeezus Tour With @KendrickLamar http://t.co/5cVRlUxAt7 RT! Who wants to go???!!?  WHAT?? ?
466984535_375785087536623616 x	Gym or swimming... ?? #DecisionsDecisions
466984535_375789482739765248 x	@justin_boston I don't give a flying poop about the Ravens. Lol, taking a quiz then going out.
466984535_374786679204511744 x	The one half was moving in the tissue. #ew ew ew ew
466984535_374768388608126976 x	Definitely getting a #PlanetFitness membership. Screw Ship's gym. ?
466984535_374745758773551104 x	#PlanetFitness at #midnight. Freakin' packed!  This is ridiculous. #gym #workout #dedication ? http://t.co/FxLWUvwvdg
466984535_374728917984489472 x	This is retarded. #RAW
466984535_374657762607001600 x	What to do for dinner... #LaborDayProbz
466984535_374659461774077952 x	@bobrosario I'm not home!
466984535_374313103368130560 x	No classes tomorrow >>>
466984535_374313648975806464 x	@bobrosario what?  I'm saying it's a good thing!  I just thought about it! Jesse still has class!
466984535_374294773018157056 x	All my roommates went home... For once I'm the only one just chillin' here. What's up with that?
466984535_372445558524616705 x	Reasons to date me: 1.) no one would try to steal you from me.  2.) sometimes I'm funny.    Can't think of anything else.
466984535_372123180842119168 x	Been waiting in the same spot in line for 15 minutes. This is ridiculous.
466984535_371826684699631616 x	Edited is so lame... ?
466984535_371014500742606848 x	Somebody pack for me. ???
466984535_368223485023510528 x	I hate on FB that if you upload your picture and then change your profile picture it comes up twice....
466984535_368224471389601792 x	@bobrosario I do it correctly!
466984535_363736259745042432 x	?@FlTNESS: Complaining doesn?t burn calories or pay for your gym membership.?  #unfortunately ?
466984535_363693017992929281 x	Left my wallet at the theatre last night. The cash is gone but at least I got it back ?
466984535_362899827715080192 x	#Rutters breakfast for the first time ever.
466984535_353793432864563201 x	Good thing my soup exploded in my lunch box. ?
466984535_352992455374815232 x	PROTECTED
466984535_350949925602852865 x	HOW?!  #Mom #lol #blowdry #sleep #crazy https://t.co/ea14uK7YgL
466984535_350171132218966018 x	I'm all sore, banged/bruised up from racquetball. Can't wait to do it again in a few hours!
466984535_350170443996598272 x	PROTECTED
466984535_348052926884876289 x	Friday doesn't mean jack for this guy this week... Work all weekend ?
466984535_345522523741503488 x	Make so much but get 1/2 of it... #gay #lame #stupid #annoying #dumb #hashtag #shutup #douche
