47873981_371353426896384000 x	#drama is #not #good #GetALife
47873981_398295417437585408 x	I'm crying watching your story I can totally relate @KBarrettFox29 #thankyou
47873981_389796396427390976 x	https://t.co/rukHFUlVeH
47873981_390856474022641665 x	"Threat of default increased our borrowing costs"-Pres. Obama
47873981_399296361759129600 x	... let's work #TOGETHER to help #Earth(lings) ... please #DonateTweets at http://t.co/yR554p9lO6 or  RT ... TY
47873981_399028128619954176 x	RT @CherylBurke: Praying 4 my family &others in the Philippines RT@philredcross Filipino Spirit is stronger than a typhoon #StrongerPH http?
47873981_399027976756813825 x	RT @kenzhuxiaotian: The Philippines never let any calamities drag them down instead they face it with a smile. How they do that?
47873981_398846416933904385 x	RT @goodhealth: Happy Friday! We suggest you make these #pumpkin pancakes over the weekend. Find the #recipe at? http://t.co/xf11ZzTkFp
47873981_398440242782679040 x	We started writing essay at the age of 9 at school I think it helped a lot @FOX29philly @MikeFOX29 @SheinelleFox29
47873981_398111822378971137 x	?@kathygriffin: I'm on @WendyWilliams today! Don't miss it! #HowYouDoin http://t.co/yl9BvYp5UQ? definitely watching!
47873981_398111469352792064 x	#KathyGriffinOnWendy hilarious !!!
47873981_397725298109976576 x	#50daysbeforeChristmas @ChristmasCount #Holidays2013 http://t.co/KBD0NkshRI
47873981_397717868126949377 x	RT @ChristmasCount: ??????????  ?      5 0    D A Y S      ?  ?        U  N  T  I  L        ?  ?  C H R I S T M A S !  ?  ??????????
47873981_397394354488483840 x	?@Bethenny: Historically, I don?t love my birthday, but this year I am really excited.? -happy birthday cheers?to more success on ur show!
47873981_397126619439312897 x	RT @CoryBooker: "Faith without works is dead."
47873981_395382735092875264 x	RT @giseleofficial: A big thanks to everyone who took part in the #WED2013 #ThinkEatSave @UNEP. http://t.co/CEHuPviscI
47873981_395031636540411905 x	RT @RobSchneider: 4 hours till my show in Manila at the Solaire Resort and Casino!!  See you there!!!
47873981_394448875920302081 x	???????? ? 6 0  D A Y S  T O ? ?C H R I S T M A S? ????????                              @ChristmasCount
47873981_394447778229014528 x	RT @CoryBooker: "The greatest discovery of my generation is that a human being can alter his life by altering his attitudes." William James
47873981_394315757703938049 x	RT @ihatequotes: Life isn't about what happens to you, it?s about how you react to what happens to you.
47873981_393218794111660032 x	RT @TopBibleVerses: If we love one another, God remains in us and his love in us is made complete - 1 John 4:12
47873981_392972459680755712 x	?@NBCNews: 5-year-old Texas boy accidentally kills himself with napping babysitter's gun http://t.co/M2Dh1y9AiF??
47873981_392601861481824256 x	?@ANCALERTS: Asia's first horror theme park to open in Manila http://t.co/Q2MfKtFpar?
47873981_392601657496076288 x	RT @ihatequotes: Keep?talking about me behind my back, and watch God keep blessing me in front of your face. #IHQ
47873981_392095457721475072 x	RT @ihatequotes: You may be fighting some serious battles, but the good news is that God is bigger than anything you?re facing. #iHQ
47873981_392095385889824768 x	RT @ANCALERTS: New Jersey to hold first gay marriages http://t.co/YN3xW7zF9j
47873981_391646397579411457 x	#knowledge & #intelligence http://t.co/FIOgT2velA
47873981_390856070501253122 x	HN: President Obama on the end of Government Shutdown (for now) #myfoxphilly #Obamacare #Obama
47873981_390675263203598336 x	Senator @CoryBooker , congratulations.
47873981_390589902813147136 x	RT @damnitstrue: Never let the sadness of your past and the fear of your future ruin the happiness of your present.
