47882030_386998763732357120 x	#RaiseIt http://t.co/JM6eRHoX3w
47882030_386994839285694464 x	LETS FUCKING GOOO!!!
47882030_386958876979257344 x	Byrd comin up clutch!
47882030_386215288943169536 x	Ohhhh killem. #Pirates
47882030_386210655436812289 x	Pirates are doin work and I'm missing it :(
47882030_395011903040126976 x	Everything's taylord, you dumb fuck.
47882030_395004581069217792 x	https://t.co/Vnpom9RnEW
47882030_394916949701832705 x	Fuck any nigga that's talkin that shit to get a reaction
47882030_394889725045407745 x	@leawalker28 happppy birfffdaayyy!
47882030_386168789127413760 x	https://t.co/MHTgJwMjUV
47882030_394699027968950272 x	@danodoeee happy birthday youngin
47882030_394698954627375105 x	@danodoeee
47882030_395714199189745664 x	@Hartsy19 #Since1975
47882030_395707553470238722 x	I'll put money on in Malkin scores twice tonight.
47882030_395702055010308096 x	I fucking hate the damn bruins.
47882030_395700890109480960 x	@RealTaylorGang HAHAH that daytoday when you did that was funny af!
47882030_395537183731642368 x	RT @MileyCyrus: xxxxxxplicit pornkinzzz #beware #happyfuckinghalloween ???? http://t.co/NkqJgipBTX
47882030_395536236469047296 x	RT @MadChad412: Sidney Crosby as 20 points.  The Flyers only have 20 goals as a team.   Who really sucks though?
47882030_395354300089921536 x	But forreal tho, this new twitter >>
47882030_395070221771632640 x	@Huntermoore > @iLikeGirlsDaily
47882030_395056670222876672 x	RT @TaylorGang: Taylors, Who's ready for #blacchollywood #daytoday #TaylorGangRevolution
47882030_395055753561931776 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a @sluggernation #WorldSeries bat. http://t.co/uixGC0fheV
47882030_395045059818971136 x	RT @Huntermoore: RETWEET this is you're a Child of mine or a part of #thefamily and lets all follow eachother <3 make #thefamily closer
47882030_395033953197109249 x	RT @iLikeGirlsDaily: Retweet if you would fuck Selena Gomez http://t.co/7YOn18cS0V
47882030_394559526822629376 x	Da
47882030_394546169252442112 x	@AdventuresOfTim lol you better hope
47882030_394551151581863936 x	@AdventuresOfTim craftonnn
47882030_394508760942919680 x	Soooooo tired of that fucking Austin Mahone mcdonalds commercial ?
47882030_394328503711457280 x	It's about damn time! ? @KrazyKatieKiss @skymilla
47882030_394321135460159488 x	That snapchat kell just sent me, oh my god ?
47882030_394315037743251456 x	@danodoeee no your not
47882030_394240513895063553 x	My goodness @Pat_Barcaskey cut your hair
47882030_394197484995895296 x	If only you knew how badly I wanna hit you in the fucking mouth
47882030_394197913888620544 x	@AdventuresOfTim I don't even know if they have a twitter
47882030_393928065367441409 x	RT @UberHockeyFacts: RT if you think this picture is true: http://t.co/9x175jYwO6
47882030_393911837055778816 x	PENS
47882030_393854464865882112 x	RT @SinceSensCup: 31,534 days.
47882030_393842371940872192 x	RT @LarissaMirennaa: @Ayo_Jermm thanks big jermmm
47882030_393707196359667712 x	@LarissaMirennaa happppy birthday turddd!
