487332207_399393914664140800 x	RT @uagameday: Hey Tigers... #RollTide
487332207_399689535690256384 x	RT @Jasonnsewell: Family guy http://t.co/Twq3THw5Rh
487332207_400486278094790657 x	RT @bishopjake10: Javon Kearse be on NFL network. #TheFreak!
487332207_400484779511922688 x	RT @cjzero: Bosh adding props to the videobombs http://t.co/fwtLkBo8jA
487332207_400510615728300032 x	RT @peanuttillman: Since I'm not playing this week, I need to tailgate at Soldier Field with some if the fans. Who's got the best set up?
487332207_400510597348859904 x	RT @PralineMariePug: @peanuttillman come tailgate with us. Will have hot dogs & cold beverages! http://t.co/c6CKXazDkz
487332207_400507985845166080 x	RT @ESPNNFL: NFL RB Leaders: (Rushing Yards) 1 LeSean McCoy 932. 2 Marshawn Lynch 871. 3 Alfred Morris 825. 4 Adrian Peterson 786. 5 Jamaal?
487332207_400507923702362112 x	RT @espn: Trying to tackle Marshawn Lynch is an absolutely atrocious idea? http://t.co/ncSgrNR8Jm
487332207_400507784979955712 x	RT @DeAngeloRB: Shoutout to TJ lol and more importantly shoutout to our DEFENSE!! http://t.co/0LydZ1IEGd
487332207_400506630728462336 x	RT @CocktailsNChemo: @peanuttillman - Hang in there Charles Tillman!  #BearDown
487332207_400505770250211328 x	RT @Vikings: Dreams do come true @criscarter80 #TNF http://t.co/PBiq7c59Mq
487332207_400505622040301568 x	RT @Vikings: "You fans made it special for me" - Cris Carter http://t.co/RcW3BTOROi
487332207_400505544026251264 x	RT @Vikings: PHOTOS: @CrisCarter80 gets his @ProFootballHOF ring http://t.co/EiZyaN9kor http://t.co/cLPePs8xLo
487332207_400505461394259968 x	RT @nfl: RT @nflnetwork: Cris Carter, photobomb master, strikes again. #WASvsMIN #TNF http://t.co/0oxDcaNg6N
487332207_400505010615619584 x	RT @Vikings: How did you like @criscarter80's reaction when he sees his @ProFootballHOF ring?  Watch it at http://t.co/BHVzzOKArb http://t.?
487332207_400504710395731968 x	RT @Vikings: What is your favorite @CrisCarter80 memory?  Hear from former teammates on his career at http://t.co/5fjpzMRdlU http://t.co/gv?
487332207_400504261433237504 x	RT @TreHU92: @criscarter80 GOD is using you to reach people! Your story is touching me & my son tonight in ways you will never know. Thank ?
487332207_400503799141240832 x	RT @criscarter80: Thanks @nflnetwork @NFLFilms for allowing me to tell my football life story.It was humbling 2 see my life unfold on camer?
487332207_400503647265501184 x	RT @HankTime85: Congrats again @criscarter80 you deserve it
487332207_400503602038321153 x	RT @HankTime85: One of the greats @criscarter80 hard work pays off #AFootballLife
487332207_400503557498994688 x	RT @HankTime85: "Pray you play as long as me" @criscarter80 I sure will listen to that, #AFootballLife
487332207_400491034196471808 x	Seahawks' FS Earl Thomas gives free safety advice http://t.co/48PovdLHeo
487332207_400486795969716225 x	RT @InsideNFLMedia: NFL Total Access on @nflnetwork is underway with @DanHellie @AmberTheoharis @WillieMcGinest, Heath Evans & Jevon Kearse
487332207_400484058137784320 x	RT @sbnation: ALL JABARI PARKER EVERYTHING  http://t.co/8s7KRLIZB8
487332207_400483539369472000 x	RT @Earth_Pics: Baby otter checking you out. http://t.co/kJWfdpycl6
487332207_400483502073729024 x	RT @StymieBrewer: Today I accidentally dropped my sunglasses into the toilet and flushed them. Tomorrow a very cool alligator will rule the?
487332207_400483329318739968 x	RT @ESPNCBB: Halftime in Chicago: Duke - 42 (Parker 19 pts) Kansas - 40 (Wiggins 6 pts)  #KUvsDUKE
487332207_400481312655429632 x	RT @ESPNNFL: NFL RB Leaders: (Rushing TDs) 1 Adrian Peterson 9. 2 Knowshon Moreno 8.  3 Frank Gore 7. 3 Marshawn Lynch 7. 3 Matt Forte 7.
487332207_400481066848235521 x	RT @lovemydogduck: 11.12.13  Happy Sequential Date Day
487332207_400480144210407424 x	RT @HistoryInPics: Martin Luther King Jr. giving his speech from the steps of the Lincoln Memorial, in front of a crowd of 250,000. http://?
487332207_400479868317470720 x	RT @AndrewLucksHead: Robert Mathis is a beast!
487332207_400474555581333504 x	RT @NBA: Just what you expected in the East? http://t.co/lVEnQza1Md
487332207_400474089267023872 x	RT @criscarter80: I'm excited to see "The Football Life" 9 est On @nflnetwork .#sitdownmomma http://t.co/rE4TEklLKB
487332207_400473989463568385 x	RT @HankTime85: It's a amazing story, goin down hitting rock bottom, to being one of the greatest WRs in NFL history, and a great family ma?
487332207_400470562427772928 x	RT @RobJax50: Don't forget to check out my contest with @hogshaven to win some signed @Redskins gear: http://t.co/5Sd2j15WWn #HTTR
487332207_400468746411573248 x	RT @HumaneSociety: .@HSIGlobal has veterinarians on the ground in the #Philippines combating the effects of #TyphoonHaiyan http://t.co/HxcC?
487332207_400467064374034432 x	RT @ASPCA: #NJ join us this Thursday to rally in support of pigs and fight cruel gestation crates! http://t.co/g4B4iUlig4
487332207_400466811017109504 x	RT @sbnation: Go nuts, Michigan State: http://t.co/qu4UT59PrK  http://t.co/095wkVibCG
487332207_400466589293637632 x	RT @TheRock: A smile as big as his bicep! Kyle the workout beast! What a source of inspiration he is - for us all. http://t.co/wKgLGq5mow
487332207_400465260538118144 x	RT @Chosek13: @Ky1eLong My son disguised his turkey as K Long to help him make it through the Thanksgiving. Bear Down! http://t.co/VLjs8fOp?
487332207_400465192451993600 x	RT @sportingnews: Andrew Wiggins cut his hair. Nobody panic. http://t.co/MEnD6gzqoH
487332207_400464852226826240 x	RT @SanJoseSharks: #SharksTerritory in CGY RT @brodiebrazilCSN: That #sjsharks face paint could not have been easy to apply... http://t.co/?
487332207_400280313177202688 x	BB&T enters private exchange sector offering health insurance options... http://t.co/32CiTCwV01
487332207_400276715445817344 x	CDC Features - Diabetes Awareness this National Diabetes Month http://t.co/Abl3fNozvD
487332207_400275202229035008 x	RT @HankTime85: Good morning peeps, #HTTR
487332207_400275050458144768 x	RT @SabanSays: Gooooood morning and roll tide!
487332207_400274747209953280 x	RT @agvireland: Great shot of Pol on the Tech 3 Yamaha. Looks like a quick learner http://t.co/c3TW9jy8V9
487332207_400274700976152576 x	http://t.co/CCRVggf5Xe http://t.co/LN8XUb3Qma
487332207_400274358393778176 x	Evidence Ties Obesity to Disability in Older Women http://t.co/A83ctlB71w
487332207_400272859425042432 x	Exercise during pregnancy boosts a newborn baby?s brain capacity for life: University of Montreal study http://t.co/S1G2A3KAG6
487332207_400268792925679616 x	RT @marcmarquez93: En breve, a seguir trabajando!! Gaaas! / Shortly, working again!! Gaas! http://t.co/401AncuALp
487332207_400268224345829377 x	RT @HealthCareGov: Paper applications are now available for download from http://t.co/vQ74UBBs7F. You can find the application here: http:/?
487332207_400261434132541440 x	RT @agv_uk: #PR @PolEspargaro excited after positive first day in #MotoGP http://t.co/VLqQ8HE8QH http://t.co/HYcDIhPLSq
487332207_400261307418419201 x	RT @MotoFamilyGP: #Fotaka de @Jesus_Robledo a @PolEspargaro #test014 #porritagram http://t.co/vSoIHA2A5d
487332207_400254773326118913 x	I outscored my proj pts by 19.92 and earned strongest crew of the week! I now wave the Assassin's Creed Black Flag. http://t.co/6M4yZTqC3E
487332207_400140098735321089 x	RT @UA_Athletics: Saints RB Mark Ingram had a career-best performance in a win over Dallas to top the list NFL performances in Week 10. htt?
487332207_400134286906388480 x	RT @TheGameWDGM: If TJ Yeldon had wings I think he could fly? #RollTide http://t.co/TGjoMnPKkH
487332207_400134188436705281 x	RT @jerrysandersRTR: ? OJ Howard is going to be the next superstar at Bama. ..He had the awesome 52 yard touchdown vs LSU. ..#RollTide... h?
487332207_400134046149128193 x	RT @jerrysandersRTR: CJ Mosley is named the SEC defensive player of the week vs LSU. ..#RollTide ... http://t.co/Te99GVvvd6
487332207_400133568456040449 x	RT @MarkIngram22: Pretty good weekend! God is good!  #RollTide #WhoDat
487332207_399940442239672320 x	RT @NBCNewsPictures: Arlington National Cemetery on #Veterans Day. (Video: @NewMediaJim / NBC News) #NBCNe... Watch:http://t.co/L7hICp7zKx ?
487332207_399937181533237248 x	RT @Raekwon: Happy Veterans Day to all the soldiers in the field.
487332207_399937098821558273 x	RT @AETV: Thank you to all who served! Happy Happy Happy #VeteransDay! http://t.co/baABhBsxKq
487332207_399937049462988800 x	RT @8NewsNow: An amazing photo from the @AP this #VeteransDay: http://t.co/w5P3Ez2MMK
487332207_399937040625586177 x	Capitola widow discovers late husband was a war hero http://t.co/1SYLEjJMrg
487332207_399936909868163074 x	RT @GoldytheGopher: Hey @USA_Swimming, is there a Mascot Division at the Arena Grand Prix this weekend? Would I be allowed to wear arm floa?
487332207_399733868225241088 x	RT @PJMORTON: Sproooolllllesss!! ??? WHODAT?!
487332207_399733697856798720 x	RT @SNFonNBC: A vicious spike by Sproles after the score #SNF http://t.co/7HWboxowH4
487332207_399733197962891264 x	RT @SNFonNBC: RETWEET and let #WhoDat fans know Sunday Night is @saints Night. http://t.co/YCpEGT03rC
487332207_399732932970967041 x	RT @Saints: TOUCHDOWN! Brees hits Sproles who races down the right side for a 28-yd TD! #DALvsNO
487332207_399705058461245440 x	RT @McNamaraUO: Kellen Clemens (STL) beat Andrew Luck (IND) today. So there's that. #GoDucks #ProDucks
487332207_399703219607072768 x	RT @Shannon_PG: .@JRAN_1 and @DarrenSproles on the field pre game http://t.co/xDAeiwddbd
