489851359_335185291331633152 x	Congratulations @j_dancona #TempleMade
489851359_396620714197123072 x	Hockey season begins today for The FreshDawg #winitall
489851359_396471274115203073 x	@jasonmyrt ..is there anything positive to report regarding the Flyers?
489851359_396447401558700032 x	Great start for the 76ers #2-0
489851359_394491161295208449 x	The winning streak begins today for @DannyKashh. #Believe
489851359_392151008866205697 x	@RobAlGhul ..please no more Dom Brown tweets #NoLoyalty #Violation #Fraud
489851359_391353519003156480 x	@DannyKashh ..What scheme will @j_dancona pull this week. #corrupt
489851359_389897780002820096 x	@DannyKashh .Keep fighting the fight. @j_dancona . #OutRage #ImpeachTheCommish
489851359_387732173664829440 x	Welcome back Larry Bowa !! #Phillies
489851359_386842182734213120 x	The Posse @GreatWhiteShemp @mrozboul @j_dancona @DannyKashh #swag http://t.co/ZDKMm5JgWY
489851359_385187623045955584 x	Crickets !!! @j_dancona  #Fear @DannyKashh
489851359_385186765403066368 x	I knew the Polish kid would win. @DannyKashh @GreatWhiteShemp
489851359_384785905799938048 x	@SportsChatChuck ..Phillies should bring back Claude Osteen. #not
489851359_384360023646019584 x	Can @DannyKashh upset @GreatWhiteShemp today? #pissed
489851359_382672428734091264 x	@DannyKashh has more wins in fantasy football than I do. #Sad
489851359_381802033361465344 x	As soon as @DannyKashh wins the RSB championship my first order of business would be to welcome @RobAlGhul into the league.
489851359_381792638955188224 x	@j_dancona ..Remember, Douglas vs. Tyson..David vs.Goliath.. Now it's @DannyKashh vs. RSB. #Believe #TheFuture
489851359_381748712906960896 x	NFL week #3..@DannyKashh > @aDANCONA608 ..#TheFuture. #TooStrong
489851359_379743387257405440 x	@j_dancona just an FYI but Rome wasn't built in a day and @DannyKashh will conquer RSB..#TheFuture
489851359_379215150781181952 x	Justin Bieber escorted  Mayweather to battle..look who @DannyKashh has..#TooEasy. #TheFuture http://t.co/ELzd3ifpE2
489851359_377363522587357184 x	Happy Birthday to the Fresh Dawg !!!!
489851359_377272299596296192 x	It's was a great week 1 by @DannyKashh ..but who is our next victim?? It's doesn't matter who it is!!!! #Relentless
489851359_377269041272209408 x	Be afraid..Be very afraid @GreatWhiteShemp @j_dancona @aDANCONA608 #TheFuture
489851359_377267269371719680 x	Congrats to @DannyKashh.. it's only the beginning. Show no mercy. #TheFuture
489851359_377236587106799616 x	Thank You Chip #Dynamic
489851359_376724302357622784 x	The future begins today for @DannyKashh #mentor #futurechamp
489851359_376677729372213248 x	Happy Birthday !!!! @GreatWhiteShemp #22
489851359_376501146300346369 x	It was great catching up with @JonMarks975@SeanBrace975 @JonandSeanShow @GreatWhiteShemp  #Awesome http://t.co/egsWKdIbia
489851359_376497126370717696 x	Great day with @GreatWhiteShemp @mrozboul @j_dancona @DannyKashh   #The Future
489851359_376335410630516736 x	Enjoy your day..you inside cat. @RobAlGhul @GreatWhiteShemp @mrozboul @DannyKashh @j_dancona . #hater
