49165331_140962568876457985 x	@KindysFactory Sorry Kindy's, but your Xmas factory stinks. Over priced and over-rated.
49165331_375771878834446336 x	The Warriors on IFC Channel right now! Yeah baby!
49165331_375441546058792960 x	@Sholler_UFC Thanks for the reminder. So hyped about that finish almost forgot!!!
49165331_372879964405649408 x	@UFCONFOX The channel doesn't look HD. Need to fix cameras/feed. All other HD channels look fine. Just saying...
49165331_368855951995965440 x	@danawhite Loving it. Thanks. Here comes Diego!!!!
49165331_361161500158730240 x	J
49165331_360749451406610432 x	@DASethWilliams I agree Mr. Williams. We need to bring break dancing battles back! No Guns
49165331_360218055063764993 x	@joerogan Can't wait! Good luck with the show Joe! I wish you much success with it.
49165331_360010563075575809 x	@madflavor Yes it is!
49165331_356828282324389889 x	@joerogan http://t.co/qTEQBw4yNo Catching up on your podcasts with Joey Diaz on 7/9.
49165331_355841830128066560 x	@NancyGraceHLN he said get back to his life. Not give back his life
49165331_355117730644492288 x	@titoortiz You and the family are going to love it! Great movie to see with friends/family. Enjoy! The end is hilarious! All 4 One!!!
49165331_353901915270160386 x	@joerogan why would someone with so little to gain intentionally lose the fight. Any Given Saturday! Spider will be champ again!
49165331_353241278219173889 x	@HLNTV Masterful cross earlier by Mr. West. Making the prosecutor object to his toxicology question before finishing it. Masterful!!!!
49165331_352105458493956096 x	@neiltyson Hilarious...but it still doesn't beat Gaylord Perry.
49165331_345953072675188736 x	@joerogan Joe what happens if the ladies don't make weight? Who holds the towel if they decide to take shorts off? UFC girls?
49165331_341174051789742081 x	RIP Edith Bunker
49165331_337730550204862467 x	@danawhite Love both of these guys. It's a both Win/Lose situation for me. JDS will be first man to knock out Hunt.
49165331_337729221004775424 x	@KacieFOX29 Nah. The dealer works for the house I am trying to beat.
49165331_337711336073072640 x	@UncleOogies Sorry UO. We were fans before but your pizza has some sort of detergent after taste. What r u cleaning your place with? Shame.
49165331_332302528463138816 x	@JeffProbst What they did to Brenda tonight just proves that evil people exist everywhere. Horrible vote by the group. Pure evil. no respect
49165331_327046004320915456 x	Check out my daughter Isabella's art. http://t.co/0luPpz7KMc via @Artsonia
49165331_327047917825306624 x	@thegiff19 Thanks Frank. I'll see what I can do :)
49165331_323415539391283200 x	@MieshaTate I voted you guys best fight of the night. Yes. Keep your head up. Your always exciting and I love to watch you fight. Bigger fan
49165331_321569177984966656 x	@SueSerioFox29 @good_day_philly MyFoxPhilly should be renamed to MyFoxCommercials. I understand bills need to be paid but come on.
49165331_318810084710940672 x	@PennDOTNews 16th and Snyder has to be the worst traffic light transition in the city. This is causing major backups on 16th st & Jackson!
49165331_318809608305123328 x	@PennDOTNews someone needs to do something about the new traffic lights on Snyder ave between Broad and 20th street. It's horrible. Too long
49165331_315177822090063872 x	@MikeTyson @hbo I will make sure I tune in to watch. Thanks.
49165331_312192247040970753 x	Don't forget to make the most out of your life while you're making a living!
49165331_311802947161960448 x	@KacieFOX29 Wow! Love what your wearing today. I can see my wife in that. Looking good miss.
49165331_310165916962934784 x	@DannySwift Whats up Danny. Big fan. Just saw you pull up to restaurant on Chestnut. Looking forward to next fight. Bon Apetit!
49165331_303574888881463296 x	@danawhite Can't wait! I wish it was tonight! Ronda. Kos. The Dragon.
49165331_301296926681362433 x	@mikeschilling82 @titoortiz Understood, but comparing any other organization to the UFC is like comparing the XFL to the NFL.
49165331_300766581057798144 x	@BasRuttenMMA I just saw Her comes the Boom on PPV with my family and we really enjoyed it. Great job Mr. Rutten. We're all fans!
49165331_300944051463663617 x	@BasRuttenMMA they should be thanking me. I paid for the movie :) well worth it and very funny.
49165331_297890919972212736 x	When is the last time Jay won a fight against a big name contender? He made Woodley look real good #UFC156 http://t.co/n2mrWhZW
49165331_297890299571757057 x	DAMN! #UFC156 http://t.co/n2mrWhZW
49165331_297890003239964672 x	Ok. Head up  #UFC156 http://t.co/n2mrWhZW
49165331_297889897035993088 x	Please let this fight be exciting...please. #UFC156 http://t.co/n2mrWhZW
49165331_297889274722914304 x	Edgar will become UFC champion tonight! #UFC156 http://t.co/n2mrWhZW
49165331_297888226507649024 x	I really hope this next fight isn't boring. Matchup has me a bit concerned #UFC156 http://t.co/n2mrWhZW
49165331_297887171338194944 x	Welcome To the UFC Bobby Green, per Joe Rogan. Nice finish! #UFC156 http://t.co/n2mrWhZW
49165331_297881081443647488 x	Edgar upsets Aldo! #UFC156 http://t.co/n2mrWhZW
49165331_297880310136332289 x	Danny. Zeebox will not disappoint you. #UFC156 http://t.co/n2mrWhZW
49165331_297880019945021442 x	I thought Edwards won that but he left it to the judges so you never know #UFC156 http://t.co/n2mrWhZW
49165331_297878224434774017 x	Nice knee #UFC156 http://t.co/n2mrWhZW
49165331_297877722833764352 x	Agree. Edwards gets round 2. Wow. Great combos by Edwards  #UFC156 http://t.co/n2mrWhZW
49165331_297876510537289728 x	I'm watching UFC 156: Aldo vs. Edgar - Prelims on FX. Come join me on zeebox! #zeebox http://t.co/n2mrWhZW
49165331_297365905023832064 x	@thegiff19 @joerogan I couldn't agree more with you Giff. Joe bring that powerful shizit to Philly.
49165331_295177840125677571 x	Good luck Rampage. I will be rooting for you tonight. Take it to him! He's just another man with the same fear. Some just hide it better.
49165331_292765795744894976 x	@danawhite keep Rampage after his fight!
49165331_292758810211270656 x	@danawhite Watching now. You have to keep Rampage on the roster!
49165331_287177005013811201 x	Good morning and TGIF!
49165331_286623582946217984 x	@DASethWilliams Eye opening gun statistics. Less hand guns, less death. Makes sense to me.
49165331_285744159447470081 x	@junior_cigano You are a warrior and a true champion. I will always be a fan. Looking forward to seeing you get that belt back! HNY!
49165331_285743346520035328 x	@DASethWilliams Good luck!
49165331_280015476229275650 x	Miss the original Tandberg http://t.co/7Fgxpjhz
49165331_279309165816578048 x	@CaraSantaMaria I'm good. Go get a persimmon, find a nice quiet place to eat it, and enjoy life.
49165331_276787162941370369 x	@joerogan http://t.co/r67KCGCT. Don't kid yourself.
49165331_274580943564578817 x	@MMAWeeklycom IMHO...Nick Diaz is Top Contender and that fight needs to be made before AS or JH
49165331_274103659321774080 x	@KacieMcDonnell What?!! No more mornings?
49165331_264851508087119872 x	@Alistairovereem Chilling with family.
49165331_264789855836454912 x	@TeamRomney No thanks
49165331_263400517986840576 x	@OCWeekly Love him or hate him. Tito is good in my book.
49165331_263396059571707904 x	@MieshaTate Many more!! Congratulations.
49165331_263395866218479616 x	@MieshaTate You should be proud of your nomination and let the fans decide.  You will now be known as Miesha Tate Nominated for 2012 FFOTY!
49165331_260450648502435840 x	@joerogan In-effin-credible. Thanks for sharing!
49165331_260445574283796480 x	@cnnbrk Give the guy a break...geez.
49165331_260445301096202242 x	@LifeSizeHD @BrowardCollege @2pm Connection to streaming server failed. Is it over?
49165331_259256509295362048 x	@SpikeTV Daniel Cormier is the real deal! Humble as shit too!
49165331_259256273038618624 x	@SpikeTV what is Daniel's hash tag?
49165331_259255821668601858 x	@Rampage4real Much success sir!
49165331_259255561726603266 x	Sad day in da Bronx today.
49165331_258269051057496064 x	Happy Birthday Isabella! Wow! The big 8! Love Pops!
49165331_256790308099092480 x	@AriannyCeleste Nice, but I'd rather be Rio viewing you. Not a weirdo...just playing nice with words. Have a great time.
49165331_251826690756603905 x	Wow!...and it's only Day 1! #RyderCupWeek http://t.co/zOVpDNvf
49165331_251818972771667969 x	Loving the Ryder Cup! #RyderCupWeek http://t.co/zOVpDNvf
49165331_251818469597773824 x	BTW..this Zeebox app is awesome!  #RyderCupWeek http://t.co/zOVpDNvf
49165331_251818194375942144 x	I feel like I'm watching a football game!  #RyderCupWeek http://t.co/zOVpDNvf
49165331_251817767051870209 x	C'mon Tiger! YES!  #RyderCupWeek http://t.co/zOVpDNvf
49165331_251817660772397057 x	It would have been interesting if you wrote...The Americans are roasting US...hahaha  @Kev_Fleury http://t.co/zOVpDNvf
49165331_251817371784855554 x	Under pressure? Nobody beats Tiger! #RyderCupWeek http://t.co/zOVpDNvf
