496227636_386623205446000640 x	@flyers_faithful 4-2 flyers
496227636_386623682539704320 x	@flyers_faithful hartsy with the winner
496227636_384838181021319168 x	It's game time go fins.
496227636_384668486653714433 x	RT @FlyersNation: 71 hours till #Flyers puck drop people.
496227636_384073280346652672 x	RT @BroadStBull: Tell him he's missed! RT @OnePastyGuy: @BroadStBull @TheOrangeUpdate Bryzgalov found a job coaching mite hockey http://t.c?
496227636_383646183660716032 x	RT @AGymThing: Retweet if you LOVE  PROTEIN SHAKES ? #AGynThing
496227636_381964598616031232 x	@sjdendrinos69 lets see it could do wonders for his confidence.
496227636_381962160223817728 x	RT @MiamiDolphins: RT if you're still fired up. #3and0 #ItsOurTime
496227636_381934800728494080 x	Major props to you Ryan tannehill. Marino like drive.
496227636_381933868384649216 x	Phins 3-0. #phinsup http://t.co/05ahgN4ozI
496227636_381807545708740608 x	RT @b_fields2: Never been so excited for a home opener! We need to hear our fans get loud today! #FinsUp #ItsOurTime
496227636_381771548694417408 x	@stanleyinphilly not sure if u are following this account.
496227636_381769692550946816 x	A night out http://t.co/OEfRIFB5Hi
496227636_381769423008190464 x	My little star http://t.co/oiobDqtS1N
496227636_381769327319318528 x	A night with the family. http://t.co/AU03YBI8NH
496227636_381483529013440512 x	http://t.co/AWQEgDAhsf
496227636_323444247145615360 x	@sjdendrinos69 I agree but well see
496227636_376821286443700224 x	@sjdendrinos69 tanny looks like he will get lucky tonight.  Hehe.
496227636_376820532593041408 x	@sjdendrinos69 nice win koumbah.
496227636_323226286753472513 x	@dafnousaki @sjdendrinos69 yes we are
496227636_323225570508939264 x	@sjdendrinos69 reality baby.
496227636_323225027883458561 x	@sjdendrinos69 suck it dolphins.
496227636_323217879082352641 x	@sjdendrinos69 @ryantannehill1 love it
496227636_318126420247322624 x	@keystonepubpa yummy.
496227636_236996299906502656 x	@ryantannehill1 from 2 diehard fans in pa. Wanted to give u are best in replacing the legend. It will finally happen. Thank u
496227636_236994920806768640 x	@OmarKelly in our honest opinion do you think the dolphins are holding back offensively and defensively?
496227636_201419331215695872 x	@BroadStBull @domrocco how about trading jvr for e Kane. Better match for g
496227636_176060453649264640 x	@OmarKelly 2 phin fans from pa say hello
496227636_174295940730060800 x	@TomSestito23 @altchamps awesome. Can't wait to see you back in the lineup.
