521820413_374539312760889344 x	Happy Labor Day!!
521820413_399944643192061952 x	Freedom is not free!! THANK YOU TO ALL THE VETERANS PAST AND PRESENT!! #ThankAVet #VeteransDay
521820413_399661749068386304 x	RT @BensalemPolice: This Tuesday November 12th @6PM our two Middle school football teams (Shafer vs Snyder) will play each other at... http?
521820413_399579090417897472 x	RT @RobertIrvine: Also thanks to all out doctors ,nurses , police/fire fighters and EMT'S and all first responders .For their selfless acts?
521820413_399552553832439808 x	Happy 238th Birthday to the US Marines!! #dedication #commitment #service #Marines
521820413_399196575819653121 x	Santa arrives @NeshaminyMall today.
521820413_398522993598820352 x	Repelling training at the Bensalem Twp Public Safety Center. #btfr #engine222 http://t.co/lBL6CVxuU4
521820413_398485980887658496 x	Low angle rope refresher training. #training #btfr #engine222 #iaff4837 http://t.co/9qcj4TJMSM
521820413_398268881359622144 x	RT @KiddeSafety: Country singer & 1st responder @CMorganMusic helps @KiddeSafety unveil a national fire safety campaign: #SafetyHero http:/?
521820413_398268716074672129 x	CMT country music awards commercial mentions the importance of smoke alarms in all homes @KiddeSafety @cmorganmusic  #safetyhero
521820413_398248373960323073 x	RT @RobSpoons: Thanks again @RepFitzpatrick for all you do for Bucks Co first responders!! #bucks40 http://t.co/tuInXE6TpM
521820413_398095369248468993 x	RT @jillianbmele: SERIOUS ACCIDENT I-95 SB at Woodhaven Rd. One lane of traffic gets by #phillytraffic @nbcphiladelphia http://t.co/JVljASK?
521820413_398095252118319105 x	?@FOX29philly: RT @KacieFOX29 @fox29philly I-95 Southbound at Woodhaven Rd.  Bensalem Fire Rescue on scene please use caution in the area!!
521820413_398094927793782784 x	RT @CBSPhilly: #BREAKING: Crash Closes 2 Lanes Of I-95 Near Woodhave Road http://t.co/QiUcMaZVGX
521820413_398094446149251072 x	Traffic Accident with injuries, I-95 at Woodhaven Road.  Please use caution in the area!! #btfr #engine222 #bucksco #bensalem
521820413_398093775572320256 x	Engine 222 on the scene of a motor vehicle accident I-95 at Woodhaven Rd. one vehicle overturned w/ subject ejected and under the vehicle.
521820413_397893639160209408 x	RT @ThomasTopley: Bensalem EMS worked with Bensalem School District today and taught over 100 teachers CPR and first aid techniques.  #keep?
521820413_397566541128298496 x	Congrats to Bensalem Fire Rescue's @RobSpoons and @SeanDSchafer @PatrickMurphyPA (wife Jenni Murphy), @scullyano and others #bucks40
521820413_397567723955585024 x	@RobSpoons @SeanDSchafer @PatrickMurphyPA @scullyano well said Sean!!
521820413_397566807877632001 x	RT @mrssponheimer: Congrats @RobSpoons of @Bensalem_Fire for being named one Bucks 40 under 40 #bucks40 #hero #battalionchief #dedication #?
521820413_388095725349142528 x	RT @StevenKrajewski: @Bensalem_Fire http://t.co/RHYwqRpVtv
521820413_397566721902800896 x	RT @PatrickMurphyPA: @ThomasTopley @BensalemDirPS Honored 2be here at #Bucks40 to honor great leaders in our community, including my wife J?
521820413_396818413420810240 x	RT @Mattarmuses: Bensalem police are on the scene of an accident at Street and Mechanicsville road.
521820413_396817903653490688 x	RT @ThomasTopley: Great cause all toys go to needy families in our community. Doing more than #keepingourcommunitysafe  Please RT http://t.?
521820413_396774760853807104 x	RT @lornewest: The value of firefighters to your community more than you might think! @iaffnewsdesk @bcpoli #ff #iaff #burnaby #BC http://t?
521820413_396762186431078400 x	Bensalem Toy Drive poster, please re-tweet and help us help those in need!! http://t.co/bPfT4yMAQM
521820413_396700069304733696 x	@MommaDsPizzeria Thank you & Enjoy the weekend!!
521820413_396666006149799936 x	Bensalem Twp Public Safety Toy Drive Luncheon 11/30/13 Carrabbas Restaurant on Street Rd Bensalem.  Admission $10 plus a new unwrapped toy!!
521820413_396666286828437504 x	@Bensalem_Fire Help us help others!! Contact us for tickets!!
521820413_396653663927926785 x	@nefertitijaquez don't forget to change the batteries in your smoke alarms too.
521820413_396653393349214208 x	RT @nefertitijaquez: FALL BACK: You get another hour of sleep this weekend :-) http://t.co/1Z6vCsxO0c
521820413_396652754430865408 x	When you move your clocks back at 2:00 am Sunday, replace the batteries in your smoke & carbon monoxide alarms too!! http://t.co/eiMQ1ylHxN
521820413_396451672052219904 x	Thanks for following us @DeniseNakanoTV.  Have a great weekend!!
521820413_396439811772674048 x	?@deannadurante: #FF @redcrossphilly @iphillychitchat @phillymag @4TheSakeOfCake @ChiefPressler @DeniseNakanoTV @HaveSippy?enjoy the weekend
521820413_396064985375576064 x	Happy Halloween....enjoy the night and please be safe!!
521820413_395687736390451201 x	@CecilyTynan that's great news!!
521820413_395687064291012608 x	What day is it???? http://t.co/ms7rxzYJHs
521820413_395577012565581824 x	RT @BobbyHenon: Was proud to stand behind Joe Schulle of @IAFF22 and @JimFKenney before today's hearing on FF demotions. http://t.co/oTPEbQ?
521820413_395576749976977408 x	RT @BensalemPolice: Congratulations to the Bensalem High school boys soccer team boys as they defeated CB West last night 1-0 to... http://?
521820413_395576515515387905 x	RT @MattRiversCBS3: Press conf. before scheduled hearing on 14 firefighters that had been demoted.  Family, union want ranks reinstated htt?
521820413_395366275805118464 x	Halloween Decoration Tips from the International Association of Firefighters #iaff #safety http://t.co/dKbzrxl1nP
521820413_395135625634271232 x	@deannadurante thanks for following us and keep up the great work at nbc10!!
521820413_394509067869519873 x	RT @JoCiavaglia: #Falls police have released this composite sketch of the man who tried to abduct a 13 y/o girl last Wednesday http://t.co/?
521820413_394474181943123968 x	Thanks @nydia_han for following us.  Keep up the great work at 6abc!!
521820413_393896512536977408 x	RT @BensalemPolice: Bensalem Township Celebrates Red Ribbon Week
521820413_393704780356280320 x	RT @BensalemPolice: National Drug Take Back is tomorrow 10-26-13 from 10:00 to 2:00 pm.  3 Locations in Bensalem   Giant Food Store... http?
521820413_393695339443941376 x	RT @6abc: Firefighters battle store blaze in Bucks County- http://t.co/c6fjUOCwi2
521820413_393685180973854720 x	Happy Friday everyone!! Please be safe out there today.
521820413_393460916324667392 x	?@ThomasTopley: Make that 14 calls so far today. #keepingourcommunitysafe? @BensalemEMS keep up the great work!!
521820413_393460485871632384 x	@KacieFOX29 thanks for the picture we really appreciate it and keep up the great work!! http://t.co/8NEfcVL35T
521820413_393459846307405824 x	Bensalem Rescue attended PA State Rep Gene DiGirolamo's Senior Expo today in Bensalem.  Great turn out and lots of great information.
521820413_393161026306588672 x	http://t.co/51MLiuJGYu
521820413_393160942747656192 x	Accident this afternoon on Route 1 at Street Road - tractor trailer vs dump truck. No injures were reported.  #btfr http://t.co/gVEd0yMOSJ
521820413_392768630028783616 x	RT @JoCiavaglia: BREAKING: Bucks DA says that Holly Anne Alsentzer will be charged with agg. assault by motor vehicle and leaving the scene?
521820413_392675428739342336 x	Fire safety presentation this morning at the Bucks Co Library (Bensalem location) along with the Bensalem Mayor. #teamwork #fireprevention
521820413_392406513937289216 x	RT @adleronscene: Pennsylvania State Police say that a Sunday night crash on #Pennsylvania #Turnpike in #BucksCounty might have been a hit ?
521820413_392256780954533888 x	Happy Monday everyone... Be safe and enjoy your day!!
521820413_390622862698360833 x	Crews responded to the PA turnpike (Bensalem interchange) this afternoon for an overturned tractor trailer. http://t.co/GRS2Grblnm
521820413_389869324649107456 x	Visited Valley Elementary School today with Newport FD for a fire prevention detail.  #fireprevention #engine222 #iaff4837
521820413_389009720423763968 x	Stop out and support the Bensalem PD Motor Patrol Annual Bike Run today.  Proceeds  go to the Bucks County Fallen Heroes Scholarship Fund.
521820413_388655194667773952 x	Fire prevention details this morning at Faust elementary school and at St. Ephrems for a Senior group this afternoon. #firesafety #bensalem
521820413_388315604769574912 x	RT @TFC484: It's fire safety week! An estimated 890 lives could be saved each year if all homes had working smoke alarms. #firesafety #nfpa?
521820413_388304991821520896 x	The crew of Engine 222 is at the Philadephia Christina Academy this morning teaching Fire Safety!! #Fireprevention #bensalemfire
521820413_388093759755677696 x	RT @TheIntellNews: ICYMI: Fire officials say fire victims might not be hearing their smoke/fire alarms: http://t.co/kk9NcFKTh6 #BucksCounty
521820413_388075166368296961 x	RT @BensalemPolice: I posted a new photo to Facebook http://t.co/Ift6XIUWYs
521820413_388075132566388736 x	RT @BensalemPolice: BENSALEM POLICE DEPARTMENT  MISSING PERSON  Bensalem Police Department are investigating the report of a missing... htt?
521820413_388056866536062976 x	RT @ChloeElmer_BCCT: Philadelphia & Bensalem police in waters of the Delaware on Walnut & River roads in Bensalem looking for missing man h?
521820413_388056776857616384 x	RT @FOX29philly: Breaking: Skyfox over search for missing person along  Delaware River off River Rd in Torresdale Manor of Bensalem. http:/?
521820413_387713974797864961 x	BTFR & IAFF Local #4837 http://t.co/0FwAcyqhsk
521820413_387203618778402816 x	RT @CBSPhilly: #BREAKING: Tornado Watch Issued For Most Of The Region: http://t.co/4M1VTBLw8i
521820413_386841597457227776 x	RT @misswhatalife: @Bensalem_Fire seen at Bensalem Fall Fest today, my thoughts exactly. #Bensalem #firefighters Thanks for a great day htt?
521820413_386675875070345216 x	Thank you to everyone who stopped by our display today at the Bensalem Fall Festival.  #fireworks #besalem #pride #departmentofpublicsafety
521820413_386337869331435520 x	http://t.co/7zqPl6f7yy
521820413_385956597115408384 x	Bensalem Township Fall Festival is Saturday starting at 11am.  Fireworks show (always a crowd favorite) start at 8:15pm after the concert.
521820413_385899534574182400 x	The crew of Engine 222 spent part of the day teaching pre-school children the importance of fire safety.  #FirePrevention #stopdrop&roll
521820413_384842770080600064 x	October is fire prevention month, we will teaching fire safety programs at a lot of schools, days cares, churches and at community events!!
521820413_384638419085066240 x	Fire extinguisher staff training at Boscovs Department Store, Neshaminy Mall.
521820413_383935073520988161 x	Bensalem Twp Parks & Rec did a wonderful job w/ the 2nd Annual Night Under The Stars camp out at the twp community park!! #communitypride
521820413_383770460946980864 x	RT @JoCiavaglia: Cops: Bensalem firefighter paid friend $200 to set fire #cantmakethisstuffup #firebug http://t.co/pBP89Yjw7M
521820413_383769923044270080 x	RT @BensalemPolice: Arson / Burglary Arrests  On Tuesday, August 20, 2013 at 11:35pm, Bensalem Police and Fire Departments were... http://t?
521820413_382907875557117952 x	RT @fireengineering: Kevin Dippolito on "pushing the #fire": http://t.co/n3E0jC11T3
521820413_382689375802646529 x	RT @PhillyFireDept: @PhillyFireDept: PFD Dinner Dance 10/4 @6:30 Black tie affair Radisson Hotel Trevose For tickets go to freedomfromfire ?
521820413_382531873769283585 x	RT @roseymciver: N.J. legislation proposed by Sen. Diane Allen & Senate  prez to protect firefighters from solar panel hazards after D&W fi?
521820413_382531569543835648 x	RT @BensalemPolice: Missing person  Bensalem Police Department are asking the public?s help in locating a missing person. Robert... http://?
521820413_382491141377392641 x	Members attending a Hazardous Materials refresher training today at the Bensalem Township Public Safety Training Center.
521820413_381772968910921729 x	Fall begins at 4:44 pm this afternoon, have a safe and fun fall season!!
521820413_381551758637404160 x	Thanks @BensalemPolice!! http://t.co/v66N6iSQSj
521820413_381551176090923008 x	RT @CourierTimes: #Bensalem cops charge #Philly man w/ setting fires @ Bucks Meadow Apartments and @ a Delta gas station. Story here: http:?
521820413_381464855662047232 x	RT @PPDMikeDuffy: @PhillyPolice Highway Patrol Motorcycle Drill Team on their way to the Hero Thrill Show @WellsFargoCenter https://t.co/Gs?
521820413_381190296622886912 x	RT @CFD1400: Delay! CITY OF CHESTER  | DELAWARE | 3RD ALM | 1201 W FRONT ST, | CMD REQUESTS 3 ALM FOR FIRE IN A GLASS FACILITY M/A TO THE S?
521820413_380103437339611136 x	Re-cert vehicle rescue tech class today. Thanks to instructors Chief Simon and John Evans / Pat Gibbs of ESI. http://t.co/VtqWdKxYOp
521820413_380102362930888704 x	RT @IAFFLocal3786: U.S. Fire Administration releases annunal report on firefighter fatalities http://t.co/uvwNSKLWiK
521820413_380101932813389824 x	Vehicle refresher training.  @NFD65 @BensalemEMS http://t.co/XKkyanZU5m
521820413_380025571407040512 x	Vehicle extrication re certification training. http://t.co/kzDCoMsGC9
521820413_380024699377680384 x	Today's training at the Bensalem Twp Public Safety Training Ctr Vehicle extrication refresher. #training #btfr http://t.co/dqXD4DyDAb
521820413_378500997070725120 x	RT @PhillyFireNews: #ICYMI: Audio of Seaside Park Boardwalk Fire http://t.co/4kJ1e7nyTk
521820413_378500684351803392 x	RT @PhillyFireNews: #ICYMI Cop: Sellersville firefighter, friend set 3-alarm fire http://t.co/dJAUGcXikU
521820413_377990658029809664 x	RT @PhillyFireNews: ? Bucks County Radio 9/11 Tribute Announcement, 9-11-13  http://t.co/nDy4zyKaaH
521820413_377601040981696512 x	Remember 9-11-01 #NeverForget  #usa http://t.co/9wAiAQD8ab
521820413_377527749289979904 x	RT @IAFF22: Get your tickets now to a wonderful family event for a truly wonderful cause http://t.co/vadn5KmriW
521820413_377460663037464576 x	RT @ThomasTopley: Bensalem EMS and Bensalem Fire Rescue attending Advanced Stroke Life Support class today. #workingtogetgertosavelives
521820413_377427943250997248 x	Members of Bensalem Fire Rescue attend an Advanced Stroke Life Support class presented by Capital Health and Aria Health @BensalemEMS
521820413_376874667468128257 x	RT @BensalemPolice: We are attempting to identify this female who was found walking on Route 1 early Sunday morning. She has a mental... ht?
521820413_376455818893623296 x	Follow Bensalem Career Firefighters Association IAFF local #4837 on Facebook.
521820413_375785784386674688 x	RT @STATter911: Must see video: Vehicle explodes after crash in Colorado Springs, CO. Fire truck & cop cars damaged. http://t.co/KGaSBVG2Zl
521820413_374533827253002240 x	@UDPolice be safe, we are working keeping the people of Bensalem safe along with our brothers and sisters @BensalemPolice @BensalemEMS
521820413_374532834376966144 x	RT @IAFFLocal3786: Just remember. There's a reason it's not called "Right to Work Day."
521820413_373224449182801920 x	RT @BensalemPolice: Bank robber arrested for 3 robberies today. Click here to view. http://t.co/SPmee14sXP http://t.co/bA9XLn80Wu
