531530827_399640690030034945 x	ARE YOU KIDDING ME
531530827_398618626355658752 x	Youre beautiful
531530827_399635212537458688 x	I forgot my english book in shool
531530827_397526341375262720 x	Desean jackson
531530827_399640811459313664 x	WASNT A FUCKING FUMBLE
531530827_399640039271194624 x	Fumble
531530827_399636505658130432 x	I love vinny
531530827_399636468416909313 x	VINNY CURRY
531530827_399611647503118336 x	RT @mharrisCSN: How can Kelly not throw the challenge flag there? Smh
531530827_397519682875707392 x	What the fuck are you doing
531530827_399635289993641985 x	Wow how depressing going to have to hand it in late
531530827_399611473028452354 x	CHALLENGE THE FUCKING PLAY
531530827_399645948923891712 x	Damn idk i just like the lions for some reason. They could run the table this year
531530827_399645657939849216 x	RT @Eagles: #Eagles have a team-record eight games with 400-plus yards of offense this season. #FlyEaglesFly
531530827_399645558098649088 x	5-5
531530827_399641416777093120 x	Noooo it rolled on the ground
531530827_399640855138816000 x	RT @CaptainCox7: Hey ref how much you gettin paid?
531530827_399634085121114112 x	RT @36westbrook: Foles is either the most accurate or most lucky qb in the world
531530827_399627489192198146 x	RT @FlyEaglesNation: Cooper touchdown! Foles placed that ball perfectly in double coverage, whether it was on purpose or not.
531530827_399627359512715264 x	RILEYYY
531530827_399618986943733761 x	RT @wingoz: Someone actually made a field goal in Packers/Eagles game.
531530827_399618750611480576 x	INTERFERENCE?
531530827_399613765702156290 x	Wow jaguars might win
531530827_399613579261128705 x	All because the refs
531530827_399613498659209216 x	Fuck you alex henery
531530827_399613366245031936 x	RT @36westbrook: Foles looks fast today
531530827_399613333378453504 x	RT @Winless4Wiggins: FACEMASK ARE YOU SERIOUS?!?!
531530827_399613322699767809 x	RT @36westbrook: FACEMASK
531530827_399613298519597056 x	REFS ARE SO FUCKING BAD
531530827_399613055937835008 x	RT @JTrotter_54: Big play baby #Eagles !!!!!
531530827_399612753536909312 x	BRANDON BOYKIN
531530827_399604473250996224 x	RT @GeoffMosherCSN: Peters, who was already nursing finger, shoulder and pec injuries, has gone inside #EaglesTalk
531530827_399604284293398528 x	Damn jason peters thoo
531530827_399604037907382272 x	RT @36westbrook: Foles' punt turns into a D Jax touchdown
531530827_399603980864856064 x	DESEAN JACKSON
531530827_399590922507526144 x	SPEND
531530827_399590276941234177 x	After the eagles win i will have to spenf my sunday writing an essay
531530827_399557575903309824 x	RT @KNegandhiESPN: Happy 238th Birthday to the @USMC. Thank you for your commitment to service and sacrifice for our freedoms.
531530827_399555607877148673 x	RT @corrado_19: Dear Packer fans, we put our cheese on our steaks, not on our heads. You're doing it wrong.  #Eagles
531530827_399554916811014144 x	RT @Trouty20: Big game against the Packs !!! #FlyEaglesFly
531530827_399408364389928960 x	OUR LAST NIGHT
531530827_399381167377747968 x	What the hell was that
531530827_399381790106075136 x	@mattschuler97 ik i mean give us a chance and just shoot it
531530827_399382262468575232 x	@mattschuler97 they refs werent calling shit that overtime
531530827_399381210952388608 x	RT @Winless4Wiggins: What a game. This team doesn't give in
531530827_399381110834331648 x	Uhhh what was that
531530827_399380694872649728 x	To netherland
531530827_399380654951239680 x	If we make this im running away and never coming back
531530827_399380541625364480 x	RT @Winless4Wiggins: Heartbreaker........
531530827_399380487430766592 x	Damn ...buzzkill
531530827_399380129790820352 x	Rookie of the year
531530827_399380074019172352 x	RT @mattschuler97: MICHAEL CARTER-WILLIAMS
531530827_399380047750234112 x	RT @_SteveG_: HOLY FUCKKK
531530827_399380041882435584 x	RT @Winless4Wiggins: MICHAEL. CARTER. WILLIAMS.
531530827_399379903470399488 x	CARTER-WILLIAMS
531530827_399373034400002048 x	No fouls in overtime?
531530827_399344547815510016 x	RT @espn: RETWEET if you want the Mad Hatter and LSU to upset Alabama tonight -> http://t.co/xNQ9UhcBEc
531530827_399337007543255041 x	Im goimg to get straight a's i swear
531530827_399329690844164096 x	@SciencePorn ewww
531530827_399329541208145920 x	@winstonparkway please come to the states again
531530827_399329446467207168 x	I hate when twitter refused to load the previous hours tweets
531530827_399328636425478144 x	Our last night
531530827_399325904222314496 x	Whats wrong with me im listening to pop goes punk
531530827_399325401342017536 x	Handsome
531530827_399325373781266432 x	Zac rinaldo is a very handsom man
531530827_399324827196350464 x	Breathe atlantis aint bad
531530827_399324765896593408 x	LIVE FOR THE APPLAUSE APLLAUSE
