55725357_399642149857144832 x	That was incomplete
55725357_399641685920993280 x	Upheld pls
55725357_399641451564236800 x	Think that was a catch...
55725357_399641246961909760 x	Nice!!!
55725357_399641042057588737 x	Great job D
55725357_399647702360682498 x	Crazy shit!
55725357_399647477823193088 x	Woah Bengals!
55725357_399644919720996864 x	RT @mannino_j: LeSean McCoy can't be stopped
55725357_399642315565723648 x	Hahahahaha
55725357_399701529155743744 x	RT @ImToBlame: Foles >> Kap
55725357_399642240848379904 x	RT @Eagles: Call on the field stands. Incomplete. #PHIvsGB
55725357_399691490269474816 x	Cowgirls need to lose!!
55725357_399689723171450880 x	That's game! Panthers win.
55725357_399689636265459712 x	Niners better lose!
55725357_397452433602785280 x	Hoodie Weather <3
55725357_399642224427683840 x	Yes!!!!
55725357_400475747208294401 x	RT @nomaambundy92: Lmaooooo Chris Kaman
55725357_400475741411758082 x	RT @LakersNation: alkhfkasjhgsafgja THAT KAMAN DIME!
55725357_400475696843071490 x	Kaman is awesome lol
55725357_400473849247985664 x	RT @Lakers: The Lakers lead 22-19 at the end of the 1st. Young has a game-high 8 pts off the bench, Farmar 3 assists.
55725357_400466210552180736 x	#Lakeshow
55725357_400436799505309696 x	RT @LakerOpinion: If the Lakers lose today . http://t.co/JW8S6npLT8
55725357_400397441955921920 x	RT @MLBTheShow: RT for a chance to win signed gear from @davidortiz. Preview #MLB14TheShow at: http://t.co/GXOlnkXqz9 http://t.co/4iL5LuDFOl
55725357_400129976009109505 x	@Jeffrey_Short still want to gameshare?
55725357_400108242694463488 x	@fuckTEO since 2005!
55725357_400087423423483904 x	God damn Kanye lol  https://t.co/JYruzds8Lv
55725357_400081884064919552 x	Thank you Mike James!!!  Just won $20 on Fantasy Football haha!
55725357_400050412260048896 x	I cria evrytm
55725357_400049974269857792 x	RT @BlakeW38: Dodgers who were robbed of awards so far: Mark Ellis (Gold Glove) Juan Uribe (Gold Glove) Zack Greinke (Gold Glove) Yasiel Pu?
55725357_400048465851322368 x	Wow
55725357_400047439580626944 x	RT @DaaDozer: No matter if Puig wins or loses, he will still blow up Instagram without a care in the world.
55725357_400046545367621632 x	RT @Dodgers: Waiting game for @YasielPuig: http://t.co/hf6qZlqbRO
55725357_400042272034529280 x	RT @BlakeW38: Puig shouldnt win because he bat flips.  Will Myers should win because he pimps his homeruns. #WritersLogic #Racists
55725357_400038206369849344 x	Puig has to win!
55725357_399804225674162176 x	@36westbrook foreal lol
55725357_399786310006603776 x	Today was weird
55725357_399778304888020992 x	Dope episode! #walkingdead
55725357_399775873588420608 x	RT @Edison_Sinclair: That wasn't even Carl's final form. #WalkingDead
55725357_399775627986751488 x	Ahh.... not Glenn! #WalkingDead
55725357_399760524973338624 x	#WalkingDead time!
55725357_399760145850200064 x	#FlyEaglesFly
55725357_399760039348420608 x	RT @Eagles: Tonight's lullaby: #FlyEaglesFly
55725357_399756915011375105 x	Foles Da Gawd
55725357_399756362688638976 x	1st place doe #Eagles
55725357_399756321714491392 x	Cowgirls got destroyed!
55725357_399742367571247104 x	RT @LakersNation: OKAY NICK YOUNG
55725357_399742077111500800 x	RT @KMBATre: One more td and the #cowgirls are done. Never thought id day this but thanks #WhoDat
55725357_399736468303667200 x	Cowgirls losing!! First place is going to be so nice!
55725357_399708556829552642 x	Make it easy Saints
55725357_399646498918395904 x	RT @Eagles: #PHIvsGB: 27-13, #Eagles WIN. #FlyEaglesFly
55725357_399646398599008256 x	#Eagles win 27-13
55725357_399646238515011584 x	RT @TheGreenPheed: #NickFoles
55725357_399646137956585473 x	That's game
55725357_399640043146313729 x	RT @lawlornfl: The Packers aren't going down without a fight. This isn't the Raiders we're playing.
55725357_399638343694041088 x	RT @ImToBlame: Foles best QB in the NFC east.
55725357_399636474594721792 x	Nasty sack by Curry!!
55725357_399635195965353984 x	Foles is locked in
55725357_399635139547770880 x	RT @Eagles: END OF THIRD QTR: Nick Foles finds Riley Cooper twice in the third quarter, #Eagles extend our #PHIvsGB lead to 27-10.
55725357_399634384157831168 x	RT @PHIEagleFans: THE FOLES TO COOPER CONNECTION! It continues and another touchdown to make the game 27-10
55725357_399634315199279104 x	Foles to cooper for the TD again!!!
55725357_399630077333217280 x	20-3 #Eagles
55725357_399627879060742144 x	RT @LincolnFinatic: Wow!  That's what we call an #Eagles drive!  Excellent work by Shady, Foles, and Cooper!
55725357_399627328235380736 x	COOPER TOUCHDOWN!!!!
55725357_399620583438045185 x	Hold them down D!!!
