559042423_366366368062382080 x	Step 1 in the books http://t.co/CwJsEeqaX9
559042423_356522158555541504 x	Getting pretty Excited about my birthday surprise with @mparks9 tomorrow #cantwait
559042423_352606627976839169 x	#summertime #canjam http://t.co/GrGlHFW7i3
559042423_349967609351004161 x	@RottyVincent finally setup the surround sound system we used as speaker stands for yours back in the day http://t.co/h5gmrDLWk3
559042423_349945404672065536 x	@Bower_Sean even lost Danny woodhead's receptions out of the backfield. Should be interesting to see who steps up. #tebowTE
559042423_349691934136233984 x	#GoodEatin http://t.co/wDucMqX0Rb
559042423_327588477598318592 x	I hope the vikes get a shot at teo #seriously
559042423_326423540041666560 x	Should be finished in time for the summer #cantwait http://t.co/UWOsKqT7GZ
559042423_325695318488383489 x	@mikedebolt024 damn it white people
559042423_319439723527540736 x	Is there a bigger waste of money than the TSA?
559042423_310551975232167937 x	@RottyVincent @mikedebolt024 haha yeah Sherman thinks a little highly of himself...
559042423_310081626656878593 x	@mikedebolt024 @RottyVincent You see richard sherman go off on skip bayless? http://t.co/VhuCmPEupf!
559042423_308291357716385794 x	Scooped this up for the cabin, time to start counting down the days till summer #sosick http://t.co/bsBIqATjbf
559042423_271462389411614720 x	@RottyVincent better see you downtown tonight
559042423_271463302209613825 x	@RottyVincent tonight
559042423_268799353026641921 x	@mikedebolt024 @rottyvincent no milk its master chief #nerdtweets
559042423_268804670858866688 x	@RottyVincent we got it at the office, still playing more lo tho
559042423_266598215711879169 x	Yeah the economy will get toasted for another four years due to stifling corporate tax rates but at least we got halo 4  #OfficeBreaksAllDay
