563192242_379050536823033857 x	@Tattedmexican29 gay
563192242_389219659167191040 x	Can I just be pretty please?
563192242_389394447533764608 x	@Tattedmexican29 well thanks asshole
563192242_387632674111619072 x	@Tattedmexican29 #teamgayboy
563192242_387633295359369217 x	@Tattedmexican29 you wish. No hashtag needed
563192242_387644218522349568 x	@Tattedmexican29 please. You? Ain't ? Gonna ? Do ? Ish?
563192242_380103622496755713 x	@Tattedmexican29 nigga you thirsty
563192242_380104718120263681 x	@Tattedmexican29 whteves. You ain't gonna do shit
563192242_380106411327250432 x	@Tattedmexican29 yea right. In Minnesota ?
563192242_378646493172727808 x	?@Tattedmexican29: "Is butter a carb?"? Uhhh yea. God your so dumb Karen. ?
563192242_378653985952899072 x	@Tattedmexican29 there's a 70% chance it's already raining.
563192242_378657457112743936 x	@Tattedmexican29 we are losers for quoting mean girls.
563192242_378666741833805825 x	@Tattedmexican29 sometimes
