563401062_394243963613626368 x	#hartnelldown
563401062_394241816029310976 x	GOALLL ??? jake the ?
563401062_394241186531381248 x	VINNYY ??? goallllll 1-0
563401062_394238451526033408 x	gameeee time. #letsgoflyers ??
563401062_394193451610144768 x	hahahah I reallyy got into a fight at my soccer game
563401062_394196638866354176 x	but my knuckles hurt now lol ??
563401062_395327597581967360 x	RT @WellsFargoCtr: The Flyers and Ducks are officially underway! RETWEET if you're #FlyeredUp!
563401062_394244668642570240 x	FUCK ! comeee on boyssss.
563401062_394826078583537665 x	awww Fred's email was sooo niceeee ?? I'm gonna miss him ??
563401062_395404890153189376 x	RT @sKatePronger: The fly eagles fly commercial just gave me chills like I love this damn team so much why can't they be good
563401062_395362390726164480 x	wayyyyyy to blow that game and our winning streak flyers ???
563401062_395360293502853121 x	this 3rd period has been terrible !!! comeee on flyguys
563401062_395359728169414656 x	are you kidding me ???? wtfffff
563401062_395354193441353729 x	RT @drunk: At least Miley Cyrus is getting paid to act ratchet, the rest of you do it for free
563401062_395352848932028416 x	fuckkkk. comeeee on boys
563401062_395346029467688960 x	RT @InsideTheFlyers: So Giroux gets called for embellishment on a dive and Twitter blows up with Crosby Hate. This is why I love #Flyers fa?
563401062_395345849091624960 x	fuckkkk. they need to start clearing the puck !!!!
563401062_395343868750987264 x	greatttt save mase
563401062_395343309746733056 x	bulllllllshit call. #REFUSUCK
563401062_395335060490293248 x	RT @Schenn22Luke: Can the flyers play like this every game please?
563401062_395334735951855616 x	greattt first period #LightEmUp #Flyers @NHLFlyers
563401062_395333244495097856 x	nooo goallll
563401062_395332736153841664 x	VINNYY. ??
563401062_395327662404952064 x	READ. goallllll #Flyers
563401062_395327560936329217 x	@InsideTheFlyers @NHLFlyers brayden schenn,hartnell,mason
563401062_395325049420656640 x	gameee timeee ?? #letsgoflyers #Flyers @NHLFlyers
563401062_395309756522708992 x	yayyyyy it's almost flyers timeee ?? #FlyersNation
563401062_395189519127166976 x	flyerssssss gameeee dayy ?????
563401062_394659582171426816 x	I'm soo gladddd Fred wasn't mad at me ????
563401062_394656542613860352 x	Fred was the best coach everrrrrrrrr ???
563401062_394656442067980288 x	RT @x_jgriff: I'll miss Fred more than I'll miss soccer
563401062_394635583534149633 x	damnnn my knee is really fuckedddd up.
563401062_394540127818891264 x	done with the eagles.
563401062_394529189594140672 x	noo Vick shouldn't be crying. he's a grown man !
563401062_394528264129376256 x	Vick crying ??? http://t.co/lkXathuwfx
563401062_394527569007374336 x	wait was Vick really crying ????
563401062_394527891570311168 x	@Jason_Fairchild noo I think he was crying.
563401062_394525773119639552 x	if the eagles lose to the giants today. I willl never watch another game.
563401062_394523778224758784 x	i don't even knoww whyyyy I watch the eagles.. they suckkkkk !
563401062_394438684252336128 x	@x_jgriff hahahah I knoww rightt. my hand hurts a lil from that lol. but she's got what she wanted, she was like I will kill you ???
563401062_394444996554006528 x	@x_jgriff ??? hahaha I knoww rightt. one hit and she was down !!! lol and I knoww mee too !!
563401062_394448183361015808 x	@x_jgriff hahahah that was her sister I fought lol
563401062_394489663232434176 x	@x_jgriff hahaha. I'm not like that to fight tho, I just like to get under people's skin but she swung at me so I just hit her back lol.
563401062_394491718655303680 x	@x_jgriff hhahah rightt ?? yeaa I hope not I'm gonna talk to him before the game tonight to apologize. it all just happened so fast lol.
563401062_394491943927185408 x	@x_jgriff yeaa I will. ????
563401062_394490438310461440 x	ughh work is sooo busy ?? thank god I get to sit down for 15 mins
563401062_394489744463499264 x	@x_jgriff I hope Fred isn't mad at me. lol he was like yelling at me yesterday
563401062_394448845792636928 x	workk timeee
563401062_394438436494802944 x	RT @x_jgriff: I still can't believe @priincesss22 fucked a bitch up at our game today ?? #heatbitches
563401062_394278573630300160 x	RT @FlyersNation: http://t.co/fJNcGOFHSh
563401062_394278440553426944 x	finalllyyy scored more then 2 goals in a gameee. alll thanks to this guy #greatwin http://t.co/PhGxFEXauP
563401062_394277476727525376 x	hahaha we beat both New York teams #FlyersNation
563401062_394276891706023936 x	flyersssss winnnnn ??? this was a greatttttt game ??? 2 game winning streak ?? #FlyersNation #lovemyboys
563401062_394276239894401026 x	goallllllll. 5-2 now this is the flyers team we allll know and loveeee. #FlyersNation
563401062_394273384936513536 x	that's what I likeee to see. #letsgoflyers #lovemyboys ???? http://t.co/e7DZg7bpz3
563401062_394272213299646464 x	ahhh vinny almost scored againnnn.
563401062_394271922537902080 x	RT @InsideTheFlyers: Hey guess what #Flyers fans... Tye McGinn is no longer the leading goal scorer on the team. #Vinny
563401062_394271687241662465 x	4-2 ???
563401062_394271316834271232 x	VINNYY WITH THE HAT TRICK #Flyers #FlyersNation
563401062_394268566541070336 x	wtfffff ?
563401062_394268178005889024 x	mase is lookinggg amazing !!!
563401062_394260485862092800 x	damnnn.. I hope @RinaldoZac is okayyyy ??
563401062_394262757241282560 x	@Orange_BlackNat @RinaldoZac ughhh I knoww. it looked like it hurt a lot !!!!
563401062_394263532344451072 x	@Orange_BlackNat ughhh I bet !!!! I hope he's okay to come back and slams some people
563401062_394258400558989313 x	FUCKKK !!!
563401062_394250189537820672 x	#FlyersScoreThree ????
563401062_394249948323401728 x	greatttt first period #Flyers
563401062_394249203406606336 x	RT @bri_jerdan: These are the boys we know and love so well. Missed you guys. ?? #Flyers #FlyersNation
563401062_394248992210821120 x	yayyyyy WE SCORED 3 GOALS.. ????? VINNY !!
563401062_394243278981570560 x	damnn that was a greatt fight ! #Flyers
563401062_394242665665269760 x	they need to continue to play like this the wholeeee gamee ! #letsgoflyers #FlyersNation
563401062_394242390770585600 x	RT @briannaschenn: Bringing it back http://t.co/sN2wEWLajX
563401062_394241899063943168 x	yayyyy 2-0
563401062_394198004703703040 x	@Jason_Fairchild hahaha yeaa I scored a goal and got into a fight and got an assist.
563401062_394203475007270913 x	@Jason_Fairchild yeaa we played. and we won 5-0 but yeaa that's what I do but I didn't think she was gonna hit me. but it was a bad move on
563401062_394207556706770944 x	@Jason_Fairchild so I did what I had to do.
563401062_394207518702178304 x	@Jason_Fairchild yeaa exactly. I didn't want to fight but I mean she swung and hit me first, and I'm not just gonna stand there and take it
563401062_394204720715542528 x	at least I scored a goal ??
