56392450_387404739941785600 x	What's up ?? @_Mzdontneedyou_
56392450_396399132950405120 x	@_Mzdontneedyou_ save me some
56392450_394953393195982848 x	@_Mzdontneedyou_ yes you did, It's ok to say how you feel
56392450_394582450778554368 x	@_Mzdontneedyou_ your welcome baby, i'm always sweet
56392450_394545688069296128 x	At work gettin that easy 7th day money !!
56392450_393704101814734848 x	@HuttonSt It's called fake busy
56392450_393739286887288832 x	@TisaMonique I think we have mastered the technique of fake busy
56392450_392991266495287296 x	@_Mzdontneedyou_ slow poke
56392450_392453243617697792 x	@_Mzdontneedyou_ nothing but love, your welcome
56392450_392016123769946113 x	@_Mzdontneedyou_ no I didn't, I don't want them to lose either
56392450_392014783664648192 x	RT @_Mzdontneedyou_: Eagles
56392450_392006985778225152 x	@_Mzdontneedyou_ your welcome
56392450_392005702098898944 x	@_Mzdontneedyou_ it's chicken salad
56392450_391337922517291008 x	@_Mzdontneedyou_ I want 1
56392450_390677880772243456 x	RT @JD1876: @MrChuckD ever since they got rid of the ORIGINAL rap city, they haven't been in touch with true hip hop culture... Where's PRT?
56392450_390549448851726336 x	I wanted to tell the driving instructor "FUCK YO COUCH NIGGA"
56392450_390528364253298688 x	@_Mzdontneedyou_ what's for lunch ??
56392450_390471731905040384 x	@_Mzdontneedyou_ TMI
56392450_390462526577983488 x	@_Mzdontneedyou_ it wasn't someone, it was something
56392450_390210691892015104 x	@_Mzdontneedyou_ I ain't mad, i'll pass next time
56392450_390209542560436225 x	@_Mzdontneedyou_ you got jokes !!
56392450_389909664668065792 x	@_Mzdontneedyou_ did you want something to eat ??
56392450_388728241009483776 x	@_Mzdontneedyou_ you doing ya happy dance
56392450_387703641114935296 x	@_Mzdontneedyou_ that don't sound good
56392450_387702241534418944 x	@_Mzdontneedyou_ I want some of what ever your getting
56392450_387589272167276544 x	@_Mzdontneedyou_ moving on up like George & Wezzy
56392450_387345132158476288 x	@_Mzdontneedyou_ I want dessert
56392450_387092446360109057 x	@_Mzdontneedyou_ are you sure ?? Good night
56392450_387087969955610624 x	@_Mzdontneedyou_ you need to go nite nite, you gotta be to work soon
56392450_387085040934748160 x	@_Mzdontneedyou_ you wanna go nite nite
56392450_386434428094136320 x	@_Mzdontneedyou_ no nap for you
56392450_385794294726275072 x	RT @LeonardWeaver: I rather not speak about my eagles, I'm a bit frustrated.
56392450_382316013897125888 x	Another 1/2 hour & i'm Auidi 5000 Gee in my Robin Lench voice !!!!
56392450_381934762665205760 x	@HuttonSt yeah
56392450_381934341611585536 x	Yo cuzzin @HuttonSt you coming thru ??
56392450_381933975050391552 x	@_Mzdontneedyou_ stop trippin I got you
56392450_381582832583585792 x	@_Mzdontneedyou_ is a cool chick
56392450_367464241814851584 x	RT @questlove: Oh now mofos gonna be all super lyrical like its 88? #FOH
56392450_264846370156994561 x	@HuttonSt Yo what's up with The Man With Iron Fist ??
56392450_262294143232000000 x	Roger and Dee !!!! http://t.co/tuUIDcaA
56392450_235843401101230080 x	At Clementon Park !! http://t.co/gdgE0Sps
56392450_234457739433242624 x	My Aunties !!! http://t.co/9yW8bhN9
56392450_232654173831843840 x	PRETTY LADY !!  http://t.co/A73yXfah
56392450_230480614699175937 x	Nice and FROSTY !!!! http://t.co/jWR7W9j3
56392450_229729465968762881 x	Just posted a photo http://t.co/qTlcjcSr
56392450_225435678249459712 x	HAPPY BIRTHDAY !!!!! @PIEBELL49
56392450_225403997505323008 x	@Bossinbydaway I'm good how's everything on ya end ??
56392450_225393398876606464 x	Yo what's up @Bossinbydaway ???
56392450_225028677694525440 x	RT @SHAQ: Did dream team 1 thru 3 ever get behind n a exhibition or Olympic game. I can't remember I'm to old
56392450_223192654199001089 x	Look up !!! http://t.co/tuiC3rV6
56392450_223192357057728512 x	Look up in the sky !!! http://t.co/WKMEyUBv
56392450_218853963120906241 x	@BackBurnerBali can I set up 2 tables on your porch tomorrow for the block party ??
56392450_214835679501352960 x	RT @questlove: eff "rap" Hip Hop is forever
56392450_209299948955648001 x	@akb1888 what's up cuz, did you drink all the Ciroc ??
56392450_209302088977625088 x	@akb1888 what's a good time ??
56392450_209299314206453761 x	RT @akb1888: Whassup Tweeters!!!!!!!
56392450_159302340430663680 x	@PIEBELL49 good morning
56392450_155449319317712899 x	@spencerhawes00 IS BALLIN' !!!!!!
56392450_150628044351094784 x	Say it ain't so this is just so WRONG !!"@PIEBELL49: Hate It Or Love It COWBOYS BITCHES!!!!!"
56392450_134452981599961088 x	Yo @PIEBELL49  are you ok ?
56392450_125937256929308673 x	Yo @PIEBELL49  good morning, you got me CTFU over here !!!!
56392450_122308506698268672 x	Yo @PIEBELL49  I&#39;m getting ready to go to the plantation, Mastah gave me 5 write ups the other day
56392450_122296489778233345 x	Good morning @PIEBELL49  what&#39;s good Home Girl ??
56392450_114742371140374528 x	What's up wit my girl @PIEBELL49
56392450_111086696740831232 x	Good morning @PIEBELL49 , it's been your turn in WWF for a whole week now
56392450_109649169655922688 x	Good morning @PIEBELL49 , what it do ??
56392450_105331476693909504 x	Yo @PIEBELL49  that would be a nice gift, I would be happy with that as a gift. I would have responded earlier but, I was cleaning the grill
56392450_105282480961093633 x	Good morning @PIEBELL49 ,what's up with this Talk Box stuff ????
56392450_105114524805382144 x	Yo @PIEBELL49  good night, it's on and popin tomorrow !!
56392450_105108181142880257 x	To @PIEBELL49  I'm gonna win this one !!
56392450_105101321358684160 x	Yo @PIEBELL49  you kicking my a$$ !!
56392450_105098290110005248 x	@PIEBELL49  how are you doing ? It's your turn !!
56392450_103538860658671616 x	@PIEBELL49  It's your turn, WWF !!!!
56392450_102910032487780352 x	@PIEBELL49  MY FAULT I'M PLAYING 8 PEOPLE
56392450_98965586037575680 x	@Dimples46st follow back !!
56392450_98905650783985664 x	Yo @Auntieof2 follow back
56392450_98908911087783936 x	@AUNTIEOF2 I'm just taking it easy, what's up with you DARKY !!!!!!!
56392450_98898996533264384 x	What's up @PIEBELL49
56392450_95851589771853824 x	@PIEBELL49 good morning, fake busy CTFU !!
56392450_85003061088624640 x	RT @PIEBELL49: Ctfu the old lady said I don't give 5 hot fire shits who said what I'm not goin to church
56392450_84807787154120704 x	Yo @akb1888 where you at ?
56392450_81351610294484992 x	I've got so much trouble on my mind, refuse to lose !!!!!
56392450_76693377076301824 x	@PIEBELL49 you had me CTFU all morning
56392450_73749014172008448 x	@PIEBELL49 You know you wanted those hair styles & clothes
56392450_73524046129664000 x	What are you doing @Cocotweetie
56392450_73569077175664640 x	@akb1888 I'm at E crib
56392450_73141744102932480 x	@Cocotweetie come wash my car if your bored !!! HA HA
56392450_73076852503224320 x	@PIEBELL49 why you talking about folks ? That's not nice
56392450_72833634784129025 x	RT @eaglesbuzztap: Inside The Iggles >> NFL Owners Are Denied Postponement of Antitrust Suit http://buzztap.com/-9mw090
56392450_72832922218020864 x	Yo @Cocotweetie , what are you doing ?
56392450_72678482039152640 x	Yo @akb1888 follow me !!
56392450_71620510739480576 x	RT @MikeAndMike: RIP Macho Man ooohh yeeeah RT @darrenrovell: Folks @TMZ reporting that Randy "Macho Man" Savage has died in a car accid ...
56392450_69916206005628928 x	@PIEBELL49 you deep in ya R. Kelly bag !!!
56392450_68727752630611968 x	Cole sit ya $5 @$$ down, before I make change !!!
56392450_59432397627854848 x	Getting ready to go to the Spirit Of Philadelphia for the welcome back party for the Golden Boy
56392450_55029238943858688 x	Watching ''SET IT OFF''
56392450_54725836305219584 x	Ricky Fontane, Pretty Ricky what they call em'   Watching Martin CTFU !!!
56392450_52388243911606272 x	Watching Martin CTFU !!
56392450_2621917585 x	@MLB I like Ryan Howard to win it!
