58003762_361339066874216448 x	RT @Phashionista: Best. Fried chicken. Ever. @sptaproom @BrentMoralePhoto
58003762_371012723729252352 x	new! DFH birra etrusca bronze ale/ommegang scythe & sickle/mikkeller yeast series 2.0 saison/twin lakes route 52 pilsner/DFH olde school
58003762_371025115804598272 x	new: mushroom & cheese toast/vegetable won ton soup/steamed littleneck clams/mixed seafood & penne pasta
58003762_370996764624420866 x	RT @PhillyTapFinder: Awesome lineup at @SPTapRoom. A @dogfishbeer 15%er, a new one in town from @MikkellerBeer & a PTF Ommegang fave: http:?
58003762_370661956031877120 x	RT @m_regan: Vegetable wonton soup, wood ear mushrooms, watercress, mushroom-ginger broth on special @SPTapRoom #vegan http://t.co/5Rmrtu5b?
58003762_370306773997346816 x	RT @m_regan: Shiitake mushroom duxelles, goat cheese, and fig vincotto on toasted brioche  special snack @SPTapRoom http://t.co/jgtVK5yBzh
58003762_368848956710584321 x	founders double trouble on draft now
58003762_368488272181604352 x	RT @m_regan: Country time pork cutlets, watercress, peaches, cherry tomatoes, corn, mustard vinaigrette on special @SPTapRoom http://t.co/y?
58003762_368481970667266048 x	new! tuna & ricotta fritters/chicken wonton soup/grilled swordfish steak/crispy country time pork cutlets
58003762_368478974877249538 x	drafts! jolly pumpkin calabaza blanca/troegs perpetual ipa/pbc kilty pleasure
58003762_368128361748779008 x	RT @m_regan: Grilled swordfish steak, barley, squash, corn, cherry tomatoes, pesto on special @SPTapRoom http://t.co/YOmJ126U5i
58003762_368128335802818560 x	RT @m_regan: Chicken wonton soup, wood ear mushrooms, watercress, ginger-chicken broth on special @SPTapRoom http://t.co/ZrqnMiOBsm
58003762_368128318341935104 x	RT @m_regan: Tuna and ricotta fritters, warm tomato and chickpea on special @SPTapRoom http://t.co/33XDECpsVx
58003762_368086445241958400 x	lupus wolf 7 & lefthand polestar pilsner on draft now
58003762_367763907731267584 x	RT @m_regan: . @RoundGuyRamen miso braised chicken ramen available tonight @SPTapRoom ! http://t.co/8OkU5IZaIj
58003762_367722150486347776 x	RT @RoundGuyRamen: There's ramen happening today at the @sptaproom after 5:00pm
58003762_366669320547340288 x	new drafts: dogfish head red and white & green flash ipa
58003762_366306116507930625 x	southern tier 2xx ipa & saucony creek bling banger's brown ale on draft now
58003762_365948948751454210 x	Tomato and chickpea soup, watercress, feta on special http://t.co/H1qk3K8YSq
58003762_365948738948182018 x	Grilled tuna steak, barley, summer squash, corn, watercress, tomato on special http://t.co/Oy6sLQK49P
58003762_365940459526307840 x	lost abbey red barn on draft now
58003762_365940230471155713 x	new! pig head nuggets/dried scallop egg drop soup/tomato & chickpea soup (vegetarian)/grilled tuna steak/saut?ed summer squash
58003762_365606155986280450 x	RT @foodsyoucaneat: Pig head nuggets, super secret sauce at @SPTapRoom #pig http://t.co/LQ9JtJISQE
58003762_365557561623187457 x	new! jolly pumpkin luciernaga/firestone walker sucaba/founders r?b?us/port brewing hot rocks/elysian b?te blanche/DFH indian brown ale
58003762_364754148518293504 x	RT @phillyinsider: Pop-up dinner tonight @cheunoodlebar starring @foodsyoucaneat. http://t.co/rOuOTczpim
58003762_363767847308099584 x	lagunitas lucky 13 on draft now
58003762_363514258497085441 x	RT @PhillyHotList: @SPTapRoom - you've been nominated for Best Beer Selection by @PhillyHotList voters. Voting ends Fri, 9/6! http://t.co/t?
58003762_363433991283539968 x	pbc gregarious ginger & bells two hearted on draft now
58003762_363424461069881344 x	scotty k's last shift! stop by & wish him well... http://t.co/vWAudOTSnT
58003762_363408664436023296 x	specials! barley & vegetable soup/grilled verlasso salmon/mexican elote/steamed little neck clams/country time pork p?t?/huarache de hongos
58003762_363407708185051137 x	green flash saison diego on draft now
58003762_361274187681243136 x	RT @erikvillari: Fuck yeah Philly. ? Drinking a Blind Pig IPA by Russian River Brewing Company at @sptaproom  ? http://t.co/YO3AFnV5kJ
58003762_361123894565945345 x	@m_rittenberg not really but we should plan it and do it.
58003762_361123457372659713 x	RT @phillymag: @SPTapRoom serves up this year's #BestOfPhilly Best Bar Burger ??please retweet!
58003762_360875336591867905 x	RT @m_regan: Crispy trout, green meadow corn, roma beans, cherry tomatoes, bacon on special @SPTapRoom http://t.co/jpljUFwlZZ
58003762_360875317092560896 x	RT @m_regan: Steve's chilled peach soup, cucumber, cardamom yogurt, mint soup special @SPTapRoom http://t.co/Q2yMqFHPBh
58003762_360875301292613632 x	RT @m_regan: Country time pork pate, cape gooseberry mostarda, rye toast snack special @SPTapRoom http://t.co/KbSr6HkCzL
58003762_360873528154787843 x	new drafts: port brewing mongo ipa/ommegang fleur de houblon/russian river blind pig/pbc newbold (cask)
58003762_360872589977071616 x	new specials! country time pork p?t?/dr steve's chilled peach soup/barnegat light sea scallop crudo/crispy pocono trout
58003762_360412617577205760 x	troegs mad elf on draft now! #XmasinJuly
58003762_360404883146412032 x	RT @foodsyoucaneat: Harry & Seth from @thedapperdog I'm heading to Love Park to end Nation Hot Dog with the? http://t.co/XAgfn5iUF6
58003762_360404864284631041 x	RT @foodsyoucaneat: So @thedapperdog truck just pulled up and it's PERFECT hot dog weather!!! Love Park for lunch today? http://t.co/0WGfVq?
58003762_360153924969304064 x	RT @m_regan: Barnegat light sea scallop crudo, watermelon, tomato, serrano, radish on special @SPTapRoom http://t.co/oRK5hetMJs
58003762_360067313296343040 x	RT @m_regan: Cucumber, tomato, and fennel salad-grilled artichokes-marinated octopus antipasti on lunch special today @SPTapRoom http://t.c?
58003762_359824001205415936 x	RT @uwishunu: Awesome: @CheuNoodleBar hosts an industry dinner with guest Chef Scott Schroeder of @SPTapRoom 8/6 http://t.co/BCBX6enizw @fo?
58003762_359789870958391298 x	RT @m_regan: Steamed clams, fennel, olive, white beans, tomato broth, basil on special @SPTapRoom http://t.co/CRxufAFPwy
58003762_359455339801870336 x	draftomania: weyerbacher 18th anniversary/duck rabbit schwartzbier/long trail ipa (firkin)
58003762_359019592305217537 x	new drafts! allagash yakuza/stoudts pilsner/bells oarsman/saucony sessions ipa
58003762_358801288470859778 x	@bpgel we're gonna miss you! best of luck & thanks for all the ?
58003762_358741322301448192 x	RT @cookphilly: Hallelujah! RT @SPTapRoom: fried chicken is back!
58003762_358711141490360320 x	fried chicken is back!
58003762_358659093990744064 x	RT @foodsyoucaneat: New & improved breakfast burrito at @SPTapRoom #NewBrunchMenu #brunch #ham #eggs #cheese http://t.co/h4XdRwc6TM
