606540712_394988527253217280 x	RT @DidDrewGetAHit: Nah
606540712_394949789886210048 x	Or ever
606540712_394949680322576385 x	I can't sit still in this class
606540712_397793634625798144 x	@lofabred same song and dance
606540712_386582313746063360 x	@l_alba65 asylum
606540712_378194814187343872 x	@_jrg9 will do bro
606540712_398135265950445568 x	@iamKingHiggs gus filbecker
606540712_399267198889623552 x	@aknobel3 @CMoccia14 YEAH!!!
606540712_398779597908873216 x	Its payback, Russell Wilson falling way back in the draft
606540712_399950683316961280 x	@Bo_Sting hahaha that place was clean
606540712_399851719410323456 x	RT @HotStylz: @KevinGirvan suck a dick and die
606540712_399647800788783104 x	RT @IamEvilTebow: The Ravens DBs are Dumb As Fuck
606540712_399607826810949632 x	@ryanspeicher not yet, don't give up
606540712_399266784173633537 x	@CMoccia14 @aknobel3 can i play
606540712_398802425655881728 x	@jay_pettengill @l_alba65 that kid sucks
606540712_398645204858961920 x	@ryanspeicher #GoPackGo
606540712_398571666760273920 x	@Erin__Markham you suck
606540712_398239653834551296 x	If you say finna, and your not kidding, you suck.
606540712_398242058911363073 x	@l_alba65 your not getting reggie bush faggot
606540712_398231965373317120 x	@JPerry43 yeah me..jk
606540712_398214817703817216 x	RT @AdderallHadMe: ADDERALL HAD ME THINKING IN ALL CAPS
606540712_397798715282690048 x	@lofabred haha yeah im only half way through it tho
606540712_397798578300911616 x	RT @lofabred: @ryanbrown_4 haha classic freshman year. You like the new album
606540712_397744338618155008 x	RT @RealDelloo: @ryanbrown_4 holy sad browny
606540712_397734943235002368 x	There goes my fantasy season
606540712_397678936723046400 x	Haven't been this tired in a long time.
606540712_397718849854136320 x	@thatsWainwright that hurts
606540712_397713850105344000 x	Today already sucks
606540712_397393339508867072 x	Your a fucking tool
606540712_397193400371642368 x	RT @fivedimples: Now THAT was a weekend.
606540712_397121085608833025 x	"@DefinitelyaDbag: If you're a Cowboys fan? You're Definitely a Douchebag" @aknobel3
606540712_397108413169405952 x	@ChrisJohnson28 thank you
606540712_397079253961179136 x	RT @The_JoeyB: Football.football.football.
606540712_396284535652249600 x	Ramble on
606540712_396091090434277376 x	@DaveLang24 hahaha
606540712_396039791999193088 x	@caulrich6 your gonna be a great mom one day..
606540712_396025689956421632 x	I hate when that happens
606540712_395994167312404480 x	@amandaboodrow may be going there tomorrow night, if i do I'll visit you
606540712_395993433887997952 x	@amandaboodrow no that was me,i got arrested in Bridgewater last night
606540712_395707980261646337 x	@aknobel3 @l_alba65 Yankees are prob watching the Celtics Too
606540712_395708660858781697 x	@l_alba65 never heard that one before
606540712_395700358519201792 x	Stairway to heaven is a classic
606540712_395702966843629568 x	@l_alba65 I'm blocking you, you suck
606540712_395652010168840192 x	RT @BrendanPaulhus: @ryanbrown_4 its unreal browny check it out my man
606540712_395651815335034880 x	@BrendanPaulhus is it crazy?
606540712_395287922540568576 x	You
606540712_395149890118221825 x	I definitely have a few regrets in my life
606540712_395020298221010944 x	RT @Bcarroll149: if buchholz was on the mound and that paper airplane hit him he would have been out for all next season
606540712_394933879901282304 x	RT @BrendanPaulhus: But I'm actually weirder than you think, cause I'm friends with the monster that's under my bed, get along with the voi?
606540712_394626900318253056 x	RT @IamEvilTebow: Clay Buchholz is definitely a result of incest. #UglyAsFuck
606540712_394614394920779776 x	@fote_40 lmao
606540712_394606242154708992 x	@aknobel3 did the cowboys win? I missed it
606540712_394605181947891712 x	RT @teddyb__: @ryanbrown_4 only nudes
606540712_394603903951835136 x	@teddyb__i knew youd say something, set myself up with that one
606540712_394604370161336320 x	@teddyb__ browny481...no nudes ed
606540712_394603277314449408 x	I need more snap chat friends
606540712_394598577290641408 x	RT @Mikecavallaro: Some people need to realize that moving on isn't a bad thing. You learned from your past and that can only mean good thi?
606540712_394588718310641664 x	McFadden finally getting me some big points
606540712_394583430077636608 x	@teddyb__ didn't ask you
606540712_394570573323710464 x	@Shermanator35 congrats on the touchdown man.
606540712_394549466214432768 x	I hate how the Pats always comeback
606540712_394550148099244033 x	@teddyb__ here we go
606540712_394315315037081601 x	Bullshittttttttt
606540712_394187658173616128 x	@Bburnsy93 happy birthday burnsy
606540712_393838261497782272 x	RT @brittestrella: Something just doesn't feel right anymore..
606540712_393528571945582592 x	RT @WillKummer: James Taylor LEGEND
606540712_393417583678193664 x	Today fucking sucks
606540712_393204007952715776 x	RT @_Mango18_: Hey soul sister
606540712_393158056277966849 x	@NAredwings5_91 haha really, where at
606540712_392793268335177728 x	@emily__knobel @Erin__Markham
606540712_386680433217658880 x	@emily__knobel what's in the cup
606540712_392789339182481408 x	I know i say it all the time, but it literally hurts when people chew loud. I hate that shit
606540712_392413334051782656 x	@megeastcoast cool
606540712_392406249108942848 x	@l_alba65 @RealDelloo Luke plays soccer and has a wide set vagina
606540712_392406538788548608 x	@l_alba65 @RealDelloo you suck
606540712_392404974967459840 x	Nothing worse than having a cut in your nose
606540712_392405381135495168 x	@l_alba65 i beat you in fantasy
606540712_392079595857772544 x	RT @LifeCheating: Want to park somewhere you're not allowed to park? Keep the envelope from a parking ticket & put it under your windshield?
606540712_392026183116001280 x	RT @aknobel3: Haha usually the pats get a call like that #eatshit
606540712_392002379232862208 x	A.JGreen is ridiculous
606540712_391972834396082176 x	@_mmccrosson their was last year so probably
606540712_390996779690643457 x	This week flew by
606540712_390998333793509376 x	@l_alba65 i knew you'd say something
606540712_390638550787817472 x	@CMoccia14 is still a funny bastard
606540712_390562083764699136 x	Why does that still bother me so much?
606540712_390518204558495744 x	@megeastcoast miss you to Meg
606540712_390516141350998016 x	I have that new lady Gaga song stuck in my head so bad
606540712_390514368452255744 x	@fivedimples James Taylor is the man
606540712_390249737410318336 x	I will never understand how anyone can enjoy running long distances.
606540712_389535789182627840 x	I hate that
606540712_389533868526936064 x	@aknobel3 its a verb
606540712_389534628564185089 x	@aknobel3 no fuck that
606540712_389533798393970688 x	RT @aknobel3: Brady just romoed ?
606540712_389520614568251392 x	RT @WillKummer: Amendola down again, what else is new
606540712_389411913245155328 x	Go packers http://t.co/C4CqoccO9E
606540712_389167220942966784 x	RT @ryanspeicher: @ryanbrown_4 #GoPackGo
606540712_389164031107686400 x	Can't believe I'm actually going to a packers game tomorrow
606540712_389166998921691136 x	@ryanspeicher yes you can
606540712_389164524412346368 x	"@UberFacts: A grown man once hunted down and attacked a child who killed him several times in Call of Duty." @aknobel3
606540712_389137105890582528 x	@brooke_eklind @ShanleyWalker i know a girl in this picture @allidamico
606540712_389115606383230976 x	RT @spodermenpls: wana c an majyk trik??  abrakadabra ur an fagit
606540712_389089707654914048 x	@McLaughAtMyself happy birthday!
606540712_389083891786866688 x	In Baltimore finally
606540712_389053983924690944 x	@caulrich6 how
606540712_389059086480056320 x	@caulrich6 you never stop talking
606540712_388480582235471872 x	@emily__knobel you hit homeruns and game winning 3s.
606540712_388402016533643264 x	So funny how fake girls are to each other when they first meet.
