65713011_11560432002 x	damn
65713011_11559991057 x	cool @laurrrbabyyy, joel shits perfection
65713011_11058066546 x	15 - 3 get at me wildwood =)
65713011_5176664656 x	tweet
65713011_9695073664 x	makin finland look silly =)
65713011_5152615533 x	watchin the goonies in lph =P
65713011_5109596531 x	bored as hell like always. who wants to chill?
65713011_5107776962 x	just got home. whatsup tonight?
65713011_388792122205564928 x	RT @famousamos30: #PrayForAP
65713011_6061736351 x	just got home pretty bored now. anyone wanna chill later?
65713011_398565375635632128 x	My view at work is waaay too distracting for me to get things done some days http://t.co/MlFzoYUt5D
65713011_398257091724705792 x	RT @meatbono13: Carrie Underwood top 7 hottest girl I love
65713011_395719203187339264 x	Shane reminding us of 2008, bittersweet
65713011_394551394059182080 x	RT @TonyBrunoShow: Even Andy Reid is laughing at Chip Kelly's dreadful decision making. #clueless
65713011_393181322002571264 x	Beltran had way too much swag on that catch, like it was no big deal
65713011_393179802188132352 x	@pleasurepease he thought he was on the arizona cardinals
65713011_393179711557603328 x	@KyleCurtis_ @stephgrosss ayye natty swag
65713011_389592701064445952 x	@pleasurepease must be nice to be a Boston fan today
65713011_389592352320667648 x	RT @TheAttack5: Big Papi. Wow
65713011_388875889918103552 x	@KyleCurtis_ I better not see this tomorrow
65713011_388792651723866112 x	What the hell would ever make anyome beat a two year old to death, people are sick #PrayForAP
65713011_388499023050833920 x	@KyleCurtis_ cant get an @ though? :P
65713011_388134674398445569 x	@Dwyer0022 I'm in
65713011_383990212843823104 x	RT @ShouldaBeenStew: I miss cross country ??
65713011_381951812754239489 x	@KyleCurtis_ the process for proving stuff?
65713011_381952375357186048 x	@KyleCurtis_ yeah shits ass, I could attempt to explain it sometime if you need help
65713011_379338611348733952 x	Shady needs more touches in the second half and that game is in the bag
65713011_379075844708511744 x	@HallePinz lol if only we were 14 again
65713011_378502623412109313 x	@KyleCurtis_ been doing that for years hah, hard to sleep without one
65713011_378505967597797376 x	@KyleCurtis_ nah wild berry guys, they're sooooo good
65713011_378333146343038976 x	Patriots offense looks like Tom Brady and the shmucks
65713011_377221681921925120 x	RT @MikeMiss975: Im exhausted WATCHING this game!
65713011_377206919897022464 x	RT @HARRYMAYES975: Why is Ditka wearing sneakers?  Because he's Mike "F'ng" Ditka...that's why.
65713011_376171294519476224 x	@KyleCurtis_ I like surprises
65713011_375805832153559040 x	RT @pleasurepease: RAY RICE DOIN THE TERIO AS A CELEBRATION
65713011_375388650403799040 x	@Joel__Lamar awkward, its robinho, not ronaldinho ...
65713011_375340123392864256 x	@Joel__Lamar can't handle college already!
65713011_374387964824289280 x	RT @macklemore: Tonight was perfect. I love you Philly. #madeinamerica http://t.co/yRtyQWSqmY
65713011_374379527579107328 x	@HallePinz been on here for like a month or so haha, youre outa the loop!
65713011_374380842669588480 x	@HallePinz I actually think I was a couple days after we were riding and around you said I needed one :P but hey, one step at a time
65713011_373293772358316032 x	@Joel__Lamar ill be down, as long as @Zorzzzz dont mind
65713011_372760341547347968 x	RT @pleasurepease: Everyone is just getting to school, but im done until march at the end of this week. Amazing
