66526219_398287103018401792 x	Carrie Underwood's legs though >>> #incredible #powerhouse
66526219_398466212960960512 x	Goodmorning everybody :) blessed to see another day. Hope everyone has a nice day
66526219_399679834840129536 x	Watching my fav show #kuwtk cant wait for the season final tonight!! @KendallJenner @KylieJenner @KhloeKardashian @KourtneyKardash
66526219_399678093889380352 x	RT @De_Green24: I love @MileyCyrus ???????
66526219_399641048584310787 x	USA vs. BRAZIL TIME
66526219_399299267510419456 x	@Christie_McGann look at this girl who went MIA
66526219_399300680474951681 x	@Christie_McGann yeah sure. You just dissapeared lok
66526219_399517243434094592 x	@Christie_McGann im pretty sure you did lol. But how have you been!? N wht not
66526219_399301532568788993 x	@Christie_McGann lol*
66526219_399047141731356672 x	@ravee_nn i see why u never text me back. Smdh
66526219_398649330481266689 x	RT @ddlovato: RION JUST KILLED IT!!!! @MissRionPaige #standingovation
66526219_398649179737968641 x	RT @_ameelahk: RT if your against abortions ???? http://t.co/d4P4kHFFFU
66526219_398591603922583552 x	the fact that i just remembered i work on thanksgiving...now that shit is going to blow
66526219_398576015691493376 x	"@msleamichele: I am @katyperry! Ps I love you. #fangirling ?"
66526219_398575898234204161 x	RT @GLEEonFOX: What will be the name of Kurt's new band? Tune-in TONIGHT to find out! #glee http://t.co/QyDndP0OkY
66526219_398575516762243072 x	"@GiavannaNatalia: do you ever look at a persons tweets and realize you'd prob get along really well, weird but i do" yeah all the time lol
66526219_398567665737805824 x	@katyperry #KatyOrGaga i choose #Katy
66526219_398567317984260097 x	RT @katyperry: I'm sups excited for tonight's episode of #GLEE, who's with me?!
66526219_398566936076111872 x	Just got to get threw tomorrow at work then i have the weekend off thank god. i havent had a weekend off in about two months!!!!
66526219_398564961221640192 x	I dont care what anyone says but Keeping up with the Kardashians is my show!! #KUWTK i can watch this show all day and never get tired of it
66526219_398529987273576448 x	RT @ClassicPict: What would you do? http://t.co/7yuLoVZBBw
66526219_398522797049516032 x	RT @DailyDomer: Congratulations to @SkyDigg4, who joins the #NotreDame Ring of Honor! http://t.co/pL3VyZWCFA http://t.co/E2sz2NWcck
66526219_398497854370902016 x	RT @GLEEonFOX: RT if you're excited for tonight's all-new episode of #glee! #KatyOrGaga
66526219_398285902348578816 x	RT @ddlovato: #xfactor loooooove @paurubio http://t.co/1ErXN0lWCt
66526219_398284915533709313 x	RT @ddlovato: So incredibly proud of all my girls tonight!! Love you @Khaayaa0 @MissRionPaige @EllonaSantiago!! #motownfun
66526219_398284441640263680 x	RT @ddlovato: Amazing!!! That's what I was looking for @MissRionPaige!
66526219_398274435180163072 x	RT @novaxo_: I seriously literally have no friends
66526219_398252896346972160 x	RT @Zendaya: I wanna bring back the cool Disney channel...I'm talking That's So Raven...Lizzie McGuire....Proud Family...Kim Possible feel.?
66526219_398203196151455744 x	"@De_Green24: High school was sooo much easier....people in high school still enjoy dat shit while you can cuz college ain't no joke". Amen
66526219_398213025226059777 x	@De_Green24 who you telling. I say that atleast three times a day.
66526219_398181997421797376 x	RT @ddlovato: I LOVE LIFE!!!!!!!! ????
66526219_397912449195991040 x	RT @_brrreeee: I'd rather say ?nevermind? than repeat myself.
66526219_397752592652324865 x	@b_hassan9 be nice brooke
66526219_397762827815256064 x	@b_hassan9 yesss
66526219_397557267366940672 x	RT @reIatabIe: It takes about 3.4 seconds for me to go from "this is the best day ever" to "I want to stab every human being on planet Eart?
66526219_397555986187419648 x	#RowlandStones #KellyRowland @KELLYROWLAND
66526219_397555663838384128 x	RT @haleylynneparks: My mood:????
66526219_397530253960437760 x	Why am i so tired and its only 8 oclock?
66526219_397475959458516992 x	#MCM cody Christian! #pll http://t.co/SWwx38cBet
66526219_396605545635123200 x	Proud words from the one and only demi lovato. #myidol #stay #strong #smile http://t.co/wXAEyp4OCy
66526219_396307807739580416 x	I hate working on fridays!
66526219_395968692204634114 x	RT @KendallJenner: Happy Halloween! ??
66526219_395968651855421440 x	RT @MileyCyrus: happy halloween hoes ???
66526219_395968230139113472 x	RT @KacieFOX29: Kimberly Forever #GoGoPowerRangers http://t.co/SoUyJVKBVf
66526219_395968189097869312 x	RT @knicolai_: God I miss high school
66526219_395344689853108224 x	@in_my_VICinity wtf?!
66526219_395332625415819264 x	Ring time!! #HeatNation
66526219_395314692664864768 x	@Iam_moanz yes we are! No question ask. Time for the haters to come out once again lol
66526219_395308511355469824 x	@Iam_moanz you already know i am girl lol!! #HeatNation
66526219_395287878877851651 x	i am tired as hell like smh this is bad
66526219_395254290174193664 x	"@LexEmThenNextEm: I'm physically, mentally, emotionally exhausted" you and me both girl
66526219_395226655582875649 x	"@KingJames: Wow what a day!! The season is back and I'm so damn exited!! Let's go #HeatNation #StriveForGreatness"
66526219_394657779866415104 x	I always get fucked over, what do I do so wrong for people to treat me like shit
66526219_394653627601920000 x	Im so bored at work like omfg
66526219_394561457402437632 x	I wish i had friends....sometimes
66526219_394534109240115200 x	Dont wanna be at work at all today like wtf
66526219_394524955041624064 x	RT @KendallJenner: RT if you know what tonight is ;) http://t.co/v2DCLrRxst #KUWTK
66526219_394322176733880320 x	RT @MoonaFarhan: Ladies and gentlemen, @Zendaya as Aaliyah for Halloween ?????? http://t.co/GgpDvWW1kK
66526219_394286368761065472 x	@De_Green24 you in williamstown?
66526219_394292734368178176 x	@De_Green24 thats whats up how was it?
66526219_394316505795792896 x	@De_Green24 thsts where all the love is it...with the family
66526219_394317224405921792 x	@De_Green24 lol. How u been stranger
66526219_394318202999963648 x	@De_Green24 you just chillin yeah right
66526219_394319987328184320 x	@De_Green24 find that hard to believe your De'Nisha Green
66526219_394320445451030528 x	@De_Green24 oh that means alot n u know that
66526219_394320326584438785 x	Why do i let myself get like this?
66526219_394320154483752960 x	@ay_bubulicious tell me about it. The freak worse
66526219_394248212120633344 x	work is the fuck boring tonight
66526219_394207988581662720 x	@JJWright_11 Happy Birthday John
66526219_394171931878244352 x	Work in 20mins oh man...im super tired
66526219_393911041081757696 x	@ravee_nn yes!!!!! Lol
66526219_393767666839982080 x	RT @athleteswag: Sweatpants are an everyday thing.
66526219_393731617648541696 x	Happy Birthday to the wonderful @katyperry glad to be a fan. Keep doing what your doing. And great job on your new album PRISM!
66526219_393484534442131457 x	Good luck to my bestfriend @b_hassan9 tonight in her game!! Love ya girl
66526219_393570456898256897 x	@b_hassan9 look at that i knew you guys would
66526219_393439605909106688 x	This class is such a waste of my time.
66526219_393364559924572160 x	Something light on this fall weather day. #school http://t.co/ScUAyNTeJA
66526219_393038875465383936 x	RT @amberiscool: 2013 #WorldSeries starts tonight! Wish it was the Phils but rooting for the Soxs just bc Shane Victorino was once a Philli?
66526219_393031666093928448 x	@b_hassan9 thats my movie!!!!!!
66526219_393027882895024128 x	oh how i miss @Oh_My_Gab like crazy :(
66526219_393020125462659072 x	beautiful @JanelleOArthur is following me!!! Top 5 finalist on American Idol so talented with a amazing voice http://t.co/9TJyyXxGqX
66526219_392815496703516673 x	@haleylynneparks what!!!!!!!!
66526219_392816170317144064 x	@haleylynneparks lol they have a whole nother season(season5) so we got a long time to wait for the truth girl
66526219_392815882931826688 x	I think @haleylynneparks broke my heart with her last tweet about pll </3
66526219_392815282496233473 x	Grunwald is  scary. #PLL #PLLSeArchPArty
66526219_392814366460223489 x	Omg spencer was so close!!!!
66526219_392813120189890561 x	"@This episode of PLL is nuts and its making me go crazy omg. Love this show to death @AshBenzo @shaymitch @lucyhale #lovingit"
66526219_392811826935001088 x	watching Pretty Little Liars and having panic attacks every 0.2 seconds #PLLSeArchPArty #PrettyLittleLiars
66526219_392807274299011072 x	Huh that was scary where hanna go!!?!! #PLLSeArchPArty
66526219_392802602867769345 x	ITS TIME ALL YOU #PrettyLittleLiars FANS GET READY FOR A #PLLSeArchPArty CUZ ITS GOING TO BE A BIG ONE!!!! @ABCFpll
66526219_392801521769127936 x	Five mintues until #PLLSeArchPArty #PrettyLittleLiars and i cant wait any longer!!!!!!! Omg
66526219_392790659318706176 x	RT @tylerjblackburn: RT if you can?t wait to watch the #PLL Halloween Special TONIGHT @ 8/7c on @ABCFamily followed by #Ravenswood!
66526219_392759326449750016 x	"@Jolenecal54: You can hope for the best and expect the most.. But sometimes it still won't happen.. Don't let that feeling bring you down."
