70540886_396097324818386944 x	@KatieArmadillo oh god. What??
70540886_396412177026138112 x	@hillary_shade 2008 Kia Rio!
70540886_396386865798205440 x	Got a new ride! Nothing fancy, but it will get the job done for the next few years.
70540886_396410659896049664 x	RT @iLikeGirlsDaily: If you allow people's perception of you to dictate your behaviour, you'll always be fake.
70540886_396410136400785408 x	I hate that I want to nap at 7 on a Friday. That cheesesteak and this couch are not helping very much either.
70540886_396409572124270592 x	RT @UABB: Another awesome pic from @rayduker. http://t.co/4MgEih4iEJ
70540886_396406203250909184 x	@bryce_koch you look like you're out for blood in that shot. #Legit #TruckStick
70540886_396398011636793344 x	RT @JennyJohnsonHi5: I'd rather watch my mom take a shower. RT @peoplemag: Watch Avril Lavigne and Chad Kroeger talk about their romance.
70540886_396292502002892800 x	Gonna listen to soft music all day just so tomorrow shreds my face off even more.
70540886_396236173741674496 x	Lol http://t.co/d766iW0F1L
70540886_396232338633666560 x	And apparently there was a kinda bad wreck at 2:40 am right down the street from my house. Geeez! Crazy night
70540886_396231808180056065 x	Holy wind! Woke me up!
70540886_396123656763752449 x	Winning with a safety?!
70540886_396123064641265664 x	Ugghhhh why must cars be so expensive?!
70540886_396104836141576192 x	Hope I can find a half decent car soon.
70540886_396096234643267584 x	Beyond ready for the show Saturday. About 90% sure I'll be nursing a bangover on Sunday at work.
70540886_396093422056263680 x	Wendy's commercials have got to be the worst on TV.
70540886_396053686566526976 x	Change of plans. Willoughbys for some food
70540886_396047956706873344 x	Am I gonna watch Ghost Adventures all night tonight? Yes, yes I am.
70540886_396044574327865344 x	One wrong word is gonna set off a shouting match in my house tonight. Walking on eggshells is such a shitty feeling.
70540886_396008561912066048 x	@NickTNM you're damn right!
70540886_395972108960137216 x	RT @robdelaney: Cymbalta. RT @CVS_Extra: Fill in the blank: my favorite Halloween candy is ______
70540886_395968775256039424 x	And nothing I could ever write, would help you understand this life. There's so much beauty when your eyes lay lost in all the city lights
70540886_395958226547900416 x	I should probably chug some water since I have to pee in a cup for lab and have no urge to go at all.
70540886_395949717081030656 x	RT @SciencePorn: It snows metal on Venus.
70540886_395949171758628865 x	Happy Halloween! m/ http://t.co/8wnIjzPOIW
70540886_395942492354654208 x	@BlackIcePaige ?
70540886_395938759709323264 x	RT @espn: Michael Carter-Williams had the statline of the night: 22 points, 12 assists, 9 steals and 7 rebounds ... in his first NBA game E?
70540886_395937307720949761 x	RT @ShaneVictorino: As the great @bobmarley would say...  "Don't worry about a thing,  'Cause every little thing gonna be all right!"   #Bo?
70540886_395759554153418752 x	Shane Victorino is a class act. Love that dude. Miss him in Philly
70540886_395757289837449216 x	RT @BarstoolBigCat: Is that the first time John Henry ever saw smoke?
70540886_395756757873852416 x	RT @BarstoolBigCat: I bet Bud Selig smells like death
70540886_395753404456525825 x	Let it be know that I am only happy for Shane Victorino and @matt_rehrig . #SoxNation
70540886_395753014293954560 x	Still get chills watching them celebrate. Congrats Sox. Hell of a season from beginning to end.
70540886_395752385601351680 x	I could care less about the Sox and my heart is still pumpin right now. I fuckin love sports.
70540886_395751069248405504 x	Uehara is about to shut it down.
70540886_395748920036704256 x	RT @iLikeGirlsDaily: Retweet if you want me to follow you
70540886_395744817436979201 x	Not a spoon, not a fork. But something in between.... A fpoon.
70540886_395742015587377152 x	Gotta love the trailing shot of a player walking to the dugout and tippin his cap to a standing ovation. #GoosebumpCity
70540886_395738537838264321 x	Epic Tom Brady joke on Southpark tonight!!! ?
70540886_395733203790884864 x	@ChieflyEthan .....dude..... Mind blowing.
70540886_395734954296233984 x	@ChieflyEthan I didn't mean that in a dick way either! That's a creepy thought.
70540886_395726085989892096 x	RT @stoolpresidente: I'd kill to have Jonny Gomes punt a beer off my face tonight
70540886_395726053408518144 x	RT @SportsCenter: Shane Victorino CLEARS THE BASES. Victorino hits a double off the Green Monster, driving in 3. Fenway is GOING CRAZY! #Wo?
70540886_395725178719969280 x	It's a shame that the highest point in the Sixers season is gonna be the season opener. Still impressed though!
70540886_395673009610321920 x	Gonna be a looong three hours. It's already dead here
70540886_395663340099608576 x	Back to work till 9. ??
70540886_395662530565386242 x	And again, it's -4 degrees at work.
70540886_395660271030927360 x	RT @UABB: In beautiful Pennsylvania!!  Who's coming out tonight?? http://t.co/5jMgfPj9IH
70540886_395658541325123584 x	RT @MarkDuaneMorton: I gotta re-learn a song for tonight...ain't played it in a couple years!
70540886_395609971658072065 x	And in the end, you'll be nothing but a memory.
70540886_395609595877785600 x	RT @Hartsy19: @ErinAndrews #selfiewednesday Hahahah. Who's winning tonight? http://t.co/KvXIs4x6Ah
70540886_395609189978210304 x	The stars at night are big and bright, deep in the heart of Texas!
70540886_395599010654064640 x	I'd be pretty stoked if today was wear sweatpants and a hoodie to work day.
70540886_395576408086691840 x	RT @SciencePorn: Our Education System http://t.co/yc1CUQIxRw
70540886_395576319117131776 x	Holy shit I can't wait for Saturday. #Rage #Mosh #PutYourMiddleFingersUp
70540886_395403765425405953 x	Goodnight ??
70540886_395395892662255616 x	@hillary_shade you can turn them off in settings!
70540886_395396632126439424 x	@hillary_shade yeah I wasn't a fan either. Too much going on.
70540886_395398026027880448 x	@hillary_shade ??
70540886_395395610247200768 x	RT @NW44: Dont count on me too let you know when.
70540886_395388495499649024 x	Can't wait for Anchorman 2.
70540886_395383248844775424 x	Damn good rendition!! That's one of my favorite songs and the guy killed it.
70540886_395381445629599744 x	He does have a smokeshow wife for sure. Shocking that she has a brain tumor. Hope he kills this rendition.
70540886_395381119543427072 x	No way this dude tops Bruno Mars in The Voice.
70540886_395378158536777728 x	RT @MichelleDBeadle: Scented toilet paper seems like a losing battle.
70540886_395376834248179712 x	Pretty hilarious episode of Tosh.0 tonight. ?
70540886_395376185427132416 x	@TrishaFrazer 's twitter avatar. ????
70540886_395374699343249408 x	Stink Wrinkle ?
70540886_395374483902849024 x	I can't believe that was allowed on TV! Bahahaha
