717632459_395701008086859776 x	Halloween sucks
717632459_394934722616647681 x	@CSNPhilly @The700Level Mike Vick is nothing but a dog killer showing his real colors
717632459_394934190770520064 x	@CSNPhilly @The700Level
717632459_394637023866552320 x	@MBarkannCSN Mike Vick nothing but a dog killer
717632459_394632839633051648 x	St.Louis sucks@ pv
717632459_394624699118133248 x	Go red docs win it all @MBarkannCSN
717632459_394593298780024832 x	How about those Giants #EaglesTalk
717632459_394583177429524480 x	How about those Giants another 1 bites the dust.  A great day Eagles lose again !!!!!!!!
717632459_393381320417894400 x	Go G men crush the Eagles
717632459_392634652042989568 x	Half my class has the Flu we will try again tomorrow
717632459_392086058219098113 x	Go Denver Patton rules
717632459_392069543436513280 x	How about Andy Reed 7-0 a little better than Chip Kelly
717632459_392024834886340608 x	How about those Cowboys
717632459_391911368737427456 x	Go cowboys crush the Eagles
717632459_391368205094367232 x	When is Synder going to wake up it is not always the coack# go Flyers
717632459_390501429552877568 x	Go cowboys crush the Eagles
