718495730_270644600606171137 x	#CallACutieOut @bvickerman
718495730_279358674202398720 x	Bite Me!
718495730_279360618153267201 x	@bvickerman at least you tried.....
718495730_279361369822883840 x	@bvickerman have no clue what you are sending as all I see is a black square....at least you try.
718495730_279362193873592321 x	@bvickerman I like tongue. Hahaha
718495730_277014198742036480 x	#FF Y?? ??? ???S?M?! @bvickerman
718495730_277415731354824705 x	@bvickerman how r u? I been wondering about ya....
718495730_271394283406364674 x	@bvickerman http://t.co/KLLyEuNc
718495730_271404865966718977 x	@bvickerman in CDN we had our turkey day back in October. Just another work day for me. Have some pie for me! ;)
718495730_270675902759858177 x	@bvickerman where have you been hiding? U get better yet?
718495730_266143448745275392 x	XO for U! @bvickerman
718495730_261825358221963264 x	#FridaySnuggle @angry_vet_ @Bedgood5 @Benehen @BiggestKahneFan @BradSshoaf @BrittianFlowers @bubba7197 @bvickerman @Cdn_CadGuy @davidbritt
718495730_255037836829523969 x	@bvickerman soooo I haven't missed anything!
718495730_255039455595995137 x	@bvickerman safety is the only thing I won't mess with on my bus.
718495730_251752588364636160 x	5pm my house .... Be there! http://t.co/w7DuwIq2
718495730_250620577407184896 x	<3 My Friends @BigRichSports @bvickerman @electech22 @Engle51 @FVsecretsanta @Gaftershave @glennjhull @matt_campbell3 http://t.co/9JM9UmXj
718495730_247994659928948736 x	:P #tonguetuesday @bvickerman
718495730_248061767962468352 x	@bvickerman gotta give to get. Lol
718495730_248071097268985856 x	@bvickerman without me?
718495730_244456976350838785 x	My favourite all time candy! http://t.co/iPNwlihK
718495730_243281033573855232 x	Wednesday Wubs @bvickerman
718495730_241967151374819328 x	@bvickerman word creation...... http://t.co/tZm2vmYU
718495730_240181607502319616 x	@bvickerman lmao my bad???
718495730_240182719974342656 x	@bvickerman so my bad is good ... I aim to please. Heehee
