719234276_393526078427635712 x	RT @GrumpyyCat: "Shit ton" is my favorite unit of measurement.
719234276_393479199648145408 x	RT @EarlDibblesJr: This year for Halloween I'm gonna be the same thing I was last year...drunk.
719234276_390661032257269760 x	RT @CauseWereGuys: Finding a good girl these days is harder than trying to find Waldo.
719234276_390259007732338688 x	@ESPNNFL: NFL rushing leaders  1 LeSean McCoy 630 2 Arian Foster 531 3 Marshawn Lynch 487 4 Adrian Peterson 483  @CutonDime25
719234276_390258696036810752 x	RT @ESPNNFL: NFL rushing leaders:  1 LeSean McCoy 630 2 Arian Foster 531 3 Marshawn Lynch 487 4 Adrian Peterson 483 5 Frank Gore 477
719234276_389707184793468928 x	RT @WiseMissKay: In three words I can sum up everything I've learned about life: it goes on.
719234276_389707101247115264 x	RT @GrumpyyCat: I don't need to control my anger. Everybody around me needs to control their habit of pissing me the fuck off.
719234276_389707051343290368 x	RT @CauseWereGuys: It would be pretty cool to be a pro athlete and play a video game as yourself.
719234276_389562000692760577 x	RT @IifeprobIems: I'm so tired of:  1. Fake friends   2. Drama  3. Liars   4. Being ignored  5. Getting hurt
719234276_389009010298728448 x	@CutonDime25 reading articles online about how scary you are on the field, hbu?
719234276_231466236075188224 x	@SteveBunin. #StrasburgShutdown Speaking as a philly fan I think it is a incredibly stupid thing to do if you are trying to win a pennant!
719234276_230767490085576704 x	@DeseanJackson10 He and Jmac can do the gritty work inside while you make the highlight reel outside the numbers!
719234276_230767300586901504 x	@DeseanJackson10 Hey man, I think you are a great player. But, I think your talents would be used even more if the Eagles signed Plaxico B.
719234276_230054681798377473 x	@PTI why does everything have to be about the $$? The players are having fun and its been proven players perform better after the olympics
719234276_230053306683240449 x	@PTI that just proved Lochte was too cocky. #phelpsnation
719234276_230051414913720322 x	@AroundTheHorn Lovin Woody's chalkboard messages today.
719234276_229047498453442560 x	@DionLewis28. Hey man you light up the LBs and earn that second spot.
