751180730_394553703287750656 x	@Eagles @SportsRadioWIP @SiriusXMNFL
751180730_394553459825192960 x	Interception...Barkley can't be the one...
751180730_392790652972695552 x	@Goprovick sup
751180730_391750718857940992 x	#hayride
751180730_388641190385844224 x	RT @PaulAtDell: Excited to say that 3 of @PCMag's top 10 printers are @Dell. http://t.co/dpR1kkMHjU - More than any other mfg! Thanks!
751180730_379561977804124160 x	RT @AlexDzomba: Just a Philadelphia Parking Authority van parked in a "No Parking Zone" gotta love it @PPAwatch http://t.co/Et7biJuflx
751180730_374646906431209472 x	#michael martinez stinks!
751180730_354401839334174720 x	At the Philliies-Nationals game doing the Red Goes Green with famiky and friends...good times!
751180730_349705470514176000 x	RT @bryzgoalie30: I want to say thank you to all my Flyers Fans for being with us in good and not so goods times during this season! Will m?
751180730_332647778243182593 x	Enjoying St. Anselm's Carnival
751180730_320498510711623680 x	It prom night, my baby is almost there, all grown up, smart, beautiful. I hope she has a great time tonight!
751180730_318418367558074368 x	My wife drives so that I may Tweet!
751180730_318417228313796608 x	@ApprenticeNBC Donald should pay us all to watch these characters
751180730_318416916228235265 x	RT @ApprenticeNBC: RETWEET if you're watching #CelebApprentice tonight! http://t.co/FvxzmQtUXw
751180730_317385153922080768 x	RT @PCMag Dell B5460dn  http://t.co/b8SNC0TmUq Another great printer from Dell to knock the pants off of HP!
751180730_314169012437258240 x	#dual survival....another awesome show
751180730_310607199003090944 x	Hanging at St. Anselm Nite at the Races
751180730_307876401460178944 x	@SportsRadioWIP Ray Diddy is the best!
751180730_304044589512269825 x	T
751180730_301557972583198720 x	@marcorubio @jackfax why did you go for the bottle of Poland Springs? That was weird....
751180730_291608320631001089 x	RT @SportsRadioWIP: So Chip Kelly is the new Eagles coach! Rate the hire from 1-10 http://t.co/6iZ9Nyyj
751180730_290625089643360259 x	Source: Eagles interviewed Brian Billick http://t.co/mh7ELDDo
751180730_287302956771069952 x	RT @PCMag Dell C1765nfw Color Multifunction  Printer http://t.co/WgFA20cu
751180730_287302009764315136 x	Dell C1765nfw Colour MFP review http://t.co/DpHpGtxh via @itproportal
751180730_282198725223387136 x	Former NFL QB Jon Kitna finds ?gold mine? at his troubled old high school - Yahoo! Sports http://t.co/xN6NzLLE
751180730_277842644766425088 x	@MikeVick you should be watching game film or helping your replacement
751180730_269229692622622720 x	@WIPMorningShow
751180730_269229642056093697 x	RT @WIPMorningShow: Angelo Cataldi's Six Worst Athletes in Philly http://t.co/hrQeTAvj
751180730_265907931529236480 x	PA GOP: Turning Point: http://t.co/pnUPm1cK via @youtube
751180730_259436094813265920 x	@howardeskin Coach Vermiel is the best! Maybe Jeff Laurie will waive the opportunity to Coach again in his face.
