762150128_252614645381226496 x	FLY EAGLES FLY! I'm all happy!
762150128_287030874019618817 x	RT @MoveMeQuotes: ?Our health always seems much more valuable after we lose it.? ~ Unknown
762150128_293837110123851776 x	It's so cold I can barely stand the four minutes I'm outdoors every day. http://t.co/UR1It1C0 via @someecards
762150128_260383080752218112 x	Time 2 make a flower pot with poison ivy
762150128_287030629156130816 x	RT @LegendQuotes: ?Make the most of yourself, for that is all there is of you.? ~ Ralph Waldo Emerson
762150128_399730696689696768 x	iHeartRadio is always one-click away with Windows 7 and #IE10 http://t.co/HLFKBwiWoG #IEgallery
762150128_399500773207605248 x	RT @OrganicConsumer: Detox the easy, free way: Go to sleep! http://t.co/4G4KrZgUiI Sleep Is Critical for Brain Detoxification
762150128_399500512170876928 x	RT @baerbelsmile: @OrganicConsumer eye opening article, it time to stop GMO, or these companies will control the world
762150128_399499842839654401 x	RT @EllenDailyNews: No matter how strong a girl is, she still has a weak point and sometimes, all she needs is a hug.
762150128_398761430050017281 x	Listen to @ashbeckham talk about straight people coming out of their closet. (via @TEDxBoulder & @Upworthy) http://t.co/IQoqomuFVD
762150128_398762495034142720 x	@ashbeckham @TEDxBoulder @Upworthy We are all GOD Children,GOD LOVES US ALL N YES I BELEIVE THAT AS SURELY AS I KNOW MY NAME.
762150128_396635566382403584 x	Community Helps Couple Become Newlyweds - Philadelphia News, Weather and Sports from WTXF FOX 29 http://t.co/tr0ybbLxLA
762150128_392639580144283649 x	PROTECTED
762150128_394064328392843265 x	@mercola Thank u 4 your report, ,does  health insurance accept holistic doctors n if so which ones?
762150128_390057748966039552 x	@FOX29philly @Brynn9779 @selenagomez I hope your dreams comes true, GOD BLESS U!
762150128_390057494422097920 x	RT @FOX29philly: Super Mom @Brynn9779 wants her Daughter with cystic fibrosis to meet @selenagomez Friday please RT #BaileyMeetSelena http:?
762150128_390056694774243328 x	RT @KarenFox29: Help a little girl with cystic fibrosis meet @selenagomez this Friday!  Please RT #BaileyMeetSelena http://t.co/kWricKQYKF ?
762150128_378867592451989505 x	Florida Girl Was Bullied For Months Before Suicide - Philadelphia News, Weather and Sports from WTXF FOX 29 http://t.co/18sHtGSud5
762150128_370545770006450176 x	Should Congress make the minimum wage? http://t.co/9DqHxUQxLR via @thecyclemsnbc
762150128_366602309653897216 x	WWII Vet Says HOA Won't Let Him Fly US Flag - Philadelphia News, Weather and Sports from WTXF FOX 29 http://t.co/ktNZi1k31m
762150128_361827152267718657 x	RT @Hi_Philly: Possible Tornado Rips Through Camden County The National Weather Service has not decided if the funnel cloud seen in Mt. Eph?
762150128_361827044394414081 x	RT @Hi_Philly: Kidnapped 2-Year-Old With Family Tymire Smith is in good condition at CHOP after being abducted by three men and found on an?
762150128_361826861774417920 x	RT @Hi_Philly: Rabid Bat Found in Montgomery County A bat found in Gladwyne tested positive for rabies, according to the Montgomery County ?
762150128_361826387159564288 x	RT @Hi_Philly: 3 Deaths From West Nile Virus, Cases Rise The West Nile Virus claims three lives in our area. And the number of cases in the?
762150128_360787400923942912 x	Paula Deen's Cook Claims She Wasn't Treated Fairly - Philadelphia News, Weather and Sports from WTXF FOX 29 http://t.co/BnZpvkeoc5
762150128_352093483688927232 x	This Week in History: July 1 to July 5 - ABC News#2: http://t.co/oGO9qCrVCi
762150128_352092696560672769 x	Product Feature: http://t.co/hDHJ8nK3FM
762150128_340097895686606848 x	Kellogg pays for iffy Mini-Wheats claims http://t.co/OPfaOjkYke
762150128_325295825829896193 x	Boston manhunt continues after 1 suspect killed http://t.co/duy96UPSYF
762150128_318025031970091009 x	RT @StudiocanalUK: Missing Ryan already? Call #thegosline! (and see #ThePlaceBeyondthePines in cinemas April 12) http://t.co/cwBpr2SDl9
762150128_311971934143397888 x	Fly the American Flag http://t.co/eZwV4QPi5J via @po_st
762150128_295003208596742144 x	Kevin Spacey's photo  "Safari Day 1 - Holy S*** a zebra..." http://t.co/bliP17Ty
762150128_294997433853812736 x	RT @LegendQuotes: ?The future lies before you like a field of driven snow, be careful how you tread it, for every step will show.? ~ Unknown
762150128_293863654087073792 x	Family Feud? http://t.co/jA2qVpTO via @readersdigest
762150128_290349397500379136 x	Aaron Swartz, precocious programmer and Internet activist, dies at 26: http://t.co/LjwOFWnU via @NBCNews
762150128_289241606970810368 x	Update: Crane collapses in New York City, 7 injured http://t.co/6hS0xw5k
762150128_289173043174047744 x	USA TODAY ? Monopoly is getting rid of one of its iconic... http://t.co/r3XKXGlM
762150128_287706246872694784 x	Senate Swears in a Historic 20 Female Senators http://t.co/4tVWEcis
762150128_287031298000838656 x	@MoveMeQuotes When I was young health wasn't given a thought imagine that!
762150128_287030537124712449 x	RT @LegendQuotes: ?And in the end, it?s not the years in your life that count. It?s the life in your years.? ~ Abraham Lincoln
762150128_287030238662258688 x	RT @LegendQuotes: ?Only those who risk going too far can possibly find out how far one can go.? ~ T.S. Eliot
762150128_287030083116482560 x	@LegendQuotes we don't appreciate what we have till it's gone
