76463154_399230646234533888 x	Aaaaaand I'm dead. @FlywheelPhilly
76463154_398966220294459392 x	RT @HipHopMysteries: Did anybody give Sean Paul the light?
76463154_398964726073671681 x	Soo excited to try Distrito tonight!!! Date night with my mom ? @GarcesGroup
76463154_398797264144977922 x	Oh hey weekend...please don't ever leave me again #TGIF
76463154_398215034863894528 x	Dinner for breakfast? Or breakfast for dinner? This schedule officially has me beyond confused! #nocturnallife
76463154_398207624195604480 x	RT @starledger: .@GovChristie says he's 'grateful' Atlantic City mayor lost his re-election bid. Here's why: http://t.co/Mrgc3mGitm
76463154_398086361909317632 x	Disgusting!!!! ?@HPUKStudents: Students don twin towers costume complete with burning plane and victims and WIN  http://t.co/kWFv9BZGpF"
76463154_398069126998265856 x	RT @LyndaCohen: REHASH: Atlantic City mayor's race is front-page official ... @don4ac wins election http://t.co/DLrsDAnJCQ #acpress http://?
76463154_397712340042665984 x	Wrote a story today on how exercising RIGHT AFTER work leads to less stress... and here I am sitting on my couch. #fail
76463154_397710448583528450 x	RT @johnlmolinelli: http://t.co/DbSo35UeB9
76463154_397142543357734912 x	RT @akleinnn: 7!
76463154_397137416450232320 x	RT @akleinnn: 6.
76463154_397118873327382528 x	Butternut squash soup from scratch!!!! Yay #sundaycooking #proud http://t.co/mpNhXWUFUI
76463154_397108692556214273 x	Making butternut squash soup from scratch and I have to say, cutting a squash is one of the hardest things I have ever done. #sundaycooking
76463154_397110027171139584 x	@DaraChadwick ha! I looked a trick up online though!! Put it in the microwave for 3 min before you peel! That definitely helped.
76463154_397111699041685504 x	@DaraChadwick not yet!! I will tweet a pic to you when it's finished :)
76463154_396816496665849856 x	RT @akleinnn: #shipforroz
76463154_396814822961979392 x	#AMAZING #sixers http://t.co/ho2zrKhIGv
76463154_396786506612097025 x	My view right now. Let's go #Sixers!! @DanRoom @Sixers http://t.co/qjzwhxw9VC
76463154_396664072051376128 x	Still thinking of my amazing South Philly din last night!! #TreScalini on E Passyunk=deliciousness
76463154_368439376264843264 x	RT @akleinnn: I'll miss ya cholly. you deserved a better team this year. Screw you Ruben Amaro.
76463154_396327518271455232 x	RT @DKinchenFOX29: BREAKING: Multiple injuries in LAX shooting. Passengers evacuated.  Gunman in custody, @FoxNews reporting.
76463154_396320033011666945 x	RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.
76463154_395901701372534784 x	She is AMAZING ?@KyleFox29: @SheinelleFox29 = @Beyonce  @FOX29philly #HappyHalloween http://t.co/gvZ8po6CQu?
76463154_395604092074336256 x	RT @SheinelleFox29: You're invited to come to 4th and Market at 8:00 am Thursday for our Halloween show! Trust me - you should go in late t?
76463154_395600411400626176 x	RT @iPhillyChitChat: Almost to 14K followers! Please RT would love to get http://t.co/PUWeIOnjNV there before the end of the day.
76463154_395600199042990081 x	Happy birthday!! Miss you xo ?@mdmooney: Thank you all for the wonderful birthday wishes! It was a great day made all the more special"
76463154_395599904971980800 x	@DanRoom  ?@FOX29philly: Watch live stream of Allen Iverson news conference at 1:30pm. http://t.co/P0lgSnSmkq?
76463154_395599770238337024 x	RT @phillypoweryoga: @jklein414 the more you do the better it gets! @PPYogaThrive
76463154_395574947021856769 x	Two days in a row at @phillypoweryoga !!! In so much pain but it's worth it. #happyplace #yoga
76463154_395174315182006272 x	YES! Love me some Vinny Chase ?@jerrycferrara: I am proud to announce the #Entourage movie is officially a GO!"
76463154_394490496145715200 x	THE BEST "@bradzwithaZ: @jklein414 can back me up on this but I can still absolutely NAIL the Warren Prosser laugh?
76463154_392672760654462976 x	FINALLY! The #Homeland episode I have been waiting for. Season 3 is redeeming itself!!! #didntseethatcoming #goawaydana
76463154_392018360575475712 x	Embarrassed. #eagles
76463154_391900834394423296 x	RT @Eagles: GAMEDAY. #FlyEaglesFly
76463154_391314354962186240 x	Where I grew up!!! ?@FOX29philly: Police say shooting on 2300 block of Mulberry Lane in Lafayette Hill involved teens playing with guns."
76463154_391290676727799808 x	#THEBEST ?@MarioLopezExtra: About to crush cheesesteak #2 at a great neighborhood joint 'Dalessandro's.' http://t.co/9mn3bIbSeS?
76463154_391167700162338816 x	@MikeFOX29 AWWWW! Thanks Mike!!!
76463154_390921807303565312 x	RT @VisitAC: Hello Atlantic City circa 1957! #TBT | http://t.co/6JJOEG5QHt
76463154_390919958353694720 x	Story of my life. #overnights #tvnews http://t.co/4PwPqzJrhk
76463154_390860055756939264 x	RT @FOX29philly: President Obama: "Passing a budget, immigration reform, farm bill. Three things that would make a huge difference in our e?
76463154_389428475343695873 x	#betstweets hiii momma!! ?@Betsy1002: Loving London so much! Even found a place to watch our Eagles #Eagles !?
76463154_389427044423303168 x	Congrats!!!!!! ?@brianstelter: First, the proposal. Second, the call to @JamieShupak's mom: http://t.co/i1AulF8Mqo?
76463154_389426756614356992 x	Reallyyyy don't want this weekend to end :(
76463154_386898855314591745 x	LETS GO BIRDS
76463154_386575602331172865 x	LOVING this weather #indiansummer #beach #margate #happy
76463154_386530510690086912 x	#checkit !! 4 mile run down the hot and humid shore http://t.co/Ba2vvr8TKd
76463154_385835383046828032 x	RT @nytimes: Breaking News: U.S. Capitol Is Locked Down After Reports of Gunfire http://t.co/eqDfdEsmLj
76463154_385779502171029504 x	RT @LyndaCohen: ACPD use of force adequate,@CNN expert says: "All they wanted to do was get this kid under control and handcuff him" http:/?
76463154_385072041885704192 x	This is awesome: http://t.co/rhB7dxID4s
76463154_385025699431874560 x	RT @Ashley_Boland: If anyone can have it, I don't want it.
76463154_384497738962182144 x	Ok- going to work on zero sleep. I tried, I really did!! #wishmeluck
76463154_384473731445555200 x	3 hours until I need to be at work and I still haven't slept. #thisisbad #sundaysarebrutal ?
76463154_383833846485381120 x	RT @DanRoom: @HeliumComedy I'd pay double to watch the first two comedians tonight than to witness Chris kattan doing standup again.
76463154_383606650160304128 x	RT @FOX29philly: Thank you for all of your support today for #Fox29SalutestheMilitary !!!! http://t.co/R2OZ4emm1P
76463154_383606517653843968 x	RT @JennFredFOX29: Freedom does not get old. THESE GUYS are WWII vets .. and total flirts #salute fox29philly #thankyou http://t.co/2Cd84aZ?
76463154_383550691576668160 x	RT @SueSerioFox29: The Valley Forge Military Academy Band. Trust me. They sound fabulous, as we salute the Military this? http://t.co/NuDZX?
76463154_383319505566703616 x	RT @styleprdiva: @jklein414 @FOX29philly we are looking forward to being there and apart of tomorrow @FatJacksbbqblvd  #SalutetheTroops
76463154_383301171559297024 x	Come to 4th and Market from 7-10am tomorrow!!! @FOX29philly salutes the troops. Gonna be a great time and great show! #nopressure
76463154_383319249538011137 x	We got this!!! ?@TLouden3: @jklein414 you will own it as long as the guy in your ear doesn't mess it up #nopressure?
76463154_383300418094505984 x	Coloring my hair for the first time. Big changes on the way tomorrow. #ahhhhh ??
76463154_383301427126628352 x	Lighter!!!! #nervous ?@KyleFox29: @jklein414 Darker??
76463154_382525447214358528 x	I am officially funding the PPA. #yetanotherparkingticket ??? http://t.co/EnBuYYvviH
