797309563_381001957571584000 x	RT @FlyersNation: Let's go #Flyers.
797309563_392069223700520960 x	RT @MurthaKnapp: @6abcadamjoseph Today is 1 year since #AutumnPasquale was taken from her friends and family. RT to show support <3  https:?
797309563_389810327468388352 x	RT @FuckFeeIings: Don't apologize, and then do it again.
797309563_387020132146757632 x	RT @SomePillowTalk: Friday - High school football ??. .. Saturday - College football ??. .. Sunday - NFL ?? Retweet if you love this time o?
797309563_385891483695718400 x	RT @SomePillowTalk: Respect is earned, Honesty is appreciated, Love is gained and Loyalty is returned
797309563_380151780807409664 x	RT @TheEllenShow: On September 26th, help the millions of pets in shelters who need our help. Shine a #LightForPets http://t.co/TvUiixcj1y
797309563_378545666009862144 x	RT @LoveQuotes: It's hard to trust people these days.
797309563_376015647404466176 x	RT @HornyFacts: Don't fuck with someone's relationship just because you can't get one.
797309563_375672803389083648 x	What Brotherly Love truly means http://t.co/3EmYkLoeVf
797309563_374385436934037504 x	RT @SomePillowTalk: I'm ready for hoodie weather.....
797309563_373440083187486720 x	"@CauseWereSexual: If distance didn't exist we'd probably be fucking right now."..... HMM Interesting
797309563_373421521093808128 x	RT @reIationships: Cheating isn't always kissing, touching, or flirting. If you gotta delete text messages so your partner won't seem em, y?
797309563_335749719588495362 x	I see we are playing games again!!
797309563_327249691769176064 x	RT @shemarmoore: Look in the mirror... SMILE!!! And then say to yourself, "Good Gaaawwwwd Today is gonna be a good day? http://t.co/O5sddCL?
797309563_323996463019487232 x	RT @BradPaisley: Could there be anything more cowardly than planting a bomb in a public place and running away?These terrorists are the  ...
797309563_317330471283478528 x	RT @SorryNotSoorry: Perfect. http://t.co/I8hTkjuOp1
797309563_311293795482353664 x	RT @Relationship: Don't bother lying to a girl, they find out everything.
797309563_311292971578425344 x	RT @Relationship: Never lie to someone that trusts you. Never trust someone that lied to you.
