809753486_366175881376432129 x	@itskelvinjay how has it been hacked
809753486_398895620423172096 x	@RealGlenMacnow @hi5me12 I also Vote yes then we should send him to space with lady gaga
809753486_398895333184655360 x	RT @JSalisburyCSN: Phillies offseason targets: Stanton, Trumbo http://t.co/2VFQBMZ7V3 #PhilliesTalk
809753486_398868660137525249 x	@SpikeEskin Tony Wroten, Tony Wroten. Tony Wroten. #SixersTix
809753486_398635649085243392 x	Barry Sanders son a player to watch
809753486_398635428276092928 x	@Ike58Reese how obvious is tho when they take out Morris on goal line and put in hulio that it's gonna be a pass
809753486_398630758690353152 x	@BenRevere9 Ben how's the off the offseason treating you question is coming from a contributor for http://t.co/W7vgxHNF6y Philly sports
809753486_398630407467728896 x	Benard Hopkins is a complete nut I just saw the interview where he talks about how he is an alien he is crazy #phillyboxing
809753486_398626932000325633 x	Shanahan is such a bad coach I could of called that pass play once they took Morris out
809753486_398588983996731392 x	RT @EaglesCommunity: 1 in 8 Pennsylvanians do not know where their next meal is coming from.   Help the #Eagles tackle hunger today: http:/?
809753486_398573699605213184 x	RT @RoobCSN: Are the Eagles finally drafting better? @GeoffMosherCSN looks at the last 2 drafts after the 2010 & 2011 disasters: http://t.c?
809753486_398170485051363328 x	RT @JSalisburyCSN: Good news, bad news for 2 Phillies prospects http://t.co/ZCmVDnqOuR #PhilliesTalk
809753486_398170398573232129 x	RT @sbaickerCSN: Good news, after 2-day hospital stay RT @NHLFlyers "[Downie] continues to show improvement. He skated today & will again t?
809753486_398170288858628096 x	RT @SpikeEskin: Winners for #sixershaiku were @stillsweepin and @ccapelli24. More tickets for Cavs game Friday. On sale @ http://t.co/NbhQg?
809753486_398169781997932544 x	@KacieFOX29 followers to follow me I write really good sports articles and it would be a great help I would greatly appreciate  it
809753486_398169607305170944 x	@KacieFOX29 Kacie also Mike helped me out with this think you can to I write for http://t.co/W7vgxHNF6y think you can follow me and ask your
809753486_398168652312498176 x	@KacieFOX29 Hey Kacie great job doing what your doing as I told mike I watch you guys every morning makes my day start well keep it up
809753486_398168251882287104 x	RT @MikeFOX29: @BennyFrank76 follow him. Good sports info at http://t.co/CYoEW0fPft.
809753486_398168184668577792 x	@MikeFOX29 thanks Mike your a great guy and #bestnewsanchorinphiladelphia
809753486_398166497576894464 x	@MikeFOX29 would be great if they like sports I keep them updated out out good pieces run contest for sports tickets so I would be thankful
809753486_398166165941657600 x	@MikeFOX29 If you don't mind I am trying to really make it in this sports writing world if you could ask your followers to follow me
809753486_398165875624521728 x	@MikeFOX29 thanks mike appreciate it I watch you every morning you make my day start good everyday glad we have you in Philly
809753486_398163559584378880 x	@MikeFOX29 hey mike can you follow me and also possibly help me get followers I write for Garry Cobb and http://t.co/ZdweanOf6v thanks
809753486_398162805050060800 x	Who wants to enter in my first annual Philly Sports contest will be set up like NCAA brackets and winner gets choice of any Philly team tix
809753486_398162805045874688 x	If you want to be entered please RT and message tweet me it will be fun and the winner will also get a article written about them
809753486_398160326816202752 x	Feeling so blessed to be given an opportunity of a lifetime today been trying for 7 years to get this job just proves hard work pays
809753486_397811694014971904 x	@SpikeEskin Did you stop following me I am not a parody, during that time I had a real rough couple months please follow me again
809753486_397748055258058754 x	@CrossingBroad Hey Kyle I do some writing for Garry Cobb but had a question for you so can you follow me so I can DM you
809753486_397747799321608192 x	The first ever BennyFrank Sports trivia contest we are going to break it into brackets like NCAA winner will get Pair of sixers tix
809753486_397747523604852736 x	In getting in the contest RT this and tweet @me so I can enter you for the contest also sixers tickets are on the table going to holding
809753486_397747297351528448 x	Ok followers I have two pair of Reading Royals Hockey Tickets to give away so I am going to be holding a contest if you are interested
809753486_397747106925912064 x	Amazing interview with Tyliek Raynor Sophomore Sensation top ranked HS football player in the state look for the article in football stories
809753486_397715533539606528 x	@marczumoff Hey mark not sure if you remember me we talked a while back but can you follow me I would like to DM you cause I have a question
809753486_397715213744873472 x	Good Morning world hope everyone has a great day but I need more interaction from my followers so let's interact I have tickets to give away
809753486_397485471346855936 x	Thank You @usmcamputee0331 you are officially in the running for a pair of 76'ers tickets all my followers RT for me so you can get in to
809753486_397472338616147968 x	Interview with top HS running back in the state 2night Tyliek Raynor whoever gives the best question to ask will win sixers tickets SO RT
809753486_397426758330638337 x	Person who RT this & gives me best question to ask Tyliek Raynor top rank running back in state will be in the running for a pair of Sixers
809753486_397426459062861824 x	Interview with top ranked running back in the state Tyliek Raynor tonight for football stories the magazine
809753486_397424847799980032 x	Person who gives me the best question to ask top rank running back Tyliek Raynor will be put in the running for a pair of Sixers tickets
809753486_397424585467256832 x	Interview tonight with top rank running back in the state tonight for Football Stories the magazine with Tyliek Raynor
809753486_397261748605943808 x	I am holding a contest to win a pair of Reading Royals Hockey  Silver Zone Tickets RT this and tweet at me to enter http://t.co/vZtnzUWQ0e
809753486_397237730838454274 x	Who of my followers are up
809753486_397043394545201152 x	To all my followers please follow @thompsonIII with http://t.co/Xpo4KXbW1f
809753486_397043068001869824 x	Who is ready for the eagles game today in the black hole... I will be holding a contest winner will get a pair of reading royal hockey tixx
809753486_397042884702380032 x	RT @aryeabraham1: BREAKING: Kobe Bryant today @ Bill Sharman's funeral said, "I'll be on the court in a couple weeks. Bet on that." http://?
809753486_396796089292304384 x	@gaither_jessica thanks for the retweet please keep them coming
809753486_396794432177340417 x	RT @dlynamCSN: #SixersTalk Sixers averaging 111 points first two games? I don't think they reach century mark tonight. 50-33 Bulls @ 6:20 m?
809753486_396792258529591296 x	Sixers getting out hustled right now defense needs to step up
809753486_396791889774800896 x	@BobCooney76 thanks Bob
809753486_396787778748694528 x	RT @usmcamputee0331: College football all day. PSU OT win #2 this season. Waiting on FSU vs The U
809753486_396786926243835905 x	MCW with another steal this kid is a steal machine
809753486_396786781540323328 x	RT @Ike58Reese: I seriously have NO idea what to do during a Sixers game, be happy or mad! #WinlessForWiggins
809753486_396786662183010305 x	@Ike58Reese as much as I want wiggans I think win this team could be good they show promise and like the back court with MCW and ET
809753486_396785925591941120 x	@BobCooney76 I write on http://t.co/W7vgxHNF6y would you mind following me would greatly appreciate it. #SixersTalk
809753486_396786317885210624 x	@Ike58Reese big fan of yours & I write on http://t.co/W7vgxHNF6y would you mind following me would greatly appreciate it. #SixersTalk
809753486_396785691113562112 x	RT @BobCooney76: Spencer Hawes should NEVER dribble the ball more than two times. If he does - trouble.
809753486_396785680296468480 x	RT @EaglesInsider: As the #Eagles arrive in California, @davespadaro looks at Nick Foles, who will once again be in the spotlight: http://t?
809753486_396785606334115840 x	Evan Turner on the board leads the Sixers in scoring trough first two games #SixersTalk
