815026_393092316342149121 x	Running Parallels and my MBP says it will take 12 hours to recharge
815026_392657737923842048 x	@mikehenke "Pluggable Framework" looks interesting
815026_392661172991705089 x	@mikehenke @rakshithn Yeah, not sure if that's the "modular" aspect of the server parts or an application framework
815026_392334687697268736 x	@seancorfield @bdw429s Perhaps they can't be submitted to a public space until after announcements that may or may not occur in a few days?
815026_392334796698828801 x	@seancorfield @bdw429s And that's pure speculation on my part
815026_392292005071446016 x	Opening up SQL Developer and Eclipse. Bye bye battery life
815026_390155177606406144 x	@AdamTuttle Shhh. Don't poke Mother Nature like that
815026_390149886953279488 x	@ekapus Check bumper, we got hit at like 5mph and one of the plastic bumper braces broke.
815026_387570060597788672 x	Crap, previous version listed in Homebrew for SVN returns a 404, now what?
815026_387571429618642945 x	Guess I just have to find it the package online and download manually
815026_387559129935392768 x	@thecrumb @styggiti @AdamTuttle Yep, I know our firewall blocks it and have friends who have the same issue with their firewalls
815026_387291376099946496 x	@henrylearn2rock Uset @cf_taffy for the REST API, makes it very easy
815026_387371293357531136 x	@henrylearn2rock  Yes, did a full app in Angular, backend was by CF w/Taffy and then ported it to PhoneGap for both web and mobile app
815026_387277412712476672 x	@sbaickerCSN He should insist on a NMC
815026_387275201936752640 x	I just had to cancel registration for an event. They still charged me $10 for the name tag since it was printed, seems kinda high for that
815026_387236089573806080 x	RT @sahilkapur: The shutdown & debt limit fights are about whether a losing party can set policy by threatening economic sabotage. Everythi?
815026_387220094213840897 x	@DarrenDreger @DNFlyers He was in charge of the D and special teams, right?
815026_387218206701527040 x	@RobGcf I've been debating getting an iPhone or the Note, how long have you had the Note for?
815026_387214867540611072 x	@sbaickerCSN I would've given him until Thanksgiving. Seems like a panic move unless there is someone else available we don't know about
815026_385556751044857856 x	The Red Wings move to the Eastern Conference just to play their first home game at 8? That makes sense
815026_384683754729385984 x	@muracms For those of us that couldn't make it are any of these sessions being recorded?
815026_383658329374855168 x	@coldfumonkeh I use it for almost all my front-end/PhoneGap stuff. Waiting a little bit more before jumping over for CF as well
815026_382956354484178944 x	@dacCfml @RobGcf can't you make it an associative array in the javascript and submit that through the AJAX call so you have an array in CF?
815026_382957512174993408 x	@dacCfml @RobGcf check out this SO question: http://t.co/pinwiIrzzh
815026_382559329091469312 x	@BigMadKev @reboog711 You could always do multi-server on developer edition
815026_382559768008605697 x	@reboog711 @BigMadKev Correct. I was replying to the assertion you couldn't do multi-server in developer in previous editions
815026_382560390661431296 x	@reboog711 @BigMadKev I probably did. I do know that feature has confused us in our setup for 10 as we are running multi-server
815026_382150301370695680 x	My ride home from #ncdevcon http://t.co/I6Jy6hM6Gd
815026_382129534306250752 x	@steinbring Have a safe trip back
815026_381928579296395264 x	@dskaggs @sharondio Thanks to both of you for your preso and demo. Really looking forward to getting into #angularjs more #ncdevcon
815026_381922931204308992 x	Thanks @DanWilson and @thecrumb and all volunteers for another great #ncdevcon. Can't wait for next year!
815026_381545775454781440 x	@cfwhisperer do you need a ride back? @HHWDbuzz and us are going back now
815026_381745122633056256 x	@cfwhisperer @HHWDbuzz we're alrady downstairs eating but not in a hurry to get over there right now
815026_381739399131955200 x	@sharondio I had the same thought #ncdevcon
815026_381407806550573056 x	The ColdFusion and Mobile slide makes me happy.  #ncdevcon http://t.co/p0AwnzAuYO
