872456683_390934054255595520 x	Puck the Fenguins
872456683_395767436982902784 x	RT @MagicJohnson: Michael Carter-Williams put up 22 pts, 7 rebs, 12 ast and 9stl tonight in the win over the Heat.
872456683_395767407782154240 x	RT @MagicJohnson: I just got done watching the guy I think will be the Rookie of The Year, Michael Carter-Williams of the 76ers.
872456683_395736002142015488 x	I cannot wait for Philly this weekend!!
872456683_395729065476239361 x	@GurlzB_OnTCon did you watch it dude? It was awesome!
872456683_395729532289691648 x	@GurlzB_OnTCon that sucks man haha It was ridiculous dude
872456683_395731042859884544 x	@GurlzB_OnTCon it got me so hyped to for the game against the Bulls on Saturday because Ill be there!
872456683_395731302151761921 x	@GurlzB_OnTCon Ive been waiting forever man
872456683_395724307118051328 x	@yourboyleel yeah dude, he had a MONSTER game!
872456683_395729353822060544 x	@YourboyLeel I hope he does it again on Saturday cause Ill be at the game! But dude that was legit
872456683_395729100213846016 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
872456683_395726080989880320 x	I dont care if we lose the rest of the games this year... We just beat the world champs!!
872456683_395725861074534400 x	RT @nbastats: Near quadruple double! @MCW1 ties @Sixers franchise record & sets @NBA rookie debut record w/ 9 stls to go w/ 22pts, 12asts, ?
872456683_395725505984356352 x	@MollyESullivan we lost our previous best PG in AI but im pretty sure we just gained AI Jr in MCW!!
872456683_395725235418566656 x	RT @RealSkipBayless: LeBron (without DWade) leaves clutch gene in Miami, stinks up 4th q, allows Michael C-W led Sixers to roar from behind?
872456683_395724985849085953 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
872456683_395724960158994432 x	RT @NBA: What a debut for Michael Carter Williams. Simply amazing! 22 points, 9 rebounds, 12 assists & 9 steals. The @Sixers upset the Heat?
872456683_395724940944891905 x	RT @BobbyWildasin: Just like I said Michael Carter Williams is the real deal! #HellYeaSixers #Upset
872456683_395724835932110848 x	RT @JasonRomano: Well done Michael Carter-Williams. Well done indeed.
872456683_395724796203663360 x	RT @WindhorstESPN: Sixers beat Heat in a remarkable opener upset, 114-110. Heat's first loss to Philly in regular season since 2008-09 seas?
872456683_395724670131245056 x	RT @Sixers: #Sixers WIN! 114-110 the final at @WellsFargoCtr. @MCW1 finishes w/ 22 PTS, 12 AST, 9 STL, 7 REB. #TogetherWeBuild #BeatTheHeat
872456683_395724116788920321 x	Thats whats up! The Sixers just beat the Heat!! #SixerNation
872456683_395722819100626944 x	MCW has 20 pts, 12 ast, 9 steals, 7 boards in his rookie debut!!
872456683_395722132979609600 x	LETS GOOOOOOOO #SixerNation
872456683_395721764459663360 x	If the Sixers beat the Heat I will be soooooo happy!!!!
872456683_395714457844068352 x	RT @johnschuhmann: MCW approaching a triple-double in his first career game. 19 points, 9 assists & 7 steals w/ 4:00 to go in the 3rd.
872456683_395711277667872768 x	I miss hearing @marczumoff call the bench players the "Night shift" but I always like it when he says "Turning garbage into gold"
872456683_395704776199245825 x	RT @Sixers: Statistical leaders: @thekidet has 11 PTS (5/10 FG); @spencerhawes00 has 8 PTS, 6 REB; @MCW1 has 11 PTS, 7 AST, 6 STL, 0 TO.
872456683_395693547745452033 x	RT @NBA: The @Sixers have come out red-hot, hitting their first 7 shots of the game against the defending champs. They lead 19-0 on #NBALea?
872456683_395692171421945856 x	Sixers are on fire right now!! LETS GOOOOO #SixerNation
872456683_395690979703144449 x	RT @Sixers: .@thekidet slams OVER @KingJames and @MCW1 nails a three ball on the next possession! #Sixers lead 9-0, 10:04 in Q1. Timeout He?
872456683_395660086137593856 x	RT @byubasketball: Good luck to @0brandondavies and the @sixers as they take on the @miamiheat tonight in their season? http://t.co/Lg0Eieo?
872456683_395657846471544832 x	RT @1000sFollowrs60: 1. RETWEET THIS ? 2. FOLLOW EVERYONE WHO RETWEETS ? #FollowPyramid ?  7
872456683_395650543181627392 x	"Allen Iverson was listed at 6'0", 165 lbs, but he retires a GIANT of the game. http://t.co/ncbVgFPMlf? best thing @KingJames has ever said
872456683_395649647378980864 x	Allen Iverson was and always will be my favorite @Sixers to play the game! #TheAnswer http://t.co/AWSYgkTGVK
872456683_395375301628555264 x	@ShtPhilyFansSay greatest night of my life! Pretty sure I went into shock and couldn't believe it!
