931708220_399695567170715648 x	RT @KirstyTV: The greatest failure is the failure to try. -William Arthur Ward? #quote
931708220_400082841402228736 x	@ProducerMarcy Thank you for following me back.
931708220_400082530004905984 x	RT @GovWalker: Nice story about our stop in Green Bay: http://t.co/VWv4DA9BMu
931708220_400045408350523392 x	RT @Suntimes: Weather update: Snow should move out of Chicago by 7 p.m., but falling temps could make for slick roads http://t.co/AOYV5s9mXG
931708220_400039528921985024 x	RT @BuzzFeedAndrew: The real 60 Minutes scandal, it's actually closer to 43 minutes when you add the commercials in.
931708220_400039087735726080 x	RT @GLewisWXYZ: Thank you to all who have served our great country! #Backchannel #wxyz
931708220_399934402941050880 x	@GLewisWXYZ Thank you for following me back.
931708220_399911617732685824 x	RT @RepMikeMcIntyre: Today we honor and remember all the men and women who have served in our Armed Services. #Army #Navy #Marines #USCG #A?
931708220_399911567778537475 x	RT @DaveFox5DC: Medal of Honor stamp unveiling ceremony at the World War II Memorial http://t.co/vcr6t8K3mx
931708220_399911293735297025 x	RT @ureport: Happy #VeteransDay. Thank you to those who have served to protect our country, both past and present. http://t.co/bSVTKjtcOT
931708220_399911139686887424 x	RT @VAVetBenefits: Vietnam Veterans Memorial #HonoringVets http://t.co/R5ipxnfNhN
931708220_399910858727247874 x	RT @KHONnews: Veterans Day is a city, state, and federal holiday. Here's what's open and closed: http://t.co/Zf5CmrKhv4
931708220_399909760742350848 x	RT @stephenclark: See I told you. @mitchalbom #backchannel http://t.co/Gmg4XctjXJ
931708220_399909654760665088 x	RT @victorjfaust: Yep! :) RT @AndreaMahalak: @victorjfaust #earlyrisers WHOOP WHOOP!! Awesome sound!
931708220_399909168888311808 x	RT @CyG_trees: http://t.co/SPowYlHz6h
931708220_399908967045791744 x	RT @NolteNC: Actually, it's in the home. MT @NickKristof  best model for pre-k in America is in Oklahoma: http://t.co/opbRqOauHm  http://t.?
931708220_399908769334689792 x	RT @USATODAY: A falling satellite has caused no known damage after re-entering Earth's atmosphere: http://t.co/gQHTdEwB9p (via @AP) http://?
931708220_399908720622059520 x	RT @FriendWCBSWLNY: CBS2/WLNY News salute our servicemen and servicewomen on Veterans Day #honor #glory #bravery #freedom @CBSNewYork
931708220_399908513071108096 x	RT @prweb: Good morning and happy Veterans Day!
931708220_399908460587798528 x	RT @OhMyGOFF: yes yes yes 'Downton Abbey' gonna be back for 5th season: http://t.co/WTYPFkd8CW via @THR
931708220_399908367847550977 x	RT @TODAYshow: Good morning! RT @LovelyLocLady: Now I don't need coffee this morning. @NickCannon's suit woke me right up! Thanks!
931708220_399908153975775232 x	RT @Snoopy: Mondays. http://t.co/HW1a05tIFh
931708220_399906567887126528 x	RT @myfoxla: Comics lovers will be drawn to Ohio museum http://t.co/NLVwPIrbTg
931708220_399906522035019776 x	RT @myfoxla: #LAWeather: Meteorologist @RickatFOX's #forecast http://t.co/j4eaInWWaQ
931708220_399906268594200576 x	RT @WFP: Here's a glimpse of the devastation that stands between us and survivors of Typhoon #Haiyan. #HelpIsOnTheWay http://t.co/E56ycBieyM
931708220_399906209026686976 x	RT @MyFoxNY: Man kills 3 bandmates, himself: Police say a man firing a rifle shot three people to death at a Brooklyn row h... http://t.co/?
931708220_399905938091433984 x	@WISCTV_News3 Snow!!!
931708220_399905877047533568 x	RT @WISCTV_News3: Snow could stick to the ground in some areas of southern Wisconsin on Monday. #News3 http://t.co/4t7XTmlTkP
931708220_399905703432683520 x	RT @GoogleEarthPics: Infinite Pool, Hotel Marina Bay Sands, Singapore #EarthPics http://t.co/3rMyT6YV2c
931708220_399886864762433537 x	#Interview coming on #November 13th, @Hannah_77812 and @Ladyselah at @storytellersrs about my #ebook #Check http://t.co/YCfKUPdWxh @prweb
931708220_399885347393261568 x	RT @MetMikeWCVB: Thank you to all who served on this #VeteransDay. We all owe you so much.
931708220_399820650828660736 x	@victorjfaust Thank you for following me back on twitter.
931708220_399742928865595392 x	RT @amhistorymuseum: Sunny day, sweepin' the clouds away. Today in 1969: Sesame Street debuts. Our Kermit the Frog: http://t.co/BEXfxkDOTq
931708220_399741594758160384 x	@stephenclark Thank you for following me back.
931708220_399724145786617856 x	@tram_mai Looks good!!  Apple pie, my favorite!
931708220_399723486400114688 x	Arctic Circle.  #Rovaniemi, #Lapland, #Finland #Autumn = #snow, snow, snow, snow, snow! http://t.co/bX9tnS96be
931708220_399721872117338112 x	Pictures http://t.co/H6PaTvuxba
931708220_399719450166829056 x	New eBook Shares the Remarkable Talent of a Japanese Craftsman Working to Preserve Japanese Culture http://t.co/YCfKUPdWxh @PRWeb
931708220_399698192045842432 x	@amanduhill Thank you for following me on twitter.
931708220_399695787891781633 x	RT @tram_mai: My 1st homemade apple pie using my mother-in-law's crust recipe- I need more practice but can't wait to eat! http://t.co/nvzC?
