94004689_393181414931595265 x	Carlos Beltran is a monster #ROBBED #HOFer
94004689_396683931363586048 x	@ChrisEmery02 THEY JUST DON'T FUCKING GET IT
94004689_396088598162071552 x	@ChrisEmery02 hahahaha WTF
94004689_396050721461653504 x	RT @qdatypeofnigga: Q da type of nigga that bought gta5 just so he could get a taxi cab and drive people around
94004689_395772843868585984 x	RT @daboulcliff: Man fuck Boston
94004689_395728810198716416 x	RT @Bob_Phillies: My reaction to seeing the Sixers bench this season http://t.co/0p6V1hOfel
94004689_395728545147670528 x	sixers cant even lose right. this is #winlessforwiggins dammit. who told them otherwise?
94004689_395604029767548928 x	time to dangle at slyvania
94004689_395374242679640064 x	@Maddyproc if youre on crazy drugs haha
94004689_395371601958416384 x	can't wait for another season of spence http://t.co/e9KN6b3HbX
94004689_395276273146400768 x	RT @MeekMillRapLike: WHY DJ KHALED ALWAYS LOOK LIKE HE FORGOT SOMETHING AT HOME ? http://t.co/kg56QZ93ET
94004689_395270499213012992 x	RT @Things4WhitePpl: Asking people how they cracked their iPhone
94004689_394936315965624320 x	"@NBCPhiladelphia: Woman likely set herself on fire: http://t.co/C6atv6aSxv" that's hot
94004689_394860185002721280 x	RT @fakecoatesy: Hey Kansas City, it's all fun and games until Andy starts drafting skiers and firemen. #EnjoyItWhileItLasts
94004689_394829043159564288 x	I need to learn not to blow all the money in my wallet betting on pong games while highly intoxicated
94004689_394542929785913344 x	I can't take the eagles QB carousel of doom
94004689_394540158949027841 x	This game is as sad as it gets
94004689_393842459010420736 x	RT @Drudge_Siren: Police seek driver who drove car down Philly Art Museum steps made famous by 'Rocky'... http://t.co/CG4EHl4jNx
94004689_393833621225615360 x	its only appropriate that we have the world series of baseball during the world series of baseball
94004689_393552101034688513 x	Finally a win
94004689_393524030118301696 x	@EthanJaffe10 are you there you son of a bitch
94004689_393453377906282496 x	#tbt when I was a northeast goon this summer #supwitchuCUZ http://t.co/3FQ5lMgdK1
94004689_393065885562601472 x	RT @totalfratmove: Acting like you're doing everyone a huge favor by fixing a situation that was entirely your fault. #TFM
94004689_392833511897321472 x	@callmedoctorkev @ChrisEmery02 if you aint about it then suit yourself cheif
94004689_392850187464355840 x	@ChrisEmery02 @callmedoctorkev when i can grow a beard i will
