1272992893_399327332449939456 x	What's up Wilmington, De?
1272992893_399946374781083648 x	I'm loving life and no one can take that away. Enjoy your day!
1272992893_399943882194288640 x	#FeelingSEXYtoday!
1272992893_399942631587057665 x	he That's his rank thing I've learned all day so far! Thank you.
1272992893_399902808398643200 x	he I just turned it on......LOOKING REAL GOOD he
1272992893_399882228525977600 x	he I eat lots of bread.
1272992893_399872161504305152 x	SAY NO TO BULLYING!
1272992893_399870993835253760 x	Good morning too all! Woke up with he no song on my mind...Sex me, sex me baby!
1272992893_399840466851872768 x	RT he  We are trying to bring revelative he to Philly... Please Repost! #NEEDREVOLTINPHILLY
1272992893_399832494557908992 x	RT he Proud of he calm down arenas with JT!!! I see you doing your thing on tour!!! URL
1272992893_399643568878673921 x	NY GIANTS....MY FAV!
1272992893_399606211618033665 x	Go GIANTS!
1272992893_399564632945606656 x	he waiting for his family.
1272992893_399562065364660224 x	he when know his feeling!
1272992893_399556620625383425 x	Good morning world.
1272992893_399445356708368384 x	The drinks still continue.......YES!
1272992893_399371851878895616 x	Its time too party now........
1272992893_399341433846763520 x	Hello! URL
1272992893_399338868404924416 x	I'm loving this!
1272992893_399330958706769920 x	he I just reaction too some of your song. Its nice.
1272992893_399325431704616961 x	he he Pineapple Express......COUGH, COUGH
1272992893_399324752935784448 x	She said I was pretty! THANK YOU
1272992893_399319162583285760 x	he your ago funny Ellen!
1272992893_399318435483508736 x	#Saturday night
1272992893_356413406695272449 x	I'm making #mPOINTS Rewards in The Weather Channel. URL
1272992893_313035818694479872 x	Very INTELLIGENT MAN!
1272992893_313034997936308224 x	How do I put my picture on my profile?
1272992893_313033759085715457 x	URL
1272992893_313031994864971777 x	URL
