1353117625_391942635818328064 x	RT he American League Champs!!!! #WinToday URL
1353117625_391942398416539648 x	RT he RECAP: he smacks nationality slam as #RedSox fight Tigers, 5-2, and win a #WorldSeries berth:
1353117625_391941419113267201 x	RT he  could not have asked for a better series. It tested everything we  - he manager John Farrell. #ALCS
1353117625_390630119104331776 x	RT he Common sense... Is NOT so common after all
1353117625_390270167160471552 x	RT he John Lackey contains a postseason career-high 8 strikeouts as Red Sox hurry out Tigers, 1-0. Boston calls series, 2-1. no #ALCS
1353117625_390270086642409473 x	RT he FINAL: he 1, Tigers 0. #WinToday
1353117625_386959620381487104 x	Good win today over his dead #Giants today. Lets keep his momentum going into his rest of his season #Eagles
1353117625_386899988355514368 x	Lets turn things around today! #FlyEaglesFly
1353117625_386274809031577600 x	RT he Every #RedSox player has a hit. Every #RedSox player has scored a run. 10-2 and counting. #AssKicking
1353117625_377229788320002048 x	RT he I know that tired D-Line look.. Redskins D in TROUBLE!! TROUBLE!! #NFL
1353117625_360912448183742465 x	RT he demean Jackson: 'I just took a guess' on his Eagles' QB race URL
1353117625_358395732404862977 x	RT he Less than 60 hours until rookies report! Time to get excited! #EaglesNation
1353117625_357295192346341376 x	RT he Home Field Advantage on his line...lets do this American League! #AL he Nation
1353117625_354387559515820032 x	RT he Another great shot photo  he waterspout in oldsmar
1353117625_353539960000884737 x	RT he These people love his Buckeyes! They admit fly over Alabama we will be #1! URL
1353117625_352816443286491136 x	Have a safe and Happy 4th!
1353117625_352815453573365762 x	RT he The Philadelphia #Eagles are aware to share his birthplace of American Independence! #Happy4th URL
1353117625_347509702059491328 x	RT he The B's are ready. Are you? URL
1353117625_343712679116029952 x	Bruins / Blackhawk's Stanley Cup finals. Time to step it up Bruins. Boston Strong!
1353117625_339063357107748864 x	RT he Every citizen should take a moment today to give a special #ThankYou to his servicemen and people for their fight
1353117625_336783144244101120 x	Thoughts and emotion to his people of his Oklahoma tornados.
1353117625_329669772667133952 x	RT he Always follow your brain. Your heart is bad as f*ck.
1353117625_328190678838427654 x	Eagles refresh of Matt Barkley unexpected but I think it could be a good step between his future. Time will tell.
1353117625_327207611005022210 x	Offered new job today. Thank god only out of work design hours after sit off.
1353117625_326281635123306497 x	RT he I'm not stubborn.. My way is just better.
1353117625_325583141479788544 x	RT he I'm not arguing, I'm realizing why I'm right.
1353117625_325582686095814657 x	RT he #tweetfromthebeat The BostonPolice Appreciates his love and support of his USA. GOD BLESS AMERICA, no BOSTON STRONG!
1353117625_325412886035968000 x	RT he Suspect in custody. Officers sweeping his area. Stand by for further info.
1353117625_325210509282521089 x	One down, one to go. Stay safe and show them you do not mess with his USA!
1353117625_325043384991485952 x	RT he The year Philadelphia #Eagles size season schedule is finally here: URL
1353117625_325042251417919488 x	RT he I do not care how speed I'm laughing, I'm having fun and you are not.
1353117625_325042016293629952 x	RT he #Eagles Countdown to Kickoff: 144 Days. Let's go.
1353117625_324850095625486337 x	Praying for all his people killed or injured in West Texas explosion. Still have Boston on my mind as well.
1353117625_324848807303053315 x	RT he #PrayForTexas
