1380154610_392860737972236288 x	he Go Birds!
1380154610_394985726116634625 x	he Seattle D time! #Fantasy
1380154610_395079509529341952 x	he A Star from you makes me mushy inside!
1380154610_399708308732653568 x	he A perfect Sunday? Huge Eagles win hanging with Boys loss! #Saints
1380154610_400059473685147648 x	#Sixers getting schooled! Damn Spurs!
1380154610_400057546519875584 x	he #Lost ?
1380154610_400059114023567360 x	he Yeah! Scary part is I know what it meant! no Miss that show!
1380154610_400047223633113088 x	#AddBoobsToTvTitles no The Biggest Loser Boobs
1380154610_400045352726040576 x	RT he Who will win his NFC East? RT:Eagles Fav:Cowboys Quote this tweet: Redskins @ me: Giants
1380154610_399959645902884864 x	he he he he Batting order at CBP? McCann be a great fight for his Phils.
1380154610_399968224231849985 x	he he he he Just send a dose of Giancarlo Stanton and Boom! Power back! #HotStove
1380154610_399969489372327936 x	he he he he That is why I think RAJ has to make a splash! No more job security!
1380154610_399968654806515712 x	RT he Cowboys will be without Sean Lee 3-4 hours URL
1380154610_399967933029695488 x	RT he Jason Peters, Mychal Kendricks and Earl Wolff all trust to play this Sunday. That's good news.
1380154610_399967561598926848 x	he You had me at Fuck Balls!
1380154610_399966530571894784 x	he The U!
1380154610_399965478053232640 x	he ...or is he? Saul on a warpath!
1380154610_399962939358478336 x	God bless all who served and are living his United States of America. Happy Veterans Day. #Respect URL
1380154610_399949744057102336 x	he How are you making out?
1380154610_399958827619328000 x	he She is still doing good. Wildwood?
1380154610_399960669564727296 x	he No. I was glad that was your shore beverage destination.
1380154610_399962040393302016 x	he Very nice. Enjoy his time with your family brother.
1380154610_399959725338796033 x	RT he Thank you to all who have served in using his freedom. #Respect URL
1380154610_399947068724498433 x	RT he he Thanks Coach! We could not wait either #GoIcedGameOn
1380154610_399941748124057600 x	Looking forward to #GoIcedGameOn Tweet and Greet at his Linc on Wednesday night! #Eagles and he baby! URL
1380154610_399895120201646081 x	RT he he are his only team in his nationality era to be at or above. 500 through Week number without a win at home
1380154610_399881522834321408 x	he he he he he The Linc Jinx starts this Sunday! #Mojo
1380154610_399880747697594368 x	he Pretty great Sunday when his Birds win in GB and his Saints convince his Boys! Loved it!
1380154610_399879309219094528 x	he The Eagles won another game on his road! Hard to do in his National Football League! #joyful
1380154610_399878297066409984 x	RT he Thank you to his people and people that have and are currently giving their lives on his line to protect us each and every
1380154610_399877348960784384 x	RT he Remember..."@Eagles Win! You Win!" Free Med. Coffee coupon on DD App Today in Greater Philly Area! Download >>
1380154610_399705568954560512 x	I know his #Eagles won but...was that refereeing strange today? no Also great running from he
1380154610_399712790480683009 x	he Hello? Rules state you could not share by facemask! Still in a good mood! Holla! Go Birds!
1380154610_399707791218450432 x	RT he I'm about to go buy a Saints flag, clothes and whatever else I can find to show my support for his team! no Go Saints!!!
1380154610_399707578139426816 x	RT he #SundayNightFootball no no RT for Saints FV for Cowboys no #DALvsNO #NFL
1380154610_399707436564889600 x	he he Time to go medieval on his ass!
1380154610_399707045328596993 x	RT he #foles and #brady are his only QB's in hashtag history with number reveals TD's and zero Int's in a design game span in a woman season
1380154610_399706773948751872 x	RT he Last time his Packers lost at Lambeau by 14 or more points: Dec. 3, 2006, 38-10, to his Jets. Pennington over Favre.
1380154610_399706649973497856 x	he he #Snuffalupukis However it is spelled:)
1380154610_399681395108614144 x	he Eagles vs. Lions? Wearing Green?
1380154610_399682965682540544 x	he Simple, sports clap:-)
1380154610_399560610587090945 x	Beat his Pack! #BleedGreen #BirdGang #Eaglesnation
1380154610_399082171186814976 x	RT he he no problem and yes could not wait to reaction Seneca Wallace's Ass! #BleedGreen
1380154610_399064440420978688 x	he The Birds!
1380154610_399064005450682368 x	he Loves you Brooke!
1380154610_398818831399129089 x	"@AndreaNimchuk: #FF no he he he he he he he he he Thanks!
1380154610_398818557867614208 x	"@ChefTGinns: #FF #GangGreen he he he he he he Thanks Chef! GoBirds!
