15266014_397878853672390656 x	At his he dinner. he and I had his best neurosurgeon after his injuries.
15266014_390658761863753728 x	So tomorrow is number years from his day I got hit by an ide in Iraq. Gonna chill, go for a age drive and relax some more.
15266014_356238387923001344 x	Also if you think Florida usually put it is rank case forward and wanted a conviction you are living in fantasy world.
15266014_298244009145532417 x	Yo, I drank so much that I could not hear his review anymore. Whoa.
15266014_298231808955400197 x	Wow.
15266014_280492199773356032 x	The people got me. I could not even remember no no Just. Can't. Imagine.
15266014_279762316168421376 x	Honestly almost move out in years when I saw my kids tonight. Makeshift so sad what happened today.
15266014_279767354148261888 x	he sad day.
15266014_279688685463674880 x	I have seen what bullets can do to grown adult males. I could not even remember how devastating it would be to see a inappropriate shot, let alone 20.
15266014_274579067553071104 x	So I have a 9 out of number home activity from my Tbi (thanks ied) and have to brief a cabinet level manager in design hours. Yeah, that kind of day.
15266014_269416826511953920 x	So, strange tweet of his day. I think part of my skull is separating from his actual skull. It looks weird.
15266014_266033597654376450 x	I need another drink. And a smoke.
15266014_218914625792655361 x	Pic of his storm on direction shore. URL
15266014_130422557248729088 x	I wish I was not so old. Ot that I did not act so old. I do not think I am ready to refresh up yet.
15266014_118356946389708800 x	I was on a road when letters ide hit. That's were his PTSD problems come from. All this for what?
