1567074948_355071519048740865 x	Go out to eat
1567074948_353922393489674241 x	At is so taste out no to today
1567074948_353702996514840576 x	Night
1567074948_399549050485108736 x	URL
1567074948_399542753391964160 x	URL
1567074948_373842366265696256 x	At his location home
1567074948_363666583136518144 x	I am at my location home
1567074948_359011772201570304 x	Lake home
1567074948_358694315276505088 x	I am at location George no ,my
1567074948_353512524706103299 x	Hangout at his location home
1567074948_353240923418800128 x	I am at my location home.
1567074948_353228164887093248 x	I am at his location now
