1586412270_365313586442153984 x	#SHARKAFTERDARK
1586412270_395749142485815297 x	#Jrue who? #MCW #SixersNation
1586412270_391035960517214208 x	#WriteMyWrongs he he love when his #East and his #West play
1586412270_381455197958340610 x	One of his rank verses I learned in a while. #JayZ #PoundCake
1586412270_377207861476356096 x	#EaglesNation
1586412270_374714697024819200 x	Watching his roast of he
1586412270_373204698980814848 x	A$AP frg - Hood Pope (Trap Lord Album): URL URL URL
1586412270_370611667664515072 x	Hear and follow Spliffarelli on #SoundCloud URL
1586412270_369281845529022465 x	Is there life on #Mars?
1586412270_368882384286269440 x	RT he Tonight!!!! #teamearlyweekends URL
1586412270_365946951516168192 x	RT he Trees for meal
1586412270_364153450067935232 x	Today on his location he got suck doo'd on by a burrrd. #LuckyGirl
1586412270_363035676943872000 x	Blowing #Chemdog running #MaxB he
1586412270_360961277234913280 x	Free Tilly #Blackfish
1586412270_356895736278945795 x	he hahahah! I think he would probably enjoy that! And know what it is from! #newjackcity #lmiAo
1586412270_356471367253766145 x	Shit Happens #ForestGump
1586412270_356049340143386625 x	#workflow #HVAC #install
1586412270_355792696394256384 x	RT he And I'd do anything possible for her..
1586412270_355387566381477888 x	RT he URL #RealLife on repeat #HOS #KeyLow URL by #Spliffarelli #TroublesOfGod
