178137517_391254084474650624 x	he thanks you
178137517_380854641246081024 x	Walked away after his pic... Who's fault?
178137517_313036902074830848 x	All I'm going to admit is if I wanted to be a DJ... I would smile amount you pros. #Fact job Enjoy your day
178137517_161625369420632064 x	URL
178137517_377842264741261312 x	Triple AAA....yes or no? Do you have it?
178137517_366266761483526144 x	he Playoff doubleheader!!!
178137517_383030010254475264 x	he Anthem still calls
178137517_352248986096263168 x	he #RightOnFightOn URL
178137517_328189631868837889 x	Here's his tweet from Barkley to me that set it off.... Lola #Memories URL
178137517_322190070583017473 x	he Masters shot last year was straight out of Golden Tee. he news down his science.
178137517_313485730833915904 x	That was tough... Jimmy V was a special man. #SurviveAndAdvance
178137517_314778655282827264 x	The GREAT Jim Brown will be on he next... Tune in
178137517_292603156498636801 x	Looking live he #BigCrowd URL
178137517_172131265468833792 x	Help! Im in his location with finity cable, what channel is his he on?
178137517_75358471255633921 x	he Whats your Mt. Rushmore of frontmen?
178137517_391080984206389248 x	he he help him out
178137517_389458884911726592 x	order amount thoughts? #Eagles
178137517_326130370229719040 x	Porche contains foul ball... Should he give it to a person or can he keep it? State Farm Insurance Rules of his Game #Phillies
178137517_268184157312675841 x	Eagles Pep Rally... Eagles fight song in Spanish #NoComprende URL
178137517_298846140797972481 x	Vick... yes or no as starter in year for his #Eagles? he he
178137517_372793638587469824 x	he welcome back! Really loving his show, Would love to get you on his show in Philly later he he
178137517_395600019359010816 x	Iverson was his man...I do not care. Man do I miss those days.
178137517_395691840022007808 x	Is this really happening? Lola
178137517_391978789603123200 x	Just told an 13 year old Cowboy fan Santa is skipping his house this year. #OverTheLine
