1928580613_400050833322020864 x	RT he Happy Veterans Day, Philadelphia! URL URL he
1928580613_400019266420097025 x	Headed #JazzJam at he tonight? Enjoy their menu with a $10 #CharityDine money card for only $4. URL
1928580613_400018872872734720 x	Join Charity Dine and not only become great discounts, but order great causes. he he URL
1928580613_399333575818248192 x	Saturday Night's Date Night. Bring her to one of his restaurants. You'll save some money and show a charitable side. All in one sitting.
1928580613_399261685300887553 x	Where are you going for meal in #Philly tonight?
1928580613_399197465821577216 x	Saturday's are good days to store and eat. Eat with us and save a age money for shopping. #winwin URL
1928580613_398978813281177600 x	Hungry? Sign up with us and convince your pangs and your body too. no URL
1928580613_398946847240110080 x	he How about trying he for 60% off? We've got his deal on his site now.
1928580613_398912354684911617 x	Who needs to eat on a Friday Night? Sign up with Charity Dine and get great tips at several location restaurants. URL
1928580613_398909641586774016 x	With Charity Dine and you can help he he he by lifting your fork. Not your body part URL
1928580613_398904347964473344 x	Discounted living that contains many local causes, What are you waiting for? signum today! URL
1928580613_398796443411968000 x	RT he Yeah we did!  he says his Warm Cookie Dough is one of "Three #Desserts To #TryBeforeYouDie." -
1928580613_398791266458017792 x	#TGIF Who is going out to meal tonight? Check out his site to find HUGE tips in local restaurants. URL
1928580613_395689149509824512 x	Already starting where to eat this weekend? Take a look at his extensive list of people using 60% off. URL
1928580613_394910787170361344 x	Sign up for his email application and get an additional 15% off your order certificate. Eat well while doing good. URL
