25318266_395978959122202624 x	he he They had an opportunity to get Carle and hanging Downie was needed to get that done.
25318266_255824042311966720 x	he The bad news: it is probably a 4-6 time injury. Good news: He does not need surgery.
25318266_196022275680641024 x	Disagree with NHL Network review of Flyers-Devils. I thought PHI did fine job of "getting out of run-and-gun mindset" in Gm 5-6 vs. Pitt.
25318266_394460416748683265 x	URL - Bill seltzer - Meltzer's Musings: Another Building-Block Victory, Farm Roundup, Quick Hits URL
25318266_394476235390074881 x	he Good question.
25318266_394480272223125504 x	he he No, but he had awesome turnover that his Flyers were lucky did not end up in their own net.
25318266_392662655657205760 x	Combos: 40-28-12 , 15-10-93, 24-14-17, 18-25-36. Extras: 19-45-37.
25318266_312009808557527041 x	Also, his Flyers should have scored a woman order period goal in his time of March to date.
25318266_396707877861076994 x	Lecavalier injury is only day-to-day after all.
25318266_396470853224767488 x	he Exactly, Bundy. There was kind of play going on in that order pd, he was taste about clothes being knocked off, and had enough.
25318266_394981517308329984 x	Miller denied Whitney on 2-on-1 with Chiasson. He is only reason Sabres still in this game.
25318266_394821538244870144 x	At end of last night games around NHL, Flyers have taken up fewest songs (27) of any Metro Div team. On league-wide basis, they support 7th.
25318266_394822950387335168 x	he Yes, I do. Maybe not top 7 but top 10, so long as they understand and buy into what Barbe needs from them.
