27165199_371767335675109376 x	he What about this one??? :* URL
27165199_378314136125308928 x	he hi hey! Off in 30 I'll call you
27165199_374588533979086848 x	he what up with his hair? Tell Shawn I said Fuck dat! Do that family hair! He's too good for that!
27165199_373965500591525888 x	he Great! You?
27165199_371812659642892288 x	he he I'm still waiting on a response from Bae.... Patiently waiting..... #ASALWAYS #HURRYUPANDWAIT #SHEMARMOORE
27165199_371466559878725632 x	My family is running up a Fukien WALL! no CAN'T STAND PEOPLE WITH NO BRAIN... UGH!
27165199_371509395663777792 x	he that is easy for you to admit you do not have to live with him
27165199_371018770635968512 x	he kiss ....ugh
27165199_371087042387529729 x	he I did .... and they gave me back outside as of Monday! SO HAPPY!
27165199_370065932187488256 x	he TOO MUCH! LOL.
27165199_370066324765954048 x	he was this today? I saw you posted a picture like this on Friday I think... all are too good
27165199_370018995212021760 x	he I PRAY that is all I need to do... happy Cause I want some MOORE he
27165199_370027261165965313 x	he you are such a bi.. no LAL
27165199_369989875472154624 x	he beautiful as usual... And yours?
27165199_369102538370326528 x	he you are special! Ask he *my mom* I can home activity and I do not come cheap! happy but for YOU? job Anything. Within reason
27165199_368941010505572352 x	BTW MUCH BETTER PIC ON YOUR PROFILE happy YA LOOK CUTE! he
27165199_367292126188408832 x	he Good Morning Mother.... blown me up again I see! How's his crew doing this morning? Tell everyone Hi and I love them too!
27165199_367293630903779328 x	he HE HE HE HE HELL! LAL no when are you ever going to get his timezone thing right woman!? design hours! I'm sleeping at 9 am EST.
27165199_367300197950308352 x	he This I know happy ok. Damn no love u? I see URL You would have thrown myself on his door giving and screaming if I did that! unhappy
27165199_367295509217546241 x	he CALL YOU AFTER I KNOW WHAT'S GOOD. PRAY FOR ME! LOVE YOU. HAVE A FUN DAY. happy
27165199_365544344784093186 x	he Taking a rest. It's a nagual day unhappy hoping I had you here to bring me until I feel asleep unhappy .... I feel awesome
27165199_360770244484136961 x	he no Shamboogie It's my Birthday Bae! The big 37! I would love to see you happy in person. oxo love have a great one! Party this wknd!
