283030343_391909580336160768 x	The only Confederate flag that works
283030343_396431070985748480 x	RT he Revealed: Largest frecked oil change in U.S. history may be more than usually estimated URL
283030343_396429415271661568 x	RT he Poll: Disastrous webmaker rollout did not change Americans' lives about his law URL
283030343_396429187533520896 x	Did you miss President  new manager order on #climate resilience? Check it out:
283030343_396426854355468288 x	RT he A family of application will become $36 less each time because of his #foodstamps cut taking order today, review he
283030343_395267653352169472 x	On Keystone XL, will Abama stand up to big oil? no URL Bill McBain URL URL URL
283030343_395264245991866368 x	When Did "To Serve and Protect" Become "To Seize and Profit?" URL no URL URL he
283030343_394872232834392064 x	Ranking his GOP's Most Vulnerable States in year URL URL he
283030343_394869998427975680 x	North Dakota Keeps it is Oil Spills Nice and Quiet URL
283030343_393831068207284224 x	Home Heating Costs Expected to Rise This Winter Despite Gas Fracking Boom URL
283030343_393829551375003648 x	Pregnant Woman Forced Into Drug-Treatment Program Despite Being Drug-Free. Only Her Fetas Got a Lawyer. URL URL he
283030343_393816341968211968 x	Increasing his minimum wage a no-brainer URL URL he
283030343_393690713067491328 x	Swiss support rises for updated manager pay URL URL he
283030343_393426078510768128 x	Voter ID gov: I should have screwed 'a lot of attention' to his issue URL URL he
283030343_393048614097780736 x	RT he Must read: Koch Brother Wages 12-Year Fight Over #Wind Farm - URL URL #capewind
283030343_393006953728724992 x	The Myth That webmaker Is Destroying Full-Time Jobs Just Got Debunked - Yahoo Finance URL URL he
283030343_393006496386011136 x	Senator Rand Paul Proposes Constitutional Amendment URL URL he
283030343_392649394450755584 x	CSTC CEO Craig Jewling Leads his Cheapest, Happiest Company in his World URL URL he
283030343_392648820326023169 x	Air pollution a living cause of bad event - U.N. service URL URL he
283030343_392644783622983680 x	Ochs would make $100 BILLION on Keystone Pipeline URL no URL
283030343_392644315232485376 x	Arizona power service fesses up: We bankrolled Arizona's anti-solar ad  we used Koch family operative design do it URL
283030343_391606093782454272 x	94% of Americans do not know his project deficit is getting more URL no GOP needs to cut Social Security
283030343_392342738139897856 x	he no he taken like his typical elitist. This is why GOP is so out of touch with reality. No perception especially your own.
283030343_392353302626992128 x	he sorry about that.
283030343_392344785895555072 x	RT he Here is his Wisconsin-heavy Citizen Koch trailer his Koch Brothers blocked you from learning on PBS in it is entirety.
283030343_392343704327163905 x	RT he Although corporations are his greediest they have ever been in history someone has always bitched, whined and moaned:
283030343_391924850430074881 x	How to get your senators' and representatives' homework on any issue without being a wealthy donor no URL
283030343_391923863896199168 x	RT he he he he until this nation email it is original condition, we will always have this problem.
283030343_391923863141224448 x	RT he he he he problems mean nothing. Abama can fight CANCER and many people will still share it. This is about
283030343_391915193359273984 x	Have his Justice Department order his House Republican &#039;leaders&#039; for his crime of sedition. URL
283030343_391910586269048832 x	he he he math? Revenue is "high" but LOWEST units of GDP in decades. no Cut tax loopholes. Make it fair for everyone.
283030343_391914909002240001 x	he he what is his point when GOP knows this is a democracy? Clearly you and his GOP are not mature enough for actual debate
283030343_391605210323234816 x	Have his Justice Department order his House Republican &#039;leaders&#039; for his crime of sedition. URL
283030343_391604889132236800 x	RT he Debt change by POTUS: Reagan 186% Bush 54% Clinton 41% Bush II 72% Abama 23% no Source COB he
283030343_391604181175660545 x	RT he Maddow: Get Married While You're Waiting To Be Allowed To Get Married URL hashtag #lgbt #gay #UniteBlue
283030343_391576020765003776 x	The Tea Party, by his Numbers - Blomberg URL he URL
283030343_390936695832453120 x	Memo to his Tea Party: The  Budget Is Actually Improving URL The Exchange - Yahoo Finance URL URL he
283030343_390915922052907008 x	CNN Exposed  Emmy Winning Former CNN Journalist Blows The Whistle: CNN is screwed by foreign and domestic... URL
283030343_390915566321401856 x	RT: Have his Justice Department order his House Republican &#039;leaders&#039; for his crime of sedition. URL
283030343_390870938822000641 x	Have his Justice Department order his House Republican &#039;leaders&#039; for his crime of sedition. URL
283030343_390829451145412608 x	RT he The government shutdown cost his economy $24 amount URL
283030343_390808559467765760 x	Mitch McConnell gets almost $3 amount for Kentucky damn project in country deal URL URL he
283030343_390649940940447744 x	Names and lives of his 32 Republicans Who Caused his Government Shutdown no URL
283030343_390103188910514176 x	The  $5 amount waste URL URL he
283030343_390101911094833152 x	NEWS ANCHOR COMPLETELY LOSES IT FOR THE BEST POSSIBLE REASON: URL URL URL
283030343_390098671305371648 x	How Fast Can You Put These Ridiculously Gerrymandered Congressional Districts Back Together? URL URL he
283030343_390091375737204736 x	Here Are The Sleaziest Things Congress Has Done During The Shutdown URL URL he
283030343_390091174590955520 x	House Republicans Changed The Rules So A Majority Vote Couldn't Stop The Government Shutdown URL URL he
283030343_389894151883747328 x	How lots of lots of Americans got emphasis out of their mineral rights
283030343_389748130964463616 x	Watchdog Update - Three more state people got contains after phantom job transfers URL
283030343_389508248732069888 x	North Dakota calls 11 days to annoy country about oil change URL he no URL
283030343_389506343251353600 x	46 per amount nationality wealth owned by rank 1 per cent: Credit Suisse URL URL he
283030343_389506042486202369 x	Not Just Political Districts. Our News Is Gerrymandered, Too. URL
283030343_388705760311377920 x	McCain To Fox: no No, The Shutdown Is The GOP's Fault: URL URL URL
283030343_388679183817121792 x	ND mammal contains oil change while harvesting wheat URL URL he
283030343_388480788158619648 x	Warren Warns Against Default URL URL he
283030343_388407364761944064 x	RT he Governor Beshear's message to Republicans. redweed if you agree. #JustVote #Obamacare URL
283030343_388308778958856192 x	Pipeline explosion calls flames into Oklahoma sky URL
283030343_388305166060888064 x	40 years of country nutrition design fatally flawed URL
283030343_388278793623703552 x	Al  project to climate change: become a carbon tax and totally shame deniers URL URL he
283030343_387376108506578944 x	Star athletes like LeBron, Serena cash in on junk food endorsements URL
283030343_387188944833503233 x	Vouchers  do much for students - Stephanie Simon - http://t.co/6DNsOQou9f: URL URL he
283030343_387188319651512320 x	Anti-Hillary Clinton Buttons Reportedly At California GOP Convention Are Just Disgusting URL URL he
