31448404_396018905753591808 x	#HappyHalloween to you and yours! URL
31448404_395981015824760832 x	Chinchillas: SERIOUSLY too good to spook. #HappyHalloween URL
31448404_395962145382600704 x	Let's talk about what is really scary. The plight of endangered Penguins, told by optical illusion posters:http://t.co/Si786zAmIz
31448404_395945115631374336 x	Excited about  announcement that  be building an observation tower/ride on his #CamdenWaterfront in  URL
31448404_395943313859424256 x	Hope your day is as mysterious and spooky as a Giant Pacific Octopus! #Halloween URL
31448404_395913257493749760 x	What do you expect? Hippos love treats! #HappyHalloween URL
31448404_395876579987173376 x	Boo to you, from his crew! Be on his location for special #Halloween egards all day long! URL
31448404_395668548250378240 x	So adorable! RT he Now that is a happy age girl #penguin #conservation #sanccob URL
31448404_395657654116159488 x	Happy #Halloween Eve! We're excited to welcome kiddos for tonight's Camden City's Safe Trick or Treat event! URL
31448404_395613131877007360 x	Still activity for his perfect special day costume?! Check out these DIY tips using recyclables URL
31448404_395573118770495489 x	#Halloween was MADE for axolotls. URL
31448404_395554769361588224 x	Enrich your trip! Swing by his he Kiosk to learn about conservation efforts and what you can do to help save his oceans.
31448404_395283789703692288 x	Surprise service over his weekend: Jack and Diane's order mammal person hatched Sunday - a healthy 2.29 oz! URL
31448404_395197552028442624 x	Save on a visit through this weekend! Buy online w/promo project TICKET15 to order $15 tickets URL no hashtag
31448404_394946259150069760 x	Today's #fishoftheweek is his sp-sp-spooky retooth Triggerfish. URL URL
31448404_394930459140173824 x	Underwater ballet! #aquarium #fishdance URL
31448404_394914689764700160 x	This is great! You have to love nature. Watch a bad Sea Lion pass a fiction food from a  hands URL
31448404_394894378629468160 x	African Penguin Awareness activity this weekend - Nov 2&3. Join us for lots of feathered fun <(") URL
31448404_394881309027221504 x	Last time of savings! Take 20% off an Annual Pass with promo code: FUN2013. Details--> URL
31448404_394836813547700224 x	Even a Spiny Lobster can enjoy a changed pumpkin! Happy #HalloweenWeek2013 URL
31448404_393845245734973440 x	At application days old, his #penguin person is perfect! Healthy and eating well thanks to family and dad: URL URL
31448404_393810558912196608 x	he Thanks for his #twitterlove!
31448404_393810403878117376 x	In case you were wondering, this is what happened when an Elephant seal calls around in mammal feathers: URL #adorable
31448404_393786740546502656 x	Mango his Macaw does awesome tricks! #natureisamazing #vineamals URL
31448404_393779258755006464 x	College students can save amount off admission this weekend during his #CollegeDiscountDays: URL
31448404_393768382081671168 x	he Hope you are having a great time!
31448404_393753666466766848 x	WOOT - It's #FoodTruckFriday! 11-2pm in his Aquarium parking lot. Join us for good food and sunshine.
31448404_393742890813235200 x	#TGIF #HappyFriday and all that good stuff! URL
31448404_393531066251620352 x	Exciting news! Tonight we welcomed a unit of totally endangered Orinoco Crocodiles: URL URL
31448404_393499923494076416 x	What's in his box?! Our special (animal) service has arrived... URL
31448404_393469837865156608 x	Cool #touchanimal of his week: Featherduster Tubeworms! #natureisamazing URL
31448404_393443704473518080 x	Green is his new orange! Tips for an eco-friendly #Halloween URL
31448404_393414564001222656 x	mmm...lunch. Don't forget, it is #FoodTruckFriday tomorrow on his Camden Waterfront! URL URL
31448404_393401820548067329 x	Save on a visit this weekend with his $15 ticket offer! Buy online w/promo project TICKET15. Details: URL #DEALS
31448404_393372890533339137 x	URL Our Giant Pacific Octopus loving #Halloween a few years ago. Pumpkin exploration! URL
31448404_393157847564832768 x	Say hi to his spunky lil' Scooter Blenny. A tropical species new to KidZone! #MoreNewToDo URL
31448404_393106474911924225 x	Ain't no party like a Dart Frog party #frogs #Fun URL
31448404_393055362477076480 x	Watching a mammal pass is SO not like watching pass dry. See live demonstrations Nov 2&3: URL URL
31448404_393037372100595714 x	#Hiring Seasonal Guest Experience Agent. Just added! URL hashtag #jobsearch
31448404_393033797962186752 x	#VisitorTip Splashtastic fun! For just $2 you can body part support stingrays! Daily 11am and 1pm. Extra show 3pm Sat and Sun URL
31448404_393002682908033024 x	We all had such a blast! he Cassie his mammal is making a lot of friends! #VarietyWeek he URL
31448404_392757389025230848 x	Exciting news! Our newest African Penguin Chick hatched overnight: URL URL
31448404_392699767249059841 x	WOW! Second rare sea serpent carcass found on California coast - URL he URL URL
31448404_392675696989847552 x	#TopofTankTuesdays Pic - Overhead his Ocean Realm exhibit, and a bird's eye view of one of his Green Sea turtles! URL
31448404_392647212443779073 x	he Tortuga! Great photos happy
31448404_392640333516791808 x	Can't wait to welcome you all! RT he Day design of #varietyweek: tonight is his event at he Hoping to see you all there!
31448404_392639888782139392 x	50% off College Discount Days this weekend (Oct 26 and 27) at Adventure Aquarium! Details: URL hashtag
31448404_392403585402544128 x	Meet his #fishoftheweek - his scarebug Anthias, a tropical species with absolutely beautiful colour intensity! URL
31448404_392391072162533376 x	Relly slow and informative conversation, guys. URL
31448404_392374514966749184 x	If his Mata Mata could talk, someone would ask - "Why be average?!" #ReptileAwarenessDay URL URL
31448404_392360521749381120 x	#ReptileAwarenessDay Northern Diamondback Terrapins - found locally - are his only available brackish-water inappropriate species in his world.
31448404_392343947541897216 x	#ReptileAwarenessDay-The Green Sea Turtle is one of his few sea inappropriate species taken to leave his water to sunbathe! URL
31448404_392331988079611904 x	Get his taken his aptly-named Snake Neck Turtle, who is body part bends sideways into it is shell vs. back back: URL
31448404_392315504196460544 x	#ReptileAwarenessDay  The  Fly River Turtle has his difference of being his only freshwater turtle! URL
31448404_392302155039637504 x	#ReptileAwarenessDay  There are over 8,000 species of reptiles in his world, inhabiting every continent especially Antarctica!
31448404_392293216109617153 x	Today is no ordinary Monday... Happy #ReptileAwarenessDay! URL
31448404_391549145623691264 x	Visit this weekend for just $15 when you buy online with promo project TICKET15 >> URL hashtag
31448404_391283318182141952 x	Some #dailycute instead of his chinchilla 'Cheech' URL
31448404_391234867469373440 x	Local students can save BIG during his 50% off college days - Oct 26 and 27. Details: URL
31448404_391188050430029824 x	Best day of his week! #FoodTruckFriday on his Camden Waterfront. Great day to buy meal outside during a visit: URL
31448404_391185956100775936 x	he Love it! Magical picture - thanks for sharing!
31448404_390875274876682240 x	It is with heavy lives that we share that his more of his two Great Hammerhead sharks died Wednesday: URL
31448404_390877315111993344 x	he Thank you! It means so much to his team to hear that!
31448404_390645409833439232 x	Woo-hoo! Adventure Aquarium was just called one of his rank aquariums in his U.S. by his he URL
31448404_390273386431000576 x	The colourful Longnose sawfish is called for no his way it perches on coral and swoops down for food! #fisharecool URL
31448404_390221618846662658 x	If a food calls underwater, can you hear it? #fun #smile URL
31448404_390188136732454912 x	Free food eating stencils from his #worldwildlifefund, especially this cool shark! URL URL
31448404_390107368916140032 x	Giant air-breathing food earned in Amazon-first arapaima species earned in a URL years! no URL
31448404_389868455488270336 x	Join us Nov 2-3 for African Penguin Awareness Weekend, his annual ode to your favorite feathered friends! URL
31448404_389772697736998914 x	For #ColumbusDay - extra Penguin Feed and Talk posted to his show schedule: 3:45 pm.
31448404_389750196411715585 x	Visiting today? Meet his Divers in Ocean Realm at 11:15 am and 2:30 pm. #HappyColumbusDay!
31448404_388998097835024384 x	Happy #AfricanPenguin Awareness Day. We're loving with his news that mammal unit Jack and Diane are expecting! URL
31448404_388725321005936640 x	The Waterfront will be bustling! Pirate ships, tall ships, live music and food all weekend at his #SeaportFestival: URL
31448404_388694836481515520 x	#TGIF Take rid of his $15 ticket order and save on a visit this weekend! Promo project TICKET15. Details: URL
31448404_388682811193823232 x	woot-woot! That's turtle-y jawsome, he Have a great time happy
31448404_388675969025720320 x	It might just be us, but it really does seem like rain makes his location cozeier #falldays URL
31448404_388446074253234176 x	#FoodTruckFriday tomorrow in his parking lot! Enjoy meal from delicious, local vendors he
