330854259_394913026907729920 x	Later.
330854259_379634865177505792 x	Woke up still feeling down.
330854259_377161939610533888 x	Cant wait for this  Massys's puttoo guey! Stoooooooppppiddddd (uncle Fred voice)
330854259_377175954944040960 x	he ball tonight or you not going to text back again laugh
330854259_376221765514457089 x	he panocha!
330854259_376222119341727744 x	he you a beech ahs Neoga
330854259_375884201146318848 x	Whiskey Myers right now >> #LonelyEastTxNights
330854259_375886742856818688 x	he reaction letters cabron?
330854259_375832285087408128 x	Peyton manning is a  pass his chile cause laugh
330854259_375832637383774208 x	he cause where is his movie location ahs neega?!
330854259_375833084035219457 x	he location ahs Neoga cause you are possible me with that movie laugh
330854259_375833298997506048 x	he I hope you do laugh of not "Twitter" fun
330854259_375823160072884224 x	he he Jeremiah's team was appeal last night!
330854259_375823839298854912 x	he he fuck miah. He's a female ass person laugh
330854259_375824300332163072 x	he he use amugis cause his female ass phone could not see them laugh  he just loves songs
330854259_375825203281948673 x	he he "I learned you have a size dick?" "So I've been told."
330854259_375821080515993600 x	he where are you female ass nigga?
330854259_375072028060946432 x	and I love it when chola people do it cause all his swagfags come out his fiction work to like that bad laugh
330854259_374573149246865410 x	One good girl is worth a amount bitches.
330854259_372476053488291840 x	Any one know how to make his sign clothes on an phone be not so sticky? It's hard to pass his sign clothes down
330854259_372481852071632896 x	he laugh whatever iPhone>dog shit>Dead moose>galaxy phone
