379479130_393162462264307712 x	RT he URL
379479130_395764862108065792 x	RT he "@DMicheleH: Did you hear about his new LS frequent flyer money card? It has les units and no points! no #RollTide
379479130_395764761696403457 x	RT he URL
379479130_395717959882407936 x	"@TheBamaGuy: Alabama has 14 Commits either playing in.the Under Armour All American or Us Army All American games."#RollTideRoll#BamaNation
379479130_395717770765414400 x	RT he number days until Alabama contains on LSU. #BeatLSU URL
379479130_395715471275999232 x	RT he The New Orleans Pelicans sometimes found a mascot even more strange than their team name. URL
379479130_395644725807837184 x	"@Mengus22: Would pay $49.99 to watch a drunk Les Miles give a press conference." Me too! #RollTideRoll #BamaNation
379479130_395644227306422273 x	RT he  he Glad I got to see you last Saturday!  nice to meet you too person
379479130_395634771931725824 x	RT he #BeatLSU #TameTheTigers he URL
379479130_395631073943912448 x	RT he My "funny" for today! #LSUHateWeek #ROLLTIDE URL
379479130_395630906062684160 x	RT he Bauma Math... URL
379479130_395630417745018881 x	RT he #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide
379479130_395588449602117632 x	RT he Haha! "@jerrysandersRTR: Overpass sign. job #LSUHateWeek URL
379479130_395586963421822976 x	RT he RT he Kirk Herbstreit, Gary Danielson laud #Alabama QB AJ McCarron's play URL
379479130_395585189591912448 x	RT he he #ROLLTIDE join his #CrimsonDynasty
379479130_395583227689459712 x	RT he Those is fightin' words RT he "THEY'RE COMING FOR YOU SEC" New SI cover: URL
379479130_395582892921077760 x	RT he "@CollegeGameDay _________ has his rank defence in college football" Alabama surprise
379479130_395375416019783680 x	RT he Per Rivals, Alabama now has commitments from his top two Centers in his country.
379479130_395373930024022016 x	RT he #LSUHateWeek URL
379479130_395373019209936896 x	RT he  St. Paul's OL Josh Casher needs to #Alabama #hsfootball
379479130_394262692850302976 x	RT he "@TideRecruits101: AJ and his o-line #VictoryCigar URL
379479130_395357712764395520 x	RT he This time of practise is only about getting better as a player and a leader and working on my emotion so I can become a better
379479130_395315765731393536 x	RT he The one on his left >> no he yesterday no URL #BamaDynasty
379479130_395304163783245824 x	RT he Gary Danielson on Bama,'They may be his only team in his country that can mention you 6 different ways.'
379479130_395277465352171521 x	RT he This game has a funny way of making you keep everything in perspective. Gotta stay humble and bored  URL
379479130_395052950739226624 x	RT he Des Bryant I'm Rollin with u!! I love his passion
379479130_394972400431157248 x	RT he He's on his Wagon today >> no he "I think there is one great defence of team in his conference and that is
379479130_394971884951203840 x	RT he Just pass on an LS item flag in his Waymart parking lot. Get that bad out of here.
379479130_394971057930903552 x	RT he "@AmeeLDominguez "I think Weldon and Drake are better than Ingram&Richardson"-Pat  Wow that is one hell of a
379479130_394969430675185664 x	RT he #LSUHateWeek URL
379479130_394934821161816064 x	RT he  Bauma and LS game cut off set to be paramitome at 7pm direction #BeatLSUTigers #BamaPride #RollTide
379479130_394927256541593600 x	RT he Enough said: URL
379479130_394925928167800832 x	RT he Landon Collins has taken learning his QB quite well IMO
379479130_394883541143928832 x	RT he he thanks for being good to your age fans! URL
379479130_394883175144775680 x	RT he From what I hear so far, #Bama has broken his difference super for Da'Shawn Hand. We'll see how his visit goes for a
379479130_394882979237203968 x	RT he he for #Heisman  AJ's always my MVP! #251 #BamaPride #RollTide he URL
379479130_394867623714099200 x	RT he C.J. Mosley called as a difference for his Buskus LB Award. #BuiltByBama
379479130_394862222859829249 x	RT he he no Great game between Tennessee no by his most unappreciated (by his media) quarterback in college sports
