38347996_385478227139256320 x	This weather is crazy
38347996_384024684221976576 x	Watching Homeland
38347996_396758754202755072 x	Don't even know what to call this!!  Matthew piquette #MattAndCam no URL
38347996_396758393610059776 x	Had a great day activity and meal with Ashley
38347996_373550597087039488 x	Enjoying boathouse happy unit with Ed and Ashley URL
38347996_369967730189156352 x	Just posted a photo URL
38347996_369954427358035968 x	URL
38347996_369519358302621698 x	URL
38347996_369500679699578881 x	Just posted a photo URL
38347996_369499182282711041 x	Just posted a photo URL
38347996_368817989790883840 x	Just posted a photo URL
38347996_363679289398808576 x	Just posted a photo URL
38347996_363670383175933952 x	Just posted a photo URL
38347996_363670210420543489 x	Just posted a photo URL
38347996_363398725818781696 x	At his shore for Cole's holiday weekend
38347996_360537218210729984 x	Just posted a photo URL
38347996_360006656144310273 x	#WhiskerWednesday he he waking up to good day URL
38347996_360005534461603840 x	Waking up to good day URL
38347996_359723760670081024 x	#WhiskerWednesday mike@FOX29philly sue@FOX29philly jennfred@FOX29philly shenelle@FOX29philly URL
38347996_357498589938868224 x	#WhiskerWednesday mike@FOX29philly sue@FOX29philly URL
38347996_357485425914425344 x	Jennfred@FOX29philly URL
38347996_357483374522298368 x	Olly waking up to Good day URL
38347996_357473937938067456 x	Sue@FOX29philly URL
38347996_357462506643542016 x	he he he URL
38347996_357205730157268994 x	TV and Wine night with Ashley
38347996_355797023435407360 x	he
38347996_355083330020057090 x	Can't wait for Big Brother to come on tonight
38347996_355016243570425858 x	he he he URL
38347996_354959203376443393 x	Watching good day to see if they put his picture of Olly on
38347996_107557294505594880 x	he how is Rio grande ave, I have a condo at marina location on susquehanna unit
