40113278_377258803840184322 x	1:24 to go.
40113278_398294408959107072 x	he Thank you for living your story! You're one courageous woman!
40113278_391703529120751617 x	TD Texas! 40-38 Texas URL Auburn number minutes left in his game.
40113278_399794305767727104 x	Where did his time go? Sigh- have to get up in application hours and I'm not even bored yet. #tomuchtodo #solittletime
40113278_399751203749244928 x	#WBOC News at 11 will radio at 11:46 unit he
40113278_399689018721710080 x	RT he Typhoon Hainan slams into direction Vietnam - URL
40113278_399661235370590208 x	There is no 6 unit newscast tonight! See you on #WBOC News at number on FOX 21 and on BOC News at 11! he
40113278_399659976429682690 x	RT he Fire Damages Grasonville Home URL
40113278_399638696095662081 x	Waiting for my food food food food to finish  > When should we trust u. Lola #wbocweekendcrew
40113278_398662379657244672 x	he Did I just see a man with color beads on his cut inappropriate in your piece??
40113278_398495298156494848 x	he admit suspicious project found near post location was harmless. #Geocaching #wboc
40113278_398295508969848832 x	When I refresh up I want to be like he Lola #runner #marathoner #Imonlyhalfcrazy
40113278_397109439796617216 x	RT he The #Redskins are 23-14-1 in overtime games, with his last one coming in Week 14 vs. Baltimore last year. #HTTR
40113278_395589136515473408 x	Driver personal service are down at his he in #Dover. I'm old service will be up later today. URL
40113278_394583997281361920 x	#WBOC News at 6 starts now!
40113278_394303148870742017 x	Ugh. How did my IFB just break, and during his show? #anchorproblems
40113278_393078643624116224 x	This is what almost every person hates. crazy glue to his rescue! no URL URL
40113278_392023311565471746 x	AAAAAA #HTTR We win.
40113278_391973891469758464 x	Oh sheesh. Just when his #Skinz get a yard, we fall back 10. #HTTR?
40113278_391710487399776256 x	See you at 11! No number unit Fox newscast tonight. #wboc
40113278_391677961453064192 x	Hilarious listening to TLC's Scrubs blasting in his #newsroom. #oldtimes #classichits
40113278_391395097595904000 x	Catching his last 15 minutes with he
40113278_391264680062488576 x	also never before have I felt drunk while in Chopper 16, so why now? Glad were almost back to #Salisbury.
40113278_391270217537425408 x	he Thanks! I've landed and now have food in my tummy. happy
40113278_391273727897264128 x	he laugh awesome
40113278_391270714650533888 x	he sounds interesting!
40113278_391258902571937792 x	My view from Chopper 16. On his way to a fire in #OC. #wboc URL
40113278_391270040806248448 x	he Yup
40113278_391261634414784512 x	Fire at The Majestic hotel in #OC. Crews cleaning up his scene. #wboc #Chopper16
40113278_390993973679886336 x	"If you are a black man it is difficult. If you are a appeal kind man it is even harder."- Lee Daniels he
40113278_390985715242131456 x	Lee Daniels, producer of The Butler, speaking at he URL
40113278_390960811285696512 x	Coming up at 6... #wboc hashtag #reporting #Dover URL
40113278_390926500876521472 x	Red color cupcakes! My fav! Plus my meal while learning my pkg. URL
40113278_390829923314978817 x	RT he Director and producer Lee Daniels will speak at #DSU tomorrow at 7 unit in his EH Theater. Free and open to his public.
40113278_390632745690750976 x	Senate votes 81-18 to pass project to die government, convince debt location URL he #wboc
40113278_390632384900923392 x	At Capital School Dist. Board meeting - problems still die with his $1.4 M new #Dover High School. #wboc
