485290500_378567420312444928 x	he Good luck Sunday!!!
485290500_378567041801650176 x	he Looking for another win. Good luck this weekend.
485290500_378146677539893248 x	he In God, Family, Eagles I trust!!!! GO EAGLES!!!
485290500_328979810925834240 x	he Did you mention something about a LB and his Eagles after his draft?
485290500_328978852435091456 x	he he As a huge Eagles fan I welcome you. Great to have you.
485290500_328978299772624896 x	he boyer was his classify of his draft.
485290500_328977528108765186 x	he Any shows on his horizon?
485290500_328975931437883394 x	he Any shows coming for his Eagles?
485290500_327439317066739712 x	he As an Eagles fan, We love ya. Great Eagle!!!
485290500_327437570038431747 x	he Do you think his Eagles and Jets trade picks? maybe with Fowles in his swap?
485290500_327420014980382720 x	he Congrats man, You are one of his greats!
485290500_327406134556254208 x	he Eagles with his letters 9 pick?
485290500_327402467056828416 x	he Eagles with his letters 9 pick?
485290500_327401822128074752 x	he No, I like his excitement of listening to his refresh on TV.
485290500_319219835944972288 x	he Hope you have a quick and full recovery. My family Hunter is sad because you are not on his flavor when when turn his games on.
485290500_317354380955381762 x	he I just want to welcome you to his Eagles. We are his rank people in his NFL.
485290500_314704049029124096 x	he he he Paint me color and call me his Hulk!
485290500_314363038574723074 x	he he he he Com on man, Let's go get some flavor cream.
485290500_314362408745435136 x	he he he Holy crap! Four pass rushers?
485290500_313622570387787776 x	he he The Red Tail Boa Bowl
485290500_312231008797872129 x	he do you think his eagles will send another S and CB in FA
485290500_311826564268576770 x	he thanks so much
485290500_311818812976676865 x	he anymore eagles rumors? any word on pot roast from his chargers?
485290500_311142426045739008 x	he thank you!
485290500_311142124856954880 x	he holiday with his eagles?
485290500_311137833903591424 x	he Dave, can you wish Hunter weesh a happy order birthday on Eagles Live today? He's a order generation Eagles fan.
485290500_310473441746767875 x	he can you wish fiction surprise a happy order birthday? you are his favorite player
485290500_310749911404654592 x	he Thanks Sid, Hunter was so excited to watch his game last night.
485290500_310473977678151681 x	he can you wish fiction surprise a happy order birthday? he is an Endicott person too.
485290500_310472920059219968 x	he can you wish fiction surprise a happy order birthday? he is a huge pens fan
485290500_310472397696421888 x	he can you wish fiction surprise a happy order birthday? he is a order generation eagles fan
485290500_310471850578804736 x	he can you wish fiction surprise a happy order birthday? he is a order generation eagles fan
485290500_310471367088828416 x	he can you wish fiction surprise a happy order birthday? he is a order generation eagles fan
485290500_310470707115069440 x	he can you wish fiction surprise a happy order birthday? he is a big fan
485290500_310470182684487680 x	he can you wish fiction surprise a happy order birthday? he is a huge pens fan
485290500_310469881164333056 x	he can you wish fiction surprise a happy order birthday? he is a order generation eagles fan
485290500_310469434307379200 x	he can you wish fiction surprise a happy order birthday? he is a order generation eagles fan
