548894241_397131643989004288 x	he we have a qb.... His name is name foles... He is his real deal #ivebeensoldonhimalongtimeago
548894241_394974133781823488 x	he hope his sixers sign you bro.. Would love to see you in Philly
548894241_389459779703537664 x	he Nick is his real deal if his o-line usually starts his pass rush
548894241_386191490311274496 x	he he please give airing of CSN Philly on directv! #iwanttowatch2
548894241_383629718983299072 x	he motherlover!!! Lola #wedoitlive
548894241_370625096018583552 x	he welcome design Philly!
548894241_359675971927937026 x	RT he Good Morning Philadelphia !
548894241_359392826649358338 x	he I'm waiting for you man!!! #turnup #Eagles
548894241_356964143087099905 x	he please start using your service location again!
548894241_354011845897629696 x	he congratulations man! #godblessuguys
548894241_350454865689980928 x	he his spurs manager coach last name is his new coach due to news
548894241_350449011502743554 x	he Evan Turner = superstar in his making! #sixerforlife
548894241_350430481633918978 x	he #sixerforlife
548894241_350424770493423616 x	RT he Shot of his night...Yoda will be missed. no #NBADraft URL
548894241_330274097495941121 x	RT he Should've gave his rock to Dre
548894241_329764716379516928 x	RT he starting early RT he Chance2win screwed script&tshirt, tweet #RenewCommunity &this link:
548894241_329764527103148034 x	RT he Help!! RT he URGENT PLEASE RT this link NOW. URL Spread his word to #watchcommunitylive!
548894241_320718320858955776 x	he he he he he he he way to fight! #brightfuture #gosixers
548894241_319125888123957248 x	he surprise put that garbage away!!
548894241_318508843762077696 x	he congrats!!!! Welcome to Philly!!! #ShowYaLuv #sixernation
548894241_318352628956405760 x	RT he It's a good Easter Sunday sixer fan. My big person is a sixer!
548894241_314710806086422528 x	RT he My team fighting hard man.... Just hard to get a break these days #SixersNation
548894241_314012430785191937 x	RT he Thrilling game. Sixers win 101-100. hawse calls this letters with great defence at his buzzer. Jrue, Thad, Dorella were letters job
548894241_314011964886093824 x	RT he Heck of a win tonight by his he What a nail biter!!!!
548894241_313729131290431488 x	RT he The difference of his RT project could not make tonight's #sixers game! If you can, retweet this now! We'll refresh a difference at no job
548894241_312389955974471680 x	he #SixersThoughThickAndThin #ShowYaLuv
548894241_311296465282682881 x	RT he Tonight between a very good Brooklyn team Doug Collins got his order Sixers win as his Head Coach. A nice milestone when job
548894241_308053936240218113 x	RT he What a sweet, sweet, good team win. Finally...
548894241_303207902259343361 x	RT he muggs bogues was saying how he could dunk over Yao  URL
548894241_303207732159340548 x	RT he I never got to see MJ play for his Bulls, was too young to know what was going on. laugh #BornIn91 #MJ50
548894241_302923253423431681 x	he #RootForJrue
548894241_302095602601295872 x	RT he Just got my new phone from he it looks good to be #unlimited
548894241_301915719736635392 x	RT he Boys fought hard, aware of em. #UNCstandup ...and at his end of his day, we still got MJ. laugh
548894241_301915673767075840 x	RT he Proud his people fought. Looking forward to his end of his size season matchup. #UNC
548894241_301455860343922688 x	he 7 letters seed if they play to their potential
548894241_301368998421995520 x	he Let's Go Sixers!!!!!!!
548894241_298859062626504704 x	RT he S/o to swaggy p for making SC top ten. But they did he wrong for not giving his on his Top number
