5518172_394570830233239552 x	70 units to lose. One day at a time! I'm running with he
5518172_399580643119468544 x	he he he he he great posts. learning up with you guys has taken beneficial to this man right here! #cyao
5518172_399581571025342464 x	he I'm going to move my ass off after I eat my ass off #cyao today. hahah. Word play. #rapper #hln
5518172_399572537744437248 x	he he he he he he he great points. thanks for sharing! #cyao hashtag #fitness
5518172_397543413056552961 x	Went too hard at his gym. Headache. #cyao hashtag #fitness #headache URL
5518172_397678731764195328 x	he I did a more body part session, more shoulders, songs and cardio. I'm thinking I did not eat my next meal soon enough, or too heavy
5518172_391920856307228672 x	he he he he he he chef charles is funny. hahah. good stuff man..
5518172_391911654457229313 x	he he he he he he wow, you guys took it to his french chef. LAL #cutthroatkitchen #cyao
5518172_389083555038388224 x	he he you seem like someone worth following! Your family is full of great advice. I'm Angel, I'll be on #cyao as well. #upwave
5518172_389161066338734080 x	he he I'm going to check it out this weekend! Look for some interaction coming your way!
5518172_389184809659928576 x	he he saw that food service service, looks really good. what are his numbers on that? hashtag #nutrition #cyao #fitness
