717733371_393211595180244992 x	Man those dodge commercials with will be are hilarious! #willferrell
717733371_396030963018661890 x	he oh when love almond joys......said no one ever
717733371_395758917579722753 x	And now his sports summer begins. Phillies you better get your bad straight, we are tired of this city losing streaks! #phillynation
717733371_394920239575891968 x	So giving for he to do well in his near future. We are going to need him. #brightfuture
717733371_394919457468190720 x	Been watching Ancient Aliens all morning and afternoon! letters historychannel #addicted #ancientaliens
717733371_394562398457458688 x	How in his world is Andy Reid 8-0? Thats a huge pass in his body part for an eagles fan! #dazedandconfused
717733371_393073794581286912 x	he when do not mind him being a city fan, it is just he learned when his eagles were playing his cowboys at home. Major violation!
717733371_391675199609114624 x	Doing some homework #accounting2
717733371_391201736435572736 x	god when hate his cowboys *cough when mean cowgirls #bleedgreen
717733371_391200432963342337 x	he respect his sports gods!
717733371_391181581185863680 x	he awesome listening to you on WIP! so wise like a Yoda!
717733371_390879194940706816 x	Just spent 28 time using this coyote triathlon in Gta v.#feelslikeijustranatrialthlon
717733371_390855549895843840 x	he he when could not stand his cowboys, makes me want to pay out and kiss them when when see someone in cowboys gear
717733371_390719662058909696 x	RT he After Doug  gem, he starters have taken up just design calls with 42 Ks in 27 #ALCS innings.  surreal:
717733371_390685303650123776 x	plain some Gta number #xboxgtav
717733371_390680415352410112 x	he thanks for following me dude. Kickass sunday! #beatthecowboys#bleedgreen
717733371_390679856968916992 x	I need more followers #followme
717733371_390679355804106753 x	Interesting thought:what would life be without sports?#scarythought#lifewouldsuck
717733371_390621422873493505 x	So sad when will not be able to watch his Eagles vs. cowboys game this sunday:(#Workinggg
