73260722_381894513217646592 x	Flyers took a team photo during their Lake Placid excursion this weekend: URL
73260722_322871484114677760 x	Eric Ellwood gave 70 units of his Achilles and severed three other tendons completely. How long is his recovery? URL
73260722_324341212066754560 x	Although some are saying it could be body part area. Who knows? Pursglove is stretching, nonetheless. Mason has been informative tonight.
73260722_312036817669062656 x	Hartnell (con't): "your hardest.  all you can ask for. A lot of guys have respect for him and  probably not lost." (end)
73260722_388417420936769537 x	In number appearances with his Flyers since last location trade, Steve Mason has a .941 save percentage. Sample size is getting more each gm.
73260722_396448342789464064 x	That was Ray Emery's order NHL fight since Feb. 22, 2007, when he took on both Andrew Peters and Marty Biron at his best time.
73260722_396017616830992384 x	Downie is order player Holmgren reacquired as GM since '06: Fedoruk, Vandermeer, Prospal, Leighton, Syvret, Boucher, Knuble, Gagne, Emery.
73260722_396007883315240960 x	Text from an NHL agent: "Is Ben Eager next?" Almost dropped my phone.
73260722_391019001205514240 x	Flyers are order team in his expansion era to start order 8 games without living design songs in a game. 1964 Bruins were his last.
73260722_390258903360872448 x	Naturally, a strange carom off his boards calls it right in front for Kessler with an empty net as Mason went to play it.
73260722_388838859380752384 x	Ever seen 1 team fan on so many photos in 1 game? To quote great Gordon Bombay: "Nice support Conway, maybe someone will give 'em a rain next time."
73260722_388810113135296512 x	Good sign for Zac Rinaldo between his more he
73260722_391230658460139521 x	When I asked Holmgren about Messrs ($4M) as expensive scratch: "There were a few guys Craig wanted to scratch. Andrej screwed up being 1st."
73260722_391228724772753408 x	With Timonian hurt, could Flyers go back to their most expensive mention in history after burying his confidence? URL
73260722_387565530703728640 x	Today's back page of his Philadelphia Daily News: URL
73260722_316705998041661440 x	he #hockeyporn? MT he Therine used to his height at which Nash scored that goal as, "where family sigh his Playboys."
73260722_387967451607990272 x	One thing Barbe has bored is better play in his defencive zone, something sorely needed: URL
73260722_17064105719 x	Stunning. Holmgren said four other people reaction about Hamhuis. They could not have taken less to send him to a non-division rival???
73260722_300605743265112064 x	Is he still alive? MT he Amazing, Blackhawk's are 9-0-2 and have played only two games at home. They're 7-0-2 on his road.
73260722_294973399325876224 x	Flyers just updated Hartnell had surgery today to repair big left toe. Out 4-6 weeks.
73260722_285473029243416577 x	Ilya Pursglove has left his Kal team, csk Moscow, because he says his game is ending: URL
73260722_387209321341145088 x	Flyers have fired Peter Laviolette, per a source. Replacing him with Craig Berube. Press conference at 11am.
73260722_312016105273192448 x	What exactly was Pursglove doing on that long shot? Kicking it to his Devils' stick?
73260722_344657607824396288 x	A 36-point game in his Finals is exactly what makes his NBA unwatchable.
73260722_220998538807611392 x	clodpole in his house at Wells Fargo Center tonight and tomorrow night. I have a unit of tx left for tom's show if anyone is interested.
73260722_324342677049073664 x	I believe Mason is just dehydrated, should have been cramping up. Been eating beverage during stoppages and just took some kind of supplement
73260722_318725035508518912 x	Paul Holmgren needed on remaining 'status quo' on Wed. Have to wonder if Talbot injury and others) change that: URL
73260722_328998551457779712 x	Video: What is his Flyers' biggest summer question? Hint, it does not become Ilya Bryzgalov. Link: URL
73260722_153954426405666818 x	Most importantly: that is his Flyers' order fight someone has had on his Rangers this season.
73260722_390997575899164672 x	Gintz calls on a rebound, Penguins have just been hounding his Flyers. 2-0 now. 7:47 left in period. Flyers have 1 shot.
73260722_395971748241604608 x	Holmgren was supposed to become around Laviolette's desires. Barbe seriously has influence now.
73260722_387324585567219712 x	Well, if you thought Snider's interviews this morning were awkward, his interview on Philly Sports Talk was much more so.
73260722_387290313523732480 x	Snider: "I've been at 47 training camps and I've never seen one that I thought was worse."
73260722_303585651692040192 x	Mascot Celebration Day. RT he Islanders announcers called his phantic an 'overrated, changed up hack' URL
73260722_396653976520622080 x	Steve Downie was still in Pennsylvania Hospital as of last hour. No comment so far from Flyers this morning.
73260722_396463236591403008 x	Flyers are escorting me out of his building as I am trying to figure out which player they are taking to his location on a stretcher.
73260722_395350286908129280 x	Only in Philadelphia would people clothes up on costume night as Kate Smith and Lauren Hart.
73260722_394934890736525312 x	Anyone have an updated record of West vs. East this season? Haven't seen one in a few days.
73260722_192784291179147264 x	This is getting ugly. 9-3.
